spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	ɤ	420.72	1267.62	56
00000	low	ɑ	571.82	1242.59	92
00000	low	i	337.47	2279.59	6
00000	low	a	494.30	1602.86	57
00000	low	u	400.42	1004.55	30
00000	low	ɘ	375.91	1664.71	74
00000	low	ɵ	371.12	1505.41	8
00000	low	y	361.47	1105.84	15
00000	low	o	493.19	1164.25	8
00002	low	ɘ	443.96	2067.06	13
00002	low	a	528.73	1508.16	10
00002	low	ɵ	396.77	1615.29	3
00002	low	i	441.67	2398.27	2
00002	low	ɑ	655.66	1245.88	11
00002	low	u	421.10	932.55	3
00002	low	o	472.32	1313.89	4
00002	low	ɤ	465.02	1323.67	11
00002	low	y	452.50	1227.57	1
00004	low	ɤ	527.15	1188.83	148
00004	low	i	342.68	1988.18	23
00004	low	ɑ	642.61	1100.20	271
00004	low	ɵ	395.62	1525.58	38
00004	low	a	545.31	1538.59	165
00004	low	ɘ	419.42	1666.68	247
00004	low	o	518.22	1173.87	22
00004	low	y	365.47	1110.48	24
00004	low	u	438.85	950.11	38
00007	low	ɑ	686.62	1295.58	258
00007	low	ɤ	523.74	1308.49	173
00007	low	ɘ	435.26	1908.78	207
00007	low	a	579.48	1737.51	147
00007	low	ɵ	414.40	1672.96	46
00007	low	u	442.75	915.77	61
00007	low	i	357.45	2261.10	31
00007	low	y	400.60	1009.35	23
00007	low	o	496.65	1089.62	27
00017	low	ɘ	451.43	1811.24	15
00017	low	ɑ	568.94	1245.54	4
00017	low	i	445.19	2405.78	4
00017	low	a	627.34	1672.04	8
00017	low	ɤ	478.21	1556.07	6
00017	low	y	389.79	770.16	1
00017	low	u	406.38	657.68	2
00017	low	o	461.30	1074.38	3
00019	low	ɘ	368.45	1771.37	3042
00019	low	a	502.65	1648.28	2204
00019	low	u	380.29	924.38	1055
00019	low	ɑ	596.31	1298.46	3614
00019	low	ɤ	425.99	1383.15	2254
00019	low	i	327.81	1947.86	299
00019	low	o	429.35	1067.99	577
00019	low	ɵ	362.15	1582.00	623
00019	low	y	352.10	1042.28	457
00030	low	ɘ	431.82	1915.25	25
00030	low	a	565.96	1437.54	12
00030	low	y	404.87	1005.63	5
00030	low	ɑ	633.06	1243.46	14
00030	low	ɤ	514.86	1363.32	9
00030	low	u	421.33	869.84	3
00030	low	o	540.77	938.16	1
00034	low	y	393.00	889.03	839
00034	low	ɘ	448.57	1917.57	6579
00034	low	a	607.70	1701.69	4574
00034	low	u	425.42	787.52	2178
00034	low	ɑ	688.45	1174.63	7183
00034	low	ɤ	537.46	1264.11	4388
00034	low	i	351.36	2263.42	654
00034	low	o	498.80	1005.52	1066
00034	low	ɵ	410.18	1649.81	1195
00036	low	u	413.47	821.94	967
00036	low	ɤ	498.55	1301.95	2044
00036	low	y	372.78	934.29	426
00036	low	a	588.58	1602.26	2288
00036	low	ɘ	437.99	1796.94	2796
00036	low	ɑ	626.54	1203.74	3471
00036	low	o	495.15	1073.88	498
00036	low	i	340.11	2188.34	264
00036	low	ɵ	420.39	1604.87	586
00044	low	ɑ	571.86	1273.77	683
00044	low	ɤ	436.11	1341.79	514
00044	low	u	382.19	941.53	238
00044	low	i	387.72	1743.33	65
00044	low	ɘ	368.48	1608.76	824
00044	low	a	484.35	1603.87	566
00044	low	ɵ	375.79	1720.73	156
00044	low	y	337.73	1103.29	102
00044	low	o	458.81	1249.01	129
00046	low	ɑ	541.81	1143.43	180
00046	low	ɵ	382.23	1531.29	27
00046	low	a	473.36	1341.07	75
00046	low	o	439.33	1078.08	26
00046	low	ɤ	426.52	1212.77	108
00046	low	ɘ	401.53	1703.11	128
00046	low	y	397.80	988.03	20
00046	low	u	411.04	844.75	56
00046	low	i	446.35	2371.93	9
00049	low	u	378.84	954.38	6
00049	low	a	481.48	1663.48	9
00049	low	o	387.02	1078.07	4
00049	low	ɘ	410.43	1811.33	12
00049	low	ɑ	559.06	1242.25	17
00049	low	ɤ	443.58	1281.21	8
00049	low	i	351.45	2213.85	3
00053	low	u	411.02	950.51	9
00053	low	ɑ	654.74	1275.30	15
00053	low	ɘ	441.51	1933.94	11
00053	low	y	398.67	971.29	2
00053	low	a	582.49	1821.69	5
