spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	i	350.98	1958.73	16
00000	low	ɛ	501.46	1666.03	12
00000	low	ɐ	689.48	1361.74	17
00000	low	u	367.81	988.98	2
00000	low	o	474.94	1089.37	13
00001	low	ɛ	431.76	1847.13	28
00001	low	u	288.19	1003.74	5
00001	low	ɐ	647.48	1386.98	17
00001	low	o	436.38	1084.54	18
00001	low	i	309.69	1965.32	28
00002	low	o	421.97	1144.75	18
00002	low	ɐ	638.49	1370.16	26
00002	low	i	364.62	2089.24	26
00002	low	ɛ	442.56	1767.45	25
00002	low	u	245.65	1114.01	10
00006	low	i	439.94	1978.71	20
00006	low	ɛ	493.00	1628.36	20
00006	low	ɐ	659.39	1300.65	27
00006	low	o	469.21	1103.20	13
00006	low	u	404.82	1072.02	6
00007	low	ɐ	662.45	1501.69	19
00007	low	i	500.37	2074.84	23
00007	low	o	545.44	1125.93	16
00007	low	ɛ	529.74	1786.81	24
00007	low	u	479.56	1313.98	3
00010	low	ɐ	617.03	1391.11	13
00010	low	o	426.90	1020.44	19
00010	low	i	318.85	1956.59	24
00010	low	ɛ	396.39	1768.09	18
00010	low	u	319.18	968.08	5
00012	low	ɛ	447.52	1739.19	8
00012	low	i	522.54	1913.71	8
00012	low	ɐ	597.89	1337.74	8
00012	low	o	471.72	1122.94	13
00012	low	u	450.74	1285.75	4
00014	low	ɐ	598.27	1317.49	63
00014	low	ɛ	464.33	1630.02	60
00014	low	i	365.04	1763.80	73
00014	low	o	485.69	1089.88	45
00014	low	u	397.70	1256.80	14
00015	low	i	305.54	1863.98	9
00015	low	u	319.61	1111.98	9
00015	low	ɐ	601.16	1323.94	15
00015	low	o	415.26	1098.30	6
00015	low	ɛ	366.88	1651.75	6
00016	low	ɛ	481.88	1667.65	53
00016	low	ɐ	631.32	1391.23	69
00016	low	i	420.93	1890.92	53
00016	low	u	449.27	1268.64	9
00016	low	o	499.39	1143.36	36
00017	low	o	412.73	1039.84	95
00017	low	ɛ	392.42	1588.42	107
00017	low	ɐ	583.48	1300.35	106
00017	low	i	339.52	1822.58	112
00017	low	u	311.55	1030.79	29
00020	low	o	481.94	1023.47	33
00020	low	ɛ	502.52	1642.28	32
00020	low	ɐ	602.97	1263.88	35
00020	low	i	461.88	1953.42	28
00020	low	u	462.08	1314.94	4
00021	low	i	444.88	1951.04	43
00021	low	ɐ	678.11	1463.22	41
00021	low	u	506.30	1509.49	9
00021	low	o	522.40	1196.01	24
00021	low	ɛ	503.97	1639.80	33
00023	low	i	392.01	1778.94	88
00023	low	ɛ	427.48	1589.55	52
00023	low	ɐ	564.02	1278.40	75
00023	low	o	448.53	1057.01	57
00023	low	u	351.47	1348.86	15
00024	low	ɛ	527.29	1737.92	23
00024	low	i	404.98	2037.39	25
00024	low	ɐ	647.25	1426.73	30
00024	low	o	554.05	1112.87	20
00024	low	u	419.20	1251.48	9
00025	low	ɐ	543.63	1379.20	12
00025	low	o	378.98	961.01	7
00025	low	i	310.84	1803.14	11
00025	low	u	336.32	1306.44	10
00025	low	ɛ	405.63	1632.31	8
00026	low	ɐ	574.41	1356.83	683
00026	low	u	399.59	1212.35	168
00026	low	i	388.19	1896.76	663
00026	low	ɛ	437.63	1694.08	514
00026	low	o	465.80	1106.64	510
00027	low	u	394.99	1153.82	114
00027	low	o	506.22	1131.67	289
00027	low	i	371.91	1926.21	436
00027	low	ɛ	472.50	1785.94	333
00027	low	ɐ	659.23	1414.64	441
00029	low	ɛ	452.31	1692.45	7
00029	low	i	352.80	2290.17	6
00029	low	o	400.42	1034.07	6
00029	low	ɐ	560.12	1272.29	3
00029	low	u	427.62	1076.43	4
00031	low	o	491.56	1080.99	3950
00031	low	ɐ	632.81	1384.83	5486
00031	low	i	351.85	1905.83	4775
00031	low	u	423.88	1203.84	1253
00031	low	ɛ	463.34	1685.84	3881
00032	low	ɐ	632.62	1404.38	13
00032	low	i	459.65	1718.61	15
00032	low	ɛ	559.13	1498.73	11
00032	low	o	549.35	1082.52	17
00032	low	u	463.19	1106.64	5
00035	low	ɛ	449.46	1627.29	33
00035	low	ɐ	544.76	1331.03	45
00035	low	u	401.50	1228.71	16
00035	low	i	381.33	1982.26	34
00035	low	o	425.09	1035.65	45
00036	low	o	448.60	1026.56	11
00036	low	ɐ	622.20	1389.72	9
00036	low	i	425.60	2018.20	7
00036	low	u	343.62	1092.23	3
00036	low	ɛ	474.96	1707.50	5
00040	low	ɛ	487.74	1614.16	41
00040	low	o	526.76	1045.14	45
00040	low	i	409.13	1849.23	67
00040	low	ɐ	624.98	1296.40	56
00040	low	u	432.75	1107.21	16
00041	low	o	461.65	991.79	12
00041	low	i	359.38	2006.34	12
00041	low	ɐ	648.94	1360.61	19
00041	low	ɛ	447.55	1641.32	10
00041	low	u	480.81	1379.45	3
00050	low	ɐ	636.57	1325.10	21
00050	low	i	354.42	1768.59	17
00050	low	ɛ	453.16	1701.54	17
00050	low	o	483.49	1098.30	15
00050	low	u	365.42	909.38	3
00051	low	ɛ	441.28	1543.07	12
00051	low	ɐ	545.65	1280.42	13
00051	low	o	440.54	1019.60	7
00051	low	i	326.82	1662.64	5
00051	low	u	367.55	945.48	3
00053	low	ɛ	539.22	1566.38	31
00053	low	i	439.50	1736.06	38
00053	low	ɐ	683.38	1322.87	33
00053	low	o	536.56	1064.43	28
00053	low	u	415.21	1092.30	17
00054	low	o	526.78	1067.95	8628
00054	low	u	444.91	1108.96	2895
00054	low	i	447.14	1754.04	10526
00054	low	ɛ	532.88	1524.98	8486
00054	low	ɐ	639.23	1301.24	11410
00056	low	i	397.94	1841.48	83
00056	low	o	531.95	1070.43	63
00056	low	ɐ	698.90	1309.07	72
00056	low	ɛ	530.19	1628.94	56
00056	low	u	405.76	1052.42	9
00057	low	ɛ	488.57	1748.92	492
00057	low	o	476.70	967.50	460
00057	low	i	409.39	2067.51	674
00057	low	ɐ	609.60	1342.42	677
00057	low	u	423.29	1083.58	172
00059	low	ɛ	424.19	1639.43	44
00059	low	i	369.13	1780.41	61
00059	low	ɐ	606.44	1430.11	40
00059	low	u	308.70	1265.48	11
00059	low	o	457.24	1143.50	37
00060	low	ɛ	378.27	1582.81	15
00060	low	o	405.70	1108.96	10
00060	low	ɐ	480.68	1303.92	18
00060	low	i	332.82	1769.76	18
00060	low	u	334.31	1001.16	4
00061	low	o	467.83	1156.09	11
00061	low	i	404.62	1987.18	19
00061	low	ɐ	588.43	1446.35	18
00061	low	ɛ	488.84	1702.57	9
00061	low	u	357.82	1137.93	2
00062	low	ɐ	621.79	1388.24	88
00062	low	u	374.64	969.56	26
00062	low	ɛ	486.98	1706.02	68
00062	low	i	376.64	1968.57	74
00062	low	o	486.32	1074.92	74
00063	low	i	425.60	1880.62	8
00063	low	ɛ	430.28	1411.94	3
00063	low	o	540.54	1108.74	5
00063	low	ɐ	620.55	1296.42	8
00063	low	u	315.48	1265.40	1
00065	low	ɛ	412.30	1706.26	39
00065	low	ɐ	575.11	1341.34	48
00065	low	i	349.69	1878.03	60
00065	low	u	359.17	966.94	13
00065	low	o	433.95	1008.95	49
00066	low	ɛ	357.73	1670.23	10
00066	low	o	371.18	1173.49	5
00066	low	i	313.23	1820.06	9
00066	low	ɐ	496.68	1573.36	2
00066	low	u	289.18	1038.85	2
00067	low	ɐ	610.49	1331.26	44
00067	low	u	445.00	1207.39	10
00067	low	i	374.32	2000.65	29
00067	low	ɛ	513.53	1633.65	24
00067	low	o	485.21	1072.47	29
00069	low	o	479.50	1174.94	12
00069	low	ɐ	629.22	1497.08	15
00069	low	ɛ	478.69	1729.90	12
00069	low	i	364.41	1968.22	13
00069	low	u	340.55	1232.74	3
00071	low	ɛ	460.34	1656.57	226
00071	low	i	407.23	1931.68	284
00071	low	ɐ	608.71	1265.02	258
00071	low	o	461.25	1073.18	205
00071	low	u	427.80	1264.12	60
00072	low	ɛ	515.02	1677.07	7
00072	low	i	370.93	1954.64	9
00072	low	ɐ	648.73	1330.19	8
00072	low	o	566.54	818.12	1
00072	low	u	408.35	766.99	2
00074	low	o	349.48	1028.39	16
00074	low	i	310.33	1956.23	27
00074	low	ɐ	536.57	1351.76	15
00074	low	ɛ	369.10	1664.50	17
00074	low	u	284.04	999.49	8
00075	low	o	503.71	1112.48	11
00075	low	ɛ	476.32	1623.54	17
00075	low	i	340.71	1852.51	14
00075	low	u	522.64	1350.36	4
00075	low	ɐ	654.21	1372.73	19
00077	low	ɛ	431.28	1693.74	126
00077	low	ɐ	551.66	1355.25	122
00077	low	o	427.61	1067.77	116
00077	low	i	372.01	1942.40	154
00077	low	u	381.60	1117.04	30
00082	low	ɐ	687.82	1382.69	3
00082	low	i	336.39	2183.59	5
00082	low	ɛ	360.60	1513.60	1
00082	low	o	383.46	878.23	1
00083	low	ɐ	494.07	1063.86	1
00083	low	o	339.46	1215.07	1
00083	low	i	276.56	1881.65	2
00083	low	ɛ	290.90	1467.43	3
00084	low	o	483.59	1053.46	35
00084	low	ɐ	613.41	1469.35	36
00084	low	i	375.93	1972.34	33
00084	low	u	380.67	1288.35	9
00084	low	ɛ	462.29	1742.50	20
00085	low	o	462.74	987.15	172
00085	low	i	349.77	1782.59	219
00085	low	ɐ	624.66	1320.22	242
00085	low	ɛ	448.34	1627.17	168
00085	low	u	366.75	1049.98	65
00090	low	ɐ	537.60	1319.45	284
00090	low	i	388.75	1809.12	323
00090	low	ɛ	421.35	1575.54	230
00090	low	o	421.99	1086.31	197
00090	low	u	387.42	1145.83	62
00091	low	ɛ	463.34	1688.40	11
00091	low	o	456.77	1122.15	15
00091	low	i	400.35	1807.79	20
00091	low	ɐ	541.96	1321.10	15
00091	low	u	394.36	1213.68	4
00092	low	o	428.18	1032.32	2
00092	low	i	315.38	1659.95	1
00092	low	u	295.55	1559.70	2
00092	low	ɐ	557.17	1213.20	1
00095	low	u	447.70	1210.01	9
00095	low	ɛ	433.43	1774.58	6
00095	low	ɐ	598.82	1308.91	16
00095	low	o	500.70	988.43	11
00095	low	i	399.84	1878.94	13
00097	low	i	352.87	2028.42	21
00097	low	o	467.94	1074.46	21
00097	low	ɐ	637.69	1350.92	18
00097	low	ɛ	478.45	1652.91	16
00097	low	u	383.88	1145.43	4
00099	low	ɛ	527.97	1675.12	7
00099	low	o	420.79	1064.45	13
00099	low	ɐ	524.79	1288.50	7
00099	low	u	348.91	1374.91	4
00099	low	i	376.72	1714.42	10
00100	low	ɛ	540.03	1543.34	5
00100	low	i	371.23	2121.19	26
00100	low	o	512.61	978.49	27
00100	low	ɐ	746.95	1183.60	23
00100	low	u	336.23	1016.06	3
00102	low	ɛ	529.36	1798.82	4
00102	low	i	352.93	2047.02	11
00102	low	ɐ	700.32	1426.44	6
00102	low	o	428.48	964.50	3
00105	low	i	400.96	1731.71	4
00105	low	ɛ	466.33	1541.31	5
00105	low	o	487.82	1019.64	6
00105	low	ɐ	571.15	1240.50	7
