spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	i	357.51	1975.40	11
00000	low	a	561.92	1455.26	29
00000	low	u	374.06	926.76	7
00000	low	o	442.75	896.16	2
00002	low	a	600.99	1413.41	290
00002	low	u	447.09	1065.01	62
00002	low	i	430.79	1878.59	131
00002	low	e	469.79	1897.68	35
00002	low	o	476.40	1011.90	22
00004	low	u	406.64	1102.93	11
00004	low	a	519.29	1425.23	58
00004	low	i	383.39	1787.82	16
00004	low	o	476.72	1289.10	3
00004	low	e	431.57	1719.00	5
00005	low	a	604.57	1394.29	134
00005	low	o	471.25	1028.60	7
00005	low	i	348.82	2033.88	33
00005	low	e	381.17	2133.57	7
00005	low	u	382.94	1109.43	24
00006	low	u	450.26	1159.13	36
00006	low	a	629.34	1370.17	186
00006	low	i	407.47	1861.74	66
00006	low	o	473.34	916.98	19
00006	low	e	436.34	1829.13	23
00010	low	a	551.86	1450.45	35
00010	low	i	361.06	2233.51	10
00010	low	e	367.36	2274.98	3
00010	low	u	359.05	1176.86	7
00010	low	o	372.86	850.72	2
00001	high	a	646.78	1570.36	44
00001	high	u	394.98	1341.51	15
00001	high	o	479.12	1026.67	6
00001	high	i	429.96	2156.93	16
00001	high	e	421.42	2252.03	8
00003	high	i	385.60	2113.62	4
00003	high	a	576.48	1672.10	9
00003	high	e	475.79	1652.57	1
00003	high	u	405.10	1011.75	1
00003	high	o	471.55	1605.90	1
00007	high	a	782.15	1591.15	11952
00007	high	u	515.57	1252.73	1983
00007	high	e	538.18	1897.33	1053
00007	high	i	514.53	1856.73	3873
00007	high	o	558.61	1102.14	888
00008	high	e	508.59	2277.25	15
00008	high	i	437.12	2310.11	106
00008	high	a	752.99	1710.59	282
00008	high	o	533.86	1178.93	21
00008	high	u	509.25	1403.85	41
00009	high	a	643.04	1467.48	29
00009	high	i	329.65	2214.12	18
00009	high	e	367.62	2404.89	3
00009	high	u	388.80	1177.69	3
00009	high	o	358.10	992.38	1
00011	high	a	585.40	1499.56	14
00011	high	u	373.88	1179.69	2
00011	high	i	348.95	2114.19	20
00011	high	e	406.49	1919.73	3
00011	high	o	358.80	1116.77	1
00012	high	a	586.84	1568.43	17
00012	high	u	406.00	1524.69	4
00012	high	e	347.46	2302.93	3
00012	high	i	374.05	2262.73	9
