spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00001	low	ɛ	567.33	1668.92	9
00001	low	ɑ	551.06	1152.32	10
00001	low	o	444.10	981.37	10
00001	low	e	401.01	2238.83	2
00001	low	i	384.86	2163.38	4
00001	low	y	351.60	1866.03	1
00001	low	ø	394.32	1517.60	2
00001	low	a	772.23	1214.03	1
00001	low	u	375.85	795.40	1
00002	low	ɑ	605.79	1057.94	1
00002	low	o	326.95	1188.94	2
00002	low	i	231.23	2086.46	4
00002	low	ɛ	442.95	1700.79	3
00003	low	u	391.60	987.97	4
00003	low	ɑ	568.02	1222.27	17
00003	low	i	395.24	2028.23	13
00003	low	ɛ	555.13	1682.97	24
00003	low	ø	440.64	1577.59	10
00003	low	e	421.16	2088.20	9
00003	low	o	430.15	1009.51	10
00003	low	a	678.29	1555.22	8
00004	low	ɑ	505.49	1201.08	23
00004	low	ɛ	513.78	1523.39	21
00004	low	u	369.50	964.41	4
00004	low	o	453.27	1097.36	14
00004	low	i	313.71	1924.92	19
00004	low	a	587.10	1451.84	5
00004	low	ø	367.96	1581.49	2
00004	low	e	353.53	1974.11	5
00005	low	ɛ	497.10	1569.51	27
00005	low	o	421.26	825.74	28
00005	low	ɑ	486.98	996.29	38
00005	low	ø	400.45	1568.67	8
00005	low	u	376.37	1075.04	4
00005	low	i	393.39	2008.51	22
00005	low	a	568.23	1398.32	8
00005	low	e	419.41	2034.34	7
00006	low	a	633.74	1399.56	11
00006	low	ɑ	514.89	1172.42	24
00006	low	u	342.29	1001.65	4
00006	low	i	320.00	2195.38	8
00006	low	o	439.52	1057.15	13
00006	low	ɛ	539.97	1525.79	22
00006	low	e	398.11	2085.03	2
00006	low	y	296.20	1609.84	1
00007	low	o	455.23	1009.24	15
00007	low	ɑ	553.72	1177.96	16
00007	low	e	392.96	1996.11	7
00007	low	ɛ	549.19	1429.13	14
00007	low	u	365.81	911.19	4
00007	low	a	752.72	1459.72	8
00007	low	i	367.35	1977.96	5
00007	low	ø	446.93	1371.77	3
00008	low	e	404.13	2064.62	3
00008	low	y	368.22	1383.88	2
00008	low	i	371.32	2144.79	5
00008	low	ɑ	537.42	1180.02	14
00008	low	ɛ	563.13	1430.50	7
00008	low	o	446.84	1004.71	3
00008	low	u	353.75	855.47	2
00008	low	ø	420.00	1292.40	3
00008	low	a	694.98	1404.27	4
00013	low	i	369.37	2079.32	3
00013	low	o	468.01	872.98	1
00013	low	ɛ	488.63	1476.12	5
00014	low	ɛ	538.37	1613.58	226
00014	low	ø	372.50	1559.61	41
00014	low	ɑ	577.01	1268.33	145
00014	low	a	710.86	1493.08	91
00014	low	i	315.07	2029.67	108
00014	low	e	366.29	1975.65	77
