spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00003	low	e	450.09	1698.31	20
00003	low	a	615.97	1302.41	27
00003	low	u	413.91	899.72	8
00003	low	i	361.83	1930.93	25
00003	low	o	464.12	1063.43	21
00003	low	y	410.19	2167.45	1
00004	low	e	425.15	1671.54	27
00004	low	a	613.97	1398.29	22
00004	low	o	449.52	1213.29	20
00004	low	i	314.35	1788.75	16
00004	low	u	406.49	1141.00	8
00004	low	ɛ	449.24	1713.14	1
00005	low	i	351.25	1904.33	32
00005	low	e	471.07	1593.16	25
00005	low	a	609.31	1322.35	38
00005	low	u	458.57	1084.90	7
00005	low	o	496.01	1051.12	27
00008	low	a	621.50	1202.51	99
00008	low	i	346.29	1978.51	74
00008	low	e	479.50	1580.82	83
00008	low	o	484.04	944.97	85
00008	low	u	410.93	936.82	25
00008	low	y	363.59	1881.10	1
00008	low	ɛ	412.95	1424.31	1
00008	low	ɔ	600.22	938.59	1
00009	low	a	578.75	1436.24	14
00009	low	e	433.45	1730.12	13
00009	low	i	313.33	2091.57	12
00009	low	u	346.97	1189.03	4
00009	low	o	439.67	1186.84	9
00010	low	i	367.71	1938.40	20
00010	low	ɔ	522.58	981.68	2
00010	low	o	482.53	1030.10	22
00010	low	e	457.27	1607.71	29
00010	low	a	633.75	1351.39	19
00010	low	y	184.19	1955.91	1
00010	low	u	392.33	895.27	3
00012	low	e	461.18	1652.50	12
00012	low	o	415.17	881.12	5
00012	low	i	304.32	2018.47	2
00012	low	a	559.04	1233.59	5
00012	low	ɛ	438.75	1956.21	1
00012	low	u	333.83	1063.17	1
00014	low	a	545.39	1326.11	118
00014	low	e	372.07	1682.85	122
00014	low	u	346.94	1058.47	45
00014	low	i	287.79	1936.42	103
00014	low	o	419.18	1037.23	105
00014	low	y	267.78	1999.40	2
00014	low	ɔ	561.62	1093.91	1
00014	low	ɛ	559.35	1698.45	4
00015	low	u	362.85	940.55	7
00015	low	a	645.33	1320.48	23
00015	low	e	466.96	1411.55	23
00015	low	o	462.06	1041.56	33
00015	low	i	351.51	1832.82	13
00015	low	ɔ	682.98	1178.16	1
00017	low	a	660.32	1399.25	2557
00017	low	o	487.94	1041.70	2062
00017	low	i	359.47	2095.84	2391
00017	low	e	476.76	1861.15	2548
00017	low	u	414.30	1114.68	738
00017	low	ɛ	529.89	1928.87	91
00017	low	ɔ	595.34	1018.91	32
00017	low	y	370.91	1974.49	36
00017	low	ø	673.10	1173.61	1
00019	low	i	347.06	2018.15	89
00019	low	o	451.89	1083.60	86
00019	low	e	418.67	1738.69	112
00019	low	a	651.67	1337.75	118
00019	low	u	407.36	1103.66	26
00019	low	ɔ	542.13	1069.71	3
00019	low	ɛ	552.54	1772.87	1
00022	low	a	624.04	1344.98	40
00022	low	e	475.53	1666.63	28
00022	low	u	411.94	1174.25	14
00022	low	i	344.91	1718.81	28
00022	low	o	522.45	1103.08	30
00022	low	ɛ	495.18	1913.75	1
00026	low	o	423.42	1164.46	16
00026	low	e	422.90	1754.87	18
00026	low	u	402.54	998.83	12
00026	low	i	337.69	2108.74	17
00026	low	a	642.22	1429.69	13
00026	low	ɔ	598.79	1210.85	1
00027	low	e	406.91	1828.71	17
00027	low	a	580.82	1325.67	18
00027	low	i	283.66	2109.81	19
00027	low	o	433.36	946.55	19
00027	low	u	368.81	1093.22	5
00028	low	a	601.28	1291.85	23
00028	low	i	305.55	1755.83	17
00028	low	o	478.73	955.21	14
00028	low	u	357.26	993.40	8
00028	low	e	484.40	1509.60	21
00029	low	i	462.21	2125.64	19
00029	low	e	495.93	1778.15	22
00029	low	o	512.12	1124.92	8
00029	low	a	662.34	1468.49	16
00029	low	u	485.49	1208.04	3
00031	low	a	607.29	1211.04	28
00031	low	u	398.53	1242.07	8
00031	low	e	422.22	1665.02	23
00031	low	o	433.47	1020.95	20
00031	low	i	323.35	2011.36	20
00035	low	o	413.57	1092.38	18
00035	low	ɔ	469.27	991.63	3
00035	low	a	589.74	1345.51	23
00035	low	i	338.68	2213.71	16
00035	low	u	360.28	1096.45	9
00035	low	e	427.24	1720.43	13
00036	low	i	380.06	1884.94	12
00036	low	a	620.15	1303.98	21
00036	low	e	435.12	1754.60	22
00036	low	o	497.57	1217.22	26
00036	low	u	533.75	1177.01	4
00036	low	ɛ	431.31	1697.37	2
00038	low	u	404.58	1251.08	7
00038	low	a	638.24	1257.30	24
00038	low	i	366.29	2052.21	23
00038	low	o	513.39	984.08	19
00038	low	e	436.64	1704.23	25
00041	low	u	336.03	1068.64	8
00041	low	i	299.60	1950.04	10
00041	low	a	451.36	1221.30	17
00041	low	e	356.73	1672.48	20
00041	low	o	352.10	1040.51	13
00041	low	ɛ	371.61	1631.42	1
00043	low	a	651.46	1346.23	26
00043	low	o	505.21	1097.24	14
00043	low	e	433.60	1554.82	25
00043	low	i	295.43	1947.98	23
00043	low	u	370.30	1044.98	7
00043	low	ɛ	493.35	1878.25	1
00044	low	a	635.74	1284.53	23
00044	low	o	534.85	1078.51	13
00044	low	u	430.30	1018.74	4
00044	low	i	390.35	1852.78	10
00044	low	e	488.39	1554.22	27
00044	low	y	509.35	1773.73	1
00045	low	o	513.93	1167.06	24
00045	low	e	476.06	1707.36	24
00045	low	a	640.92	1466.97	16
00045	low	u	453.25	1202.94	10
00045	low	i	430.64	1904.98	17
00045	low	ɛ	495.45	1493.56	1
00046	low	i	334.16	1927.77	16
00046	low	o	472.18	1000.04	16
00046	low	a	611.55	1408.34	34
00046	low	e	449.29	1678.48	31
00046	low	u	360.34	1049.37	8
00046	low	ɛ	461.35	1808.27	1
00047	low	a	656.64	1118.35	19
00047	low	i	482.23	1661.16	10
00047	low	e	537.91	1454.10	12
00047	low	o	507.18	951.60	14
00047	low	u	408.55	1032.46	2
00050	low	o	427.69	1131.36	81
00050	low	e	412.85	1683.47	101
00050	low	i	343.82	1879.98	94
00050	low	ɔ	477.20	937.60	1
00050	low	a	511.84	1414.54	88
00050	low	u	360.70	1229.53	21
