spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00001	low	ɑ	527.70	1207.69	17
00001	low	y	354.36	1617.48	8
00001	low	ø	392.17	1308.97	10
00001	low	e	391.83	1623.36	13
00001	low	ɯ	386.77	1293.62	9
00001	low	u	382.40	1113.14	4
00001	low	o	438.24	964.91	5
00001	low	i	324.14	1729.31	8
00002	low	ɑ	533.70	1251.92	101
00002	low	e	407.82	1717.99	48
00002	low	i	418.93	1783.01	20
00002	low	ɯ	441.43	1401.38	37
00002	low	u	415.25	1181.50	31
00002	low	ø	422.06	1311.86	11
00002	low	y	383.43	1492.48	13
00002	low	o	419.63	1024.20	18
00003	low	u	376.43	1070.21	12
00003	low	o	458.47	989.27	24
00003	low	ɑ	563.73	1143.21	52
00003	low	i	396.84	1801.24	22
00003	low	ɯ	454.12	1274.43	14
00003	low	e	415.10	1596.36	41
00003	low	ø	392.75	1352.18	4
00003	low	y	383.72	1553.76	5
00006	low	ɑ	629.46	1340.68	5831
00006	low	e	437.08	1830.67	2968
00006	low	i	427.92	1982.18	2002
00006	low	o	480.36	1077.02	1843
00006	low	ø	448.36	1323.57	1029
00006	low	y	424.39	1544.21	996
00006	low	u	442.60	1158.24	1825
00006	low	ɯ	481.21	1421.79	2251
00008	low	u	430.84	1278.55	6
00008	low	ɑ	533.59	1254.27	28
00008	low	e	412.65	1584.99	7
00008	low	y	381.71	1591.65	9
00008	low	ø	400.38	1468.26	4
00008	low	o	453.60	1108.60	9
00008	low	i	384.47	1777.40	3
00008	low	ɯ	471.91	1433.87	10
00009	low	o	457.06	1030.78	786
00009	low	u	382.96	1099.31	844
00009	low	e	427.03	1760.02	1274
00009	low	i	366.14	1864.00	966
00009	low	ø	436.27	1369.23	423
00009	low	y	357.85	1575.36	518
00009	low	ɑ	534.39	1215.10	2514
00009	low	ɯ	416.26	1333.45	985
00010	low	ø	410.61	1415.41	3
00010	low	y	367.58	1301.41	3
00010	low	u	512.81	1291.12	3
00010	low	ɑ	562.47	1268.88	7
00010	low	i	386.45	1977.72	3
00010	low	e	338.70	1735.61	5
00010	low	o	566.41	1030.98	1
00010	low	ɯ	570.77	1652.83	2
00011	low	y	365.32	1920.22	1
00011	low	e	417.90	1995.42	1
00011	low	ø	334.29	1366.97	1
00011	low	o	477.97	925.41	1
00011	low	u	397.56	845.63	1
00015	low	e	414.50	1733.11	24
00015	low	i	434.47	1837.60	25
00015	low	ɑ	576.73	1291.78	59
00015	low	o	478.35	1072.44	16
00015	low	y	400.28	1625.00	12
00015	low	ø	441.80	1443.84	16
00015	low	u	402.19	1209.30	11
00015	low	ɯ	432.63	1391.06	18
00017	low	ø	451.71	1492.44	35
00017	low	o	494.77	909.19	59
00017	low	ɑ	582.51	1133.46	183
00017	low	e	457.72	1732.68	80
00017	low	i	450.58	1857.62	68
00017	low	u	464.34	1066.70	49
00017	low	ɯ	502.99	1286.43	78
00017	low	y	439.26	1655.01	34
00018	low	o	431.09	1052.81	13
00018	low	ɑ	577.13	1243.34	25
00018	low	i	312.42	1868.12	11
00018	low	u	378.28	1208.49	14
00018	low	e	386.50	1787.26	16
00018	low	ø	416.37	1624.07	4
00018	low	ɯ	451.21	1400.18	10
00018	low	y	343.77	1585.28	2
00019	low	e	406.08	1674.52	115
00019	low	ø	383.22	1324.06	41
00019	low	i	391.87	1819.98	79
00019	low	ɑ	573.75	1295.41	233
00019	low	ɯ	453.16	1330.51	68
00019	low	y	413.54	1526.41	45
00019	low	o	434.14	1016.09	72
00019	low	u	396.82	1174.04	72
00020	low	u	395.59	1056.83	116
00020	low	ɑ	491.12	1079.95	331
00020	low	ɯ	429.55	1247.01	125
00020	low	o	415.96	875.88	99
00020	low	i	344.32	1706.90	123
00020	low	y	363.68	1534.43	56
00020	low	e	351.71	1611.62	161
00020	low	ø	371.89	1178.84	44
00023	low	o	423.12	901.89	7
00023	low	e	388.08	1694.38	11
00023	low	ɑ	542.56	1291.56	8
00023	low	ɯ	365.04	1248.36	4
00023	low	i	302.96	1924.66	3
00023	low	ø	290.46	1562.23	1
00023	low	y	321.78	1619.42	3
00023	low	u	351.67	1002.18	2
00024	low	i	395.52	1768.02	12
00024	low	o	496.43	951.29	9
00024	low	u	476.20	1098.40	6
00024	low	ɑ	645.84	1259.41	34
00024	low	ø	389.67	1728.31	2
00024	low	e	411.29	1648.55	15
00024	low	ɯ	497.81	1250.89	9
00025	low	o	469.56	1035.93	9
00025	low	ɑ	526.97	1187.82	15
00025	low	i	349.88	1866.29	13
00025	low	ɯ	374.54	1160.93	7
00025	low	ø	420.62	1175.38	6
00025	low	e	421.08	1711.97	18
00025	low	y	369.22	1538.06	4
00025	low	u	356.06	902.90	3
00026	low	ɑ	649.47	1249.95	9
00026	low	e	499.24	1572.43	3
00026	low	u	540.32	1155.89	8
00026	low	o	495.69	935.26	7
00026	low	ø	502.82	1017.11	1
00026	low	y	275.82	1103.72	1
00026	low	ɯ	477.31	1465.80	1
00026	low	i	597.61	2035.19	1
00027	low	ø	447.51	1301.83	59
00027	low	o	478.92	1029.88	115
00027	low	ɑ	618.53	1224.87	410
00027	low	e	438.82	1631.75	243
00027	low	i	362.39	1853.45	148
00027	low	u	409.81	1015.08	126
00027	low	ɯ	407.41	1495.57	173
00027	low	y	366.31	1525.66	79
00030	low	ø	415.71	1457.25	105
00030	low	e	421.04	1719.98	386
00030	low	o	477.11	1064.98	188
00030	low	u	420.09	1161.40	181
00030	low	i	400.62	1870.30	261
00030	low	ɑ	557.94	1272.45	686
00030	low	ɯ	473.24	1454.42	262
00030	low	y	380.44	1680.65	114
00032	low	ɯ	400.77	1582.31	7
00032	low	ɑ	529.49	1416.79	8
00032	low	e	375.73	1857.93	3
00032	low	i	236.14	1645.65	2
00032	low	o	400.26	1520.59	2
00032	low	u	343.16	1682.46	5
00033	low	e	403.05	1794.16	13
00033	low	ɑ	589.53	1176.00	33
00033	low	ɯ	455.97	1182.58	13
00033	low	u	410.32	959.69	10
00033	low	i	368.22	1907.52	20
00033	low	y	324.51	1542.81	6
00033	low	ø	365.07	1396.44	6
00033	low	o	452.98	995.90	15
00035	low	ɑ	578.46	1415.59	21
00035	low	i	433.21	2106.48	7
00035	low	ɯ	401.68	1659.41	9
00035	low	o	460.26	1206.28	5
00035	low	u	392.91	1216.48	4
00035	low	e	411.30	1979.21	7
00035	low	ø	470.54	1628.90	2
00035	low	y	442.38	1695.77	1
00038	low	ɑ	504.12	1399.91	214
00038	low	ɯ	398.71	1516.20	80
00038	low	o	410.21	1053.65	57
00038	low	e	352.59	1904.65	150
00038	low	i	332.36	1922.57	76
00038	low	u	383.60	1181.19	76
00038	low	y	352.58	1776.26	36
00038	low	ø	365.28	1426.51	34
00039	low	e	411.73	2031.54	31
00039	low	o	467.92	1145.92	14
00039	low	u	429.35	1279.20	23
00039	low	ɑ	612.72	1303.66	62
00039	low	ɯ	452.16	1357.30	19
00039	low	ø	434.64	1410.63	5
00039	low	y	397.99	1675.34	10
00039	low	i	402.57	2072.07	17
00042	low	e	405.16	1802.29	14
00042	low	i	375.98	1921.35	21
00042	low	y	338.49	1539.95	10
00042	low	o	474.71	1026.28	23
00042	low	ɑ	599.70	1262.17	51
00042	low	ɯ	461.40	1494.46	23
00042	low	ø	398.30	1281.47	9
00042	low	u	423.85	1316.96	16
00043	low	i	324.60	1712.23	13
00043	low	ø	384.66	1218.74	6
00043	low	e	357.64	1646.23	21
00043	low	o	408.27	936.23	17
00043	low	u	429.35	1010.48	13
00043	low	ɑ	501.26	1096.91	16
00043	low	ɯ	409.91	1203.00	9
00043	low	y	341.23	1397.30	11
00044	low	e	421.42	1731.46	1439
00044	low	i	425.60	1818.86	1027
00044	low	o	460.25	1007.98	838
00044	low	ɑ	547.22	1161.30	2882
00044	low	ɯ	468.55	1311.55	1127
00044	low	ø	417.11	1423.90	425
00044	low	u	432.21	1151.52	912
00044	low	y	409.07	1654.70	521
00045	low	i	476.71	2138.61	13
00045	low	ɑ	747.45	1249.74	17
00045	low	ɯ	538.33	1568.81	7
00045	low	e	448.14	1886.18	16
00045	low	o	488.17	1077.24	3
00045	low	u	631.52	1505.01	3
00045	low	ø	396.24	1634.72	4
00045	low	y	520.81	1929.42	2
00046	low	ɯ	436.63	1494.45	5
00046	low	ɑ	618.53	1330.21	4
00046	low	o	434.65	971.18	5
00046	low	u	402.20	1472.93	1
00046	low	ø	403.63	1284.27	3
00046	low	y	372.68	1693.41	5
00046	low	e	410.45	1952.06	3
00046	low	i	296.80	2220.62	1
00048	low	e	434.38	1682.87	53
00048	low	i	360.72	1865.94	42
00048	low	y	385.34	1572.34	21
00048	low	ø	414.84	1397.18	27
00048	low	o	460.88	1018.21	39
00048	low	ɑ	549.83	1264.97	134
00048	low	ɯ	426.09	1376.97	56
00048	low	u	406.89	971.49	33
00049	low	o	479.34	965.22	411
00049	low	ɑ	597.80	1181.36	1399
00049	low	ɯ	464.09	1242.93	545
00049	low	u	416.65	1031.99	394
00049	low	ø	427.09	1298.64	191
00049	low	y	382.34	1572.46	231
00049	low	e	434.67	1761.72	641
00049	low	i	410.84	1873.41	436
00050	low	y	346.74	1739.99	57
00050	low	e	387.33	1845.02	155
00050	low	i	371.62	1935.00	77
00050	low	ø	386.25	1507.72	60
00050	low	o	444.95	1092.31	60
00050	low	u	377.81	1135.75	56
00050	low	ɑ	578.04	1319.94	202
00050	low	ɯ	411.16	1448.97	99
00051	low	ɑ	562.77	1145.91	124
00051	low	ɯ	436.46	1429.70	51
00051	low	e	445.57	1855.19	44
00051	low	i	384.32	1925.36	45
00051	low	o	470.84	1010.23	40
00051	low	u	388.07	1085.67	59
00051	low	y	364.86	1576.83	31
00051	low	ø	432.83	1187.56	21
00052	low	i	312.48	1678.72	2
00052	low	o	421.81	894.54	4
00052	low	ɑ	454.39	1456.86	2
00052	low	ɯ	403.31	1495.13	1
00052	low	e	355.86	1687.28	2
00053	low	e	429.25	1826.33	1373
00053	low	ø	423.89	1411.68	414
00053	low	i	405.03	1933.83	940
00053	low	o	464.97	1008.45	744
00053	low	u	426.71	1121.38	811
00053	low	y	393.18	1613.03	474
00053	low	ɑ	599.01	1270.28	2733
00053	low	ɯ	464.10	1387.65	984
00054	low	u	432.63	1166.38	130
00054	low	i	376.65	1917.96	184
00054	low	e	397.59	1820.04	226
00054	low	ɑ	631.96	1265.05	464
00054	low	ɯ	484.10	1461.10	177
00054	low	ø	415.47	1374.21	87
00054	low	y	407.14	1549.39	93
00054	low	o	485.16	997.18	122
00055	low	ɑ	496.99	1349.50	140
00055	low	ɯ	427.13	1428.24	62
00055	low	i	421.53	1814.93	27
00055	low	o	410.92	1160.87	29
00055	low	u	380.24	1195.16	44
00055	low	y	386.40	1517.28	18
00055	low	ø	371.27	1409.92	19
00055	low	e	347.70	1741.04	51
00056	low	o	449.84	877.33	4
00056	low	u	398.72	959.93	3
00056	low	i	477.36	1610.70	5
00056	low	ɑ	640.94	1254.67	3
00056	low	ɯ	482.05	1352.27	3
00056	low	ø	454.29	1307.80	2
00056	low	e	375.88	1619.19	4
00057	low	ɑ	639.24	1244.60	89
00057	low	e	493.57	1914.47	31
00057	low	i	448.17	2211.42	28
00057	low	o	500.62	1016.45	48
00057	low	u	472.13	1122.67	36
00057	low	ɯ	507.94	1486.51	40
00057	low	y	471.41	1702.20	15
