spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	ɪ	441.66	1943.25	11
00000	low	e	444.18	1880.95	17
00000	low	o	420.96	1155.46	3
00000	low	ɑ	671.43	1389.86	20
00000	low	ə	499.36	1500.27	20
00000	low	i	345.65	1848.88	16
00000	low	u	348.24	998.21	1
00000	low	ɔ	579.38	1043.62	3
00000	low	ʊ	438.12	1094.60	6
00000	low	ɛ	605.98	1884.42	2
00002	low	u	347.26	930.13	3
00002	low	i	366.79	2134.33	11
00002	low	ɑ	607.10	1200.15	29
00002	low	ə	499.92	1392.40	27
00002	low	ɪ	480.63	1962.53	4
00002	low	o	436.88	853.60	6
00002	low	e	424.36	1980.77	18
00002	low	ʊ	452.81	1316.40	3
00002	low	ɛ	567.74	1866.93	4
00002	low	ɔ	513.89	946.93	1
00003	low	ə	560.77	1307.55	16
00003	low	i	321.32	2139.95	4
00003	low	ɛ	463.08	1649.77	2
00003	low	ɑ	587.98	1168.27	11
00003	low	ʊ	469.89	848.53	2
00003	low	ɪ	407.05	1855.78	4
00003	low	e	414.59	1777.03	5
00003	low	o	377.24	736.89	2
00004	low	ɪ	455.97	1738.04	15
00004	low	e	450.69	1839.94	19
00004	low	i	377.28	1864.86	28
00004	low	ə	560.74	1401.85	41
00004	low	ɑ	611.76	1197.58	31
00004	low	ʊ	476.45	1104.74	16
00004	low	u	415.40	941.45	2
00004	low	o	452.02	1238.34	4
00004	low	ɛ	655.20	1601.47	6
00004	low	ɔ	577.67	771.75	2
00005	low	ə	661.66	1399.54	30
00005	low	ɪ	463.60	1688.88	8
00005	low	e	436.01	1796.99	13
00005	low	ɑ	700.43	1197.74	37
00005	low	i	285.51	2138.39	11
00005	low	ʊ	663.73	977.29	1
00005	low	ɛ	583.42	1538.83	9
00005	low	o	482.29	832.36	2
00006	low	ʊ	343.33	1103.60	19
00006	low	u	310.76	1035.92	3
00006	low	ɑ	588.03	1161.53	40
00006	low	e	359.97	1782.60	21
00006	low	i	302.09	1953.33	34
00006	low	ə	465.72	1321.84	53
00006	low	ɪ	347.23	1751.07	17
00006	low	o	383.50	934.94	9
00006	low	ɛ	543.70	1564.77	4
00007	low	ʊ	431.49	934.22	1
00007	low	ɑ	664.25	1198.78	9
00007	low	e	442.38	1813.29	9
00007	low	ə	499.50	1390.54	13
00007	low	i	309.96	1978.07	5
00007	low	ɪ	435.18	1754.18	7
00008	low	ɑ	611.59	1233.75	22
00008	low	ɪ	410.74	2003.11	13
00008	low	i	338.25	2160.85	12
00008	low	ɔ	586.47	976.18	2
00008	low	ə	517.20	1297.58	24
00008	low	ɛ	537.87	1898.17	5
00008	low	ʊ	505.46	1057.42	5
00008	low	o	426.62	912.71	4
00008	low	e	410.24	2153.61	9
00008	low	u	365.87	919.85	3
00009	low	ʊ	433.51	1031.16	1
00009	low	i	346.13	2091.93	1
00009	low	ɪ	443.22	1776.38	2
00009	low	ɑ	619.43	1267.24	3
00009	low	ə	629.29	1305.60	2
00009	low	ɛ	701.22	1374.58	1
00009	low	e	435.41	1698.09	1
