spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	e	437.78	1613.22	14
00000	low	ɛ	493.11	1736.29	11
00000	low	ø	540.30	1207.47	2
00000	low	ɐ	674.49	1098.18	4
00000	low	ɵ	355.90	1170.37	2
00000	low	o	331.25	737.84	8
00000	low	ɑ	525.81	1138.11	10
00000	low	œ	466.00	1255.13	2
00000	low	ɔ	408.02	818.08	5
00000	low	ʏ	265.85	2086.46	1
00000	low	i	305.29	2079.49	3
00000	low	ɪ	322.86	2390.81	2
00000	low	u	316.94	931.40	1
00002	low	ɐ	699.77	1204.40	1
00002	low	ɵ	587.83	1526.89	1
00002	low	ɑ	473.29	1443.21	2
00002	low	ɔ	467.23	1087.12	1
00003	low	i	382.70	1834.51	35
00003	low	ɑ	516.70	1152.75	64
00003	low	ɛ	530.15	1496.26	29
00003	low	ɐ	592.71	1220.81	26
00003	low	ʉ	355.54	1455.25	9
00003	low	u	406.32	1049.38	18
00003	low	o	433.15	932.05	19
00003	low	ɔ	445.85	1057.03	12
00003	low	ø	511.04	1422.17	10
00003	low	e	432.02	1550.53	66
00003	low	ɪ	358.81	1894.18	14
00003	low	y	317.80	1984.09	4
00003	low	ɵ	382.30	1356.89	8
00003	low	ʏ	292.87	1916.64	2
00003	low	œ	411.09	1325.66	2
00004	low	ɐ	669.18	1227.69	9
00004	low	ø	564.23	1612.83	3
00004	low	ɵ	373.78	1332.67	5
00004	low	i	419.15	1829.59	9
00004	low	ɛ	560.60	1586.69	10
00004	low	e	523.35	1604.29	30
00004	low	ɑ	634.60	1230.02	27
00004	low	o	516.97	934.29	5
00004	low	ɪ	441.27	1973.52	4
00004	low	u	526.45	1095.74	7
00004	low	ɔ	502.31	1055.26	7
00004	low	œ	629.26	1293.34	4
00004	low	ʏ	366.08	1942.09	2
00004	low	ʉ	342.26	1622.43	2
00004	low	y	346.99	2042.57	1
00005	low	ɪ	385.45	1942.81	8
00005	low	ɔ	458.85	929.43	7
00005	low	e	493.47	1507.52	13
00005	low	ɐ	650.50	1153.45	7
00005	low	ɵ	448.17	1211.00	2
00005	low	ɑ	577.99	1175.83	14
00005	low	ɛ	526.91	1591.66	8
00005	low	o	431.55	681.92	3
00005	low	ø	483.92	1495.24	2
00005	low	i	403.21	1834.75	4
00005	low	u	538.07	1133.49	4
00005	low	ʉ	401.63	1524.27	1
00005	low	ʏ	372.52	2004.42	1
00005	low	œ	488.40	1219.79	1
00006	low	ɑ	533.74	1256.17	368
00006	low	ɛ	526.12	1612.80	201
00006	low	e	465.37	1629.01	369
00006	low	i	401.35	1954.81	130
00006	low	ʉ	369.85	1584.65	72
00006	low	u	454.72	1027.27	75
00006	low	ɐ	578.94	1198.94	92
00006	low	o	438.83	1052.16	81
