spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	e	554.84	1695.36	15
00000	low	a	612.81	1436.23	90
00000	low	i	306.45	2114.16	24
00000	low	ɛ	654.83	1814.66	4
00000	low	ɔ	498.49	1128.09	15
00000	low	ɯ	343.09	1714.98	5
00000	low	u	358.67	994.40	13
00000	low	o	412.14	1312.77	9
00000	low	ɤ	427.62	1503.57	2
00008	low	i	328.73	2407.46	1
00008	low	ɔ	442.19	1335.27	2
00008	low	o	479.75	684.30	1
00008	low	a	530.85	1545.48	5
00008	low	ɤ	467.54	1599.11	1
00008	low	u	313.80	709.68	1
00009	low	a	621.36	1283.22	38
00009	low	ɯ	397.15	1316.65	4
00009	low	u	402.49	876.40	5
00009	low	o	520.95	1069.07	11
00009	low	i	373.02	2382.65	3
00009	low	ɔ	600.04	1134.93	6
00009	low	e	447.37	1641.68	4
00009	low	ɤ	453.66	1520.18	1
00009	low	ɛ	654.63	1392.66	1
00010	low	a	571.39	1490.36	301
00010	low	e	547.10	1677.98	33
00010	low	ɤ	477.48	1555.24	10
00010	low	i	342.44	2154.64	53
00010	low	ɔ	549.35	1112.75	28
00010	low	u	404.24	984.76	27
00010	low	ɛ	627.27	1847.71	13
00010	low	o	425.97	1192.71	35
00010	low	ɯ	404.32	1724.16	15
00015	low	u	444.85	946.77	9
00015	low	a	591.43	1420.45	48
00015	low	ɯ	449.91	1860.29	5
00015	low	o	438.52	1523.04	12
00015	low	i	401.13	2216.30	9
00015	low	e	579.10	1679.36	8
00015	low	ɛ	589.90	1314.45	1
00015	low	ɔ	619.05	1220.13	10
00015	low	ɤ	609.62	1574.05	1
00026	low	u	441.16	925.01	3
00026	low	a	595.80	1396.24	29
00026	low	ɯ	432.42	1665.62	6
00026	low	ɔ	530.58	983.72	3
00026	low	ɛ	624.87	1855.80	6
00026	low	o	473.54	1094.23	5
00026	low	e	462.89	1711.68	4
00026	low	i	322.01	2249.30	4
00026	low	ɤ	492.53	1763.63	1
00028	low	u	380.57	1088.13	4
00028	low	a	588.65	1380.70	76
00028	low	ɔ	634.21	1217.78	16
00028	low	ɤ	477.63	1516.12	2
00028	low	e	518.48	1631.53	12
00028	low	i	331.92	2211.75	10
00028	low	ɛ	654.00	1715.58	5
00028	low	o	534.46	1273.86	4
00028	low	ɯ	374.36	1713.44	4
00034	low	e	845.26	1367.29	1
00034	low	a	585.98	1390.50	36
00034	low	i	485.68	2142.39	4
00034	low	u	388.14	985.86	5
00034	low	ɯ	365.13	1028.04	1
00034	low	ɔ	556.07	1103.47	6
00034	low	ɛ	552.98	1804.81	3
00034	low	o	421.22	822.36	1
00034	low	ɤ	540.24	1557.46	1
00035	low	e	694.01	1391.25	6
00035	low	a	564.36	1373.06	35
00035	low	ɔ	609.01	1067.73	8
00035	low	o	538.54	1074.10	6
00035	low	u	429.27	873.38	6
00035	low	i	360.31	2352.70	7
00035	low	ɤ	522.32	1482.81	3
00035	low	ɛ	533.71	1630.86	3
00035	low	ɯ	435.82	1610.57	2
00037	low	a	527.53	1349.87	42
00037	low	u	377.87	970.61	3
00037	low	o	451.59	1033.99	7
00037	low	i	371.05	2217.66	6
00037	low	ɤ	465.39	1460.87	3
00037	low	e	501.18	1489.11	5
00037	low	ɯ	374.93	1238.02	3
00037	low	ɔ	578.55	1118.10	5
00037	low	ɛ	674.58	1808.87	3
00049	low	a	539.01	1323.56	37
00049	low	ɯ	347.47	1677.45	1
00049	low	ɔ	535.71	1084.84	7
00049	low	ɤ	466.16	1302.52	1
00049	low	o	480.73	1005.57	4
00049	low	u	334.45	836.49	3
00049	low	i	295.79	2027.37	5
00049	low	e	539.32	1434.93	7
00049	low	ɛ	664.11	1521.18	3
00060	low	e	553.21	1432.42	4
00060	low	a	623.96	1329.85	35
00060	low	i	435.15	2140.05	11
00060	low	ɯ	453.79	1589.20	3
00060	low	ɔ	651.06	1161.88	4
00060	low	u	431.23	1039.33	4
