spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	ɑ	587.60	1210.32	12
00000	low	ɪ	385.13	1834.36	23
00000	low	ɛ	445.57	1594.49	48
00000	low	ɔ	447.77	1029.74	12
00000	low	eː	372.23	1668.65	29
00000	low	aː	658.75	1423.07	8
00000	low	oː	397.65	949.33	6
00000	low	ʏ	412.70	1474.16	5
00000	low	œ	646.97	1433.81	3
00000	low	uː	330.36	1141.55	3
00000	low	iː	306.70	2171.36	7
00000	low	øː	409.57	1364.60	1
00004	low	ɔ	505.01	1100.91	16
00004	low	ɛ	444.47	1535.76	61
00004	low	œ	612.40	1525.68	6
00004	low	ɑ	567.54	1337.75	17
00004	low	oː	467.04	1123.32	13
00004	low	eː	404.14	1679.97	43
00004	low	ʏ	388.62	1528.88	7
00004	low	yː	272.18	1892.13	4
00004	low	a	644.13	1497.33	2
00004	low	y	564.18	825.86	2
00004	low	aː	628.85	1466.13	13
00004	low	ɪ	389.45	1907.73	19
00004	low	uː	388.56	1188.55	4
00004	low	iː	320.66	2141.37	9
00004	low	øː	368.99	1675.12	1
00005	low	ɛ	505.74	1594.98	45
00005	low	ɑ	644.52	1333.98	5
00005	low	iː	241.53	1937.78	6
00005	low	ɪ	425.93	1932.74	15
00005	low	eː	367.99	1665.67	21
00005	low	uː	218.97	943.75	3
00005	low	aː	704.35	1426.88	11
00005	low	ɔ	377.76	996.05	6
00005	low	yː	286.93	1696.75	3
00005	low	y	238.88	965.31	1
00005	low	oː	340.02	889.43	3
00005	low	ʏ	290.97	1857.66	2
00006	low	ɛ	459.82	1581.39	14
00006	low	oː	460.16	797.45	1
00006	low	ʏ	403.12	1615.84	1
00006	low	ɑ	592.62	969.07	5
00006	low	iː	310.36	2250.39	3
00006	low	eː	413.05	1571.19	9
00006	low	ɔ	422.42	726.88	4
00006	low	uː	399.19	932.62	2
00006	low	aː	658.15	1249.98	4
00006	low	ɪ	390.60	2129.05	2
00007	low	eː	551.53	1713.04	163
00007	low	ɑ	721.48	1156.77	85
00007	low	aː	787.25	1368.12	71
00007	low	ɪ	518.50	1957.25	103
00007	low	oː	567.70	915.34	17
00007	low	ɛ	624.38	1632.00	275
00007	low	iː	440.46	2068.83	41
00007	low	uː	456.32	674.91	3
00007	low	ɔ	585.38	1037.91	30
00007	low	y	668.78	823.68	2
00007	low	œ	767.68	1410.72	5
00007	low	ʏ	515.49	1511.31	20
00007	low	yː	336.38	1686.77	5
00007	low	a	657.45	1290.24	2
00007	low	øː	525.55	1466.89	2
00008	low	ɛ	458.30	1532.28	12
00008	low	eː	418.78	1813.63	6
00008	low	ɔ	514.65	1162.59	2
00008	low	ɪ	448.91	1903.33	5
00008	low	uː	348.12	876.30	1
00008	low	aː	748.03	1572.85	3
00008	low	ɑ	641.40	1300.37	8
00008	low	iː	553.75	1581.59	1
00008	low	œ	509.20	1493.23	1
00008	low	oː	400.78	828.22	1
00010	low	ɛ	472.30	1571.09	57
00010	low	eː	400.17	1713.29	40
00010	low	ɔ	454.40	1162.88	8
00010	low	oː	421.10	897.02	5
00010	low	ɪ	479.37	1826.17	18
00010	low	iː	349.18	1918.86	12
00010	low	uː	344.48	1207.83	5
00010	low	aː	640.19	1152.20	13
00010	low	ʏ	406.40	1495.40	4
00010	low	ɑ	576.43	1122.09	15
