spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	ʏ	367.47	1189.44	8
00000	low	e	346.84	2097.29	22
00000	low	ɑ	648.47	1237.09	8
00000	low	ə	388.61	1351.59	13
00000	low	ʊ	317.24	1382.93	2
00000	low	ɪ	453.54	1766.25	12
00000	low	i	344.62	2738.55	1
00000	low	o	445.85	853.49	1
00002	low	e	431.09	1737.24	2
00002	low	ɑ	605.18	1165.49	11
00002	low	ə	503.24	1295.22	11
00002	low	ɪ	407.24	1470.72	6
00002	low	ʊ	493.37	1038.18	2
00002	low	ʏ	400.23	1543.31	3
00006	low	ɑ	538.50	1278.43	19
00006	low	ə	453.67	1270.30	9
00006	low	o	437.07	925.83	4
00007	low	ʊ	419.48	1380.33	3
00007	low	ə	391.46	1262.12	23
00007	low	o	497.11	954.38	5
00007	low	ɑ	625.81	1197.84	23
00007	low	e	371.79	2062.25	22
00007	low	ʏ	407.86	1440.78	7
00007	low	ɪ	371.54	1852.25	21
00007	low	æ	617.96	2005.96	3
00009	low	ɑ	490.99	1193.10	15
00009	low	ə	365.33	1116.32	4
00009	low	e	338.83	1845.41	5
00009	low	ɪ	336.21	1590.35	10
00009	low	o	411.81	1030.57	1
00009	low	ʏ	348.59	1288.23	4
00013	low	ɑ	646.89	1296.64	51
00013	low	ə	473.21	1324.96	29
00013	low	ʏ	396.86	1263.67	13
00013	low	ɪ	445.34	1627.99	13
00013	low	e	400.50	1849.73	36
00013	low	o	463.78	841.14	9
00013	low	ʊ	438.09	937.01	1
00013	low	æ	725.59	1547.41	1
00015	low	ɑ	633.83	1226.97	497
00015	low	ə	515.50	1274.35	277
00015	low	ʏ	422.59	1361.05	105
00015	low	e	417.33	1848.72	293
00015	low	ɪ	444.19	1678.24	226
00015	low	o	468.74	880.19	80
00015	low	ʊ	553.86	1219.39	25
00015	low	æ	634.84	1677.09	20
00015	low	i	462.04	1893.89	14
00015	low	u	348.92	1224.02	1
00017	low	ʏ	591.18	1756.77	2
00017	low	ə	430.97	975.84	1
00018	low	ɑ	595.86	1236.14	34
00018	low	ə	462.66	1200.92	17
00018	low	ɪ	444.41	1387.04	7
00018	low	o	471.25	890.50	4
00018	low	e	386.55	1747.85	3
00018	low	i	629.26	2184.14	3
00018	low	ʏ	426.48	1562.03	1
00019	low	ɑ	708.74	1432.59	37
00019	low	ʊ	522.87	1239.84	3
00019	low	e	417.64	1752.84	25
00019	low	ɪ	440.25	1572.21	15
00019	low	ʏ	430.71	1527.69	16
00019	low	ə	485.51	1360.56	24
00019	low	o	468.73	1054.09	11
00019	low	i	343.73	2106.12	1
00021	low	e	349.19	1698.52	2
00021	low	ɪ	444.02	1445.00	1
00021	low	ɑ	495.99	1267.79	2
00021	low	ə	583.05	1422.75	1
00025	low	ɑ	584.48	1155.89	24
00025	low	ə	454.61	1139.44	28
00025	low	o	445.92	919.86	10
00025	low	ɪ	444.78	1443.28	13
00025	low	e	374.17	1702.23	14
00025	low	ʏ	396.56	1391.98	4
00026	low	ɑ	563.14	1125.37	16
00026	low	ə	479.72	1220.63	8
00026	low	ɪ	397.93	1705.24	5
00026	low	ʏ	317.34	917.28	1
00026	low	e	605.50	1813.96	1
00026	low	o	459.09	837.21	2
00026	low	ʊ	590.99	1653.01	1
00027	low	ɑ	548.66	1191.17	35
00027	low	e	342.42	1968.30	11
00027	low	ə	441.95	1226.33	10
00027	low	ʊ	494.73	1027.93	2
00027	low	ɪ	385.75	1473.60	9
00027	low	æ	526.93	1518.83	1
00027	low	o	427.33	748.54	6
00027	low	ʏ	396.88	1365.96	2
00032	low	ɑ	662.77	1424.88	20
00032	low	ə	429.22	1445.41	14
00032	low	e	397.05	1744.53	20
00032	low	ɪ	441.90	1592.43	15
00032	low	i	306.19	2578.94	1
00032	low	ʏ	379.95	1465.34	4
00032	low	æ	773.73	1604.80	1
00032	low	ʊ	530.45	1123.86	1
00035	low	o	508.52	1031.68	2
00035	low	ɑ	642.58	1333.25	10
00035	low	ʏ	428.17	1450.90	5
00035	low	ɪ	361.83	1769.28	4
00035	low	e	415.03	1940.06	12
00035	low	æ	486.70	1604.03	1
00035	low	ə	394.12	1463.27	6
00035	low	ʊ	517.91	1501.30	2
00036	low	ɑ	643.71	1217.83	5
00036	low	ə	383.28	1259.57	6
00036	low	e	372.23	1729.79	5
00036	low	ɪ	383.83	1578.03	8
00036	low	o	435.03	846.56	2
00037	low	e	375.57	1934.48	46
00037	low	ɪ	431.39	1538.47	36
00037	low	ʏ	448.68	1467.03	12
00037	low	ɑ	678.34	1225.24	107
00037	low	ə	490.21	1232.17	54
00037	low	o	481.86	892.49	15
00037	low	æ	692.14	1707.08	3
00037	low	i	318.88	2431.97	2
00037	low	ʊ	619.73	1763.05	2
00038	low	ɪ	456.21	1317.14	119
00038	low	ɑ	683.32	1132.74	343
00038	low	o	508.44	899.68	61
00038	low	ʊ	568.25	1121.78	20
00038	low	ə	486.15	1129.52	159
00038	low	ʏ	427.62	1279.21	68
00038	low	e	427.69	1688.83	145
00038	low	æ	662.17	1262.48	6
00038	low	i	418.32	2052.94	15
00038	low	a	801.19	1136.25	1
00039	low	e	372.39	2019.31	3
00039	low	ə	400.77	1244.38	5
00039	low	ɑ	731.28	1343.12	5
00039	low	ʊ	417.27	887.83	1
00039	low	ɪ	415.67	1630.14	3
00039	low	ʏ	372.50	1170.36	2
00041	low	ɑ	551.28	1147.81	8
00041	low	i	445.10	1800.64	1
00041	low	ə	473.82	1139.53	5
00041	low	e	272.99	1952.85	3
00042	low	ɑ	589.83	1153.26	52
00042	low	ə	442.58	1381.26	28
00042	low	o	441.78	939.77	7
00042	low	ʏ	381.88	1147.34	2
00042	low	ɪ	392.93	1585.45	15
00042	low	e	371.79	1910.85	17
00042	low	ʊ	526.20	1127.99	3
00044	low	ɑ	548.18	1147.37	19
00044	low	ə	468.53	1083.95	6
00044	low	ʊ	570.77	1502.57	2
00044	low	ɪ	432.11	1338.57	2
00044	low	e	400.91	1417.53	1
00044	low	ʏ	348.18	1015.69	1
00044	low	o	412.19	843.33	1
00045	low	o	442.61	862.82	4
00045	low	ɑ	588.76	1117.09	7
00045	low	ə	365.74	1214.08	4
00047	low	ɑ	453.19	1171.42	9
00047	low	ə	371.10	1135.94	8
00047	low	ʏ	362.69	1318.48	3
00047	low	ɪ	328.52	1542.35	5
00047	low	e	326.91	1962.00	3
00047	low	o	398.43	909.85	4
00047	low	ʊ	458.85	1672.89	2
00048	low	ɑ	734.40	1296.09	3
00048	low	ə	784.80	1238.47	1
00048	low	ʏ	596.74	1373.07	1
00054	low	ʏ	326.06	1171.32	6
00054	low	e	352.71	1928.73	30
00054	low	ɪ	349.45	1495.47	13
00054	low	o	390.69	795.80	11
00054	low	ɑ	572.16	1127.92	48
00054	low	ə	399.09	1107.43	22
00054	low	ʊ	343.30	931.08	2
00054	low	i	238.38	2201.60	1
00055	low	ʏ	444.43	1261.06	3
00055	low	ɑ	645.40	1253.63	28
00055	low	ə	507.62	1363.31	15
00055	low	e	396.30	1833.22	5
00055	low	o	469.86	904.57	7
00055	low	ɪ	392.33	1664.19	5
00056	low	ɑ	621.72	1238.75	42
00056	low	ə	475.19	1266.14	27
00056	low	o	501.33	772.44	7
00056	low	ʏ	400.12	1673.39	7
00056	low	ɪ	383.94	1577.52	18
00056	low	e	406.34	1715.79	43
00056	low	i	305.64	2332.07	1
00056	low	ʊ	425.92	1203.45	7
00056	low	æ	661.96	1744.86	1
00001	high	ʏ	599.87	1591.79	5
00001	high	ɪ	524.25	1676.84	16
00001	high	o	610.58	1084.14	9
00001	high	ə	661.19	1508.49	12
00001	high	e	508.41	2159.34	17
00001	high	ɑ	882.74	1454.37	12
00001	high	ʊ	679.41	1028.71	1
00001	high	æ	840.57	1736.24	1
00003	high	ɑ	675.85	1357.43	22
00003	high	ə	455.41	1444.17	4
00003	high	ʏ	460.03	2247.26	2
00003	high	e	458.95	2092.28	8
00003	high	ɪ	489.59	1895.88	9
00003	high	i	399.28	2218.66	2
00003	high	o	411.32	811.24	1
00004	high	ʏ	569.91	1623.33	6
00004	high	e	422.91	2070.63	26
00004	high	ɪ	497.35	1837.65	13
00004	high	ɑ	647.49	1339.33	54
00004	high	ə	500.04	1346.62	12
00004	high	o	464.38	813.86	5
00004	high	æ	754.81	1745.76	3
00004	high	ʊ	537.18	907.99	1
00005	high	ɑ	537.60	1052.49	5
00005	high	ʊ	594.20	1713.32	6
00005	high	o	398.71	1055.16	2
00005	high	ə	397.59	1101.72	5
00005	high	e	404.52	1914.01	2
00008	high	ʏ	345.52	1629.36	2
00008	high	ɪ	352.31	1823.23	7
00008	high	e	433.65	2285.70	8
00008	high	ɑ	712.48	1214.55	22
00008	high	ʊ	513.46	1304.43	1
00008	high	ə	645.25	1509.48	9
00008	high	æ	679.01	1529.62	2
00008	high	i	262.08	2341.16	1
00008	high	o	481.15	928.11	1
00010	high	ɑ	730.08	1595.07	68
00010	high	ə	532.16	1617.90	33
00010	high	ʏ	449.04	1941.23	12
00010	high	o	598.41	961.59	6
00010	high	ɪ	507.97	1860.56	37
00010	high	i	679.72	2449.87	3
00010	high	e	500.30	2087.46	27
