spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	a	594.05	1352.40	39
00000	low	i	328.50	2019.75	31
00000	low	e	419.88	1816.34	63
00000	low	o	450.06	995.54	48
00000	low	ɨ	422.29	1560.27	10
00000	low	u	348.22	1006.50	16
00000	low	ɪ	356.92	1906.45	11
00000	low	ʊ	411.29	1000.03	5
00001	low	i	292.88	2055.53	12
00001	low	o	508.98	1043.92	11
00001	low	a	716.30	1414.22	13
00001	low	ʊ	277.02	915.98	1
00001	low	e	353.80	1697.14	12
00001	low	ɨ	286.77	1562.99	3
00001	low	ɪ	317.39	1818.94	3
00001	low	u	270.72	1122.09	6
00002	low	a	622.07	1343.95	43
00002	low	ɨ	374.03	1619.22	13
00002	low	i	299.40	2058.22	19
00002	low	ʊ	396.06	921.99	1
00002	low	o	440.26	1079.47	34
00002	low	u	314.75	1219.89	10
00002	low	e	399.74	1769.67	37
00002	low	ɪ	299.19	1908.78	5
00003	low	u	341.32	1110.79	183
00003	low	o	477.06	1080.24	431
00003	low	i	305.08	1975.23	255
00003	low	e	413.29	1693.56	434
00003	low	a	629.34	1301.29	417
00003	low	ɨ	377.63	1491.60	105
00003	low	ʊ	401.12	1046.83	23
00003	low	ɪ	361.42	1751.46	76
00004	low	ʊ	408.58	1085.01	22
00004	low	o	434.67	1077.84	208
00004	low	a	560.11	1313.94	206
00004	low	e	407.22	1644.04	204
00004	low	ɪ	366.20	1773.75	37
00004	low	ɨ	383.65	1510.28	46
00004	low	i	351.06	1940.46	109
00004	low	u	365.02	997.75	79
00005	low	ɨ	336.03	1531.59	45
00005	low	o	422.13	1011.45	211
00005	low	a	612.82	1266.15	188
00005	low	i	262.32	2149.86	123
00005	low	u	298.05	959.90	94
00005	low	ɪ	321.06	1929.88	44
00005	low	e	378.68	1723.05	193
00005	low	ʊ	368.95	956.31	14
00007	low	o	439.12	1075.17	260
00007	low	a	558.37	1301.11	256
00007	low	e	417.96	1598.93	263
00007	low	u	360.08	1046.84	99
00007	low	ɨ	391.26	1464.36	70
00007	low	ɪ	376.43	1711.95	46
00007	low	i	346.11	1948.58	129
00007	low	ʊ	393.04	1087.49	25
00008	low	o	481.46	1089.96	662
00008	low	i	322.15	1999.10	363
00008	low	e	425.39	1699.89	683
00008	low	a	657.14	1388.27	763
00008	low	ɨ	384.20	1537.13	184
00008	low	ʊ	385.32	1086.43	57
00008	low	u	352.21	1085.74	281
00008	low	ɪ	352.41	1792.42	125
00009	low	ɪ	383.15	2136.11	7
00009	low	o	540.94	1011.90	33
00009	low	a	665.32	1446.72	24
00009	low	u	400.19	997.72	6
00009	low	ʊ	433.20	1118.98	2
00009	low	e	482.52	1737.92	14
00009	low	ɨ	489.09	1681.52	6
00009	low	i	329.99	2134.99	12
00010	low	ɪ	376.26	1931.98	8
00010	low	a	572.06	1235.28	37
00010	low	e	450.84	1683.87	43
00010	low	i	323.52	2053.41	23
00010	low	o	465.28	1095.56	38
00010	low	u	329.25	838.98	12
00010	low	ɨ	355.94	1574.44	13
00010	low	ʊ	359.74	1260.92	2
00012	low	o	503.79	1086.60	3382
00012	low	a	656.31	1411.03	3926
00012	low	i	329.26	2108.24	1966
00012	low	u	357.67	968.53	1474
00012	low	e	450.50	1775.31	3376
00012	low	ɨ	419.24	1550.59	958
00012	low	ʊ	414.23	983.43	327
00012	low	ɪ	376.32	1959.89	741
00014	low	ɨ	356.69	1619.28	12
00014	low	e	422.22	1715.28	46
00014	low	a	578.49	1283.16	34
00014	low	o	484.98	1071.71	41
00014	low	i	322.28	2036.14	22
00014	low	u	343.88	1032.59	21
00014	low	ʊ	416.72	1011.69	6
00014	low	ɪ	406.32	1818.27	3
00015	low	o	407.96	859.85	12
00015	low	u	330.06	823.80	9
00015	low	a	523.98	1277.33	11
00015	low	ɪ	388.40	1963.97	4
00015	low	e	434.62	1758.89	13
00015	low	i	326.65	2184.24	8
00015	low	ɨ	397.82	1524.06	4
00015	low	ʊ	364.07	854.55	4
00016	low	u	336.49	994.35	21
00016	low	o	486.67	1045.74	41
00016	low	e	435.52	1641.16	45
00016	low	a	593.53	1261.02	33
00016	low	i	330.03	1978.28	27
00016	low	ɨ	364.22	1571.33	11
00016	low	ʊ	397.48	878.40	3
00016	low	ɪ	390.82	1749.35	5
00018	low	o	490.45	1052.13	42
00018	low	a	623.63	1329.45	50
00018	low	e	445.16	1715.40	44
00018	low	ʊ	362.32	1035.91	4
00018	low	u	299.31	930.16	12
00018	low	i	285.77	2112.48	28
00018	low	ɨ	328.05	1448.55	8
00018	low	ɪ	335.13	1970.88	9
00006	high	u	374.39	1057.75	11
00006	high	a	769.46	1431.82	26
00006	high	o	462.32	1078.60	22
00006	high	ɪ	426.19	2033.29	5
00006	high	e	486.41	1970.13	32
00006	high	i	359.46	2418.99	11
00006	high	ɨ	447.52	1264.86	2
00013	high	u	388.02	1238.60	48
00013	high	ɨ	447.94	1707.33	38
00013	high	o	531.90	1190.54	105
00013	high	a	790.54	1526.45	169
00013	high	i	391.71	2174.30	80
00013	high	ʊ	445.84	1162.96	14
00013	high	e	466.56	1888.86	146
00013	high	ɪ	429.48	1971.75	31
00017	high	i	390.49	2450.94	126
00017	high	a	780.65	1333.18	224
00017	high	e	542.42	1690.74	178
00017	high	o	562.31	1036.80	223
00017	high	u	395.71	965.27	88
00017	high	ɨ	485.71	1530.30	39
00017	high	ɪ	429.63	2034.14	27
00017	high	ʊ	468.86	1029.16	16
