spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	aː	587.92	1404.28	2
00000	low	uo	487.35	1333.25	1
00003	low	u	372.65	869.70	2
00003	low	a	816.95	1451.88	1
00003	low	aː	816.06	1476.56	3
00003	low	ɔ	729.51	1076.43	2
00003	low	ɤ	488.66	1250.79	3
00003	low	ɛ	590.97	2003.61	2
00003	low	i	343.63	2251.81	1
00004	low	uo	435.66	910.16	7
00004	low	e	462.77	1928.84	15
00004	low	ɯ	333.79	1545.80	7
00004	low	ɤ	537.26	1443.71	50
00004	low	i	317.81	2311.67	32
00004	low	o	461.99	973.70	28
00004	low	ɔ	632.58	1102.52	36
00004	low	aː	701.69	1513.94	72
00004	low	ie	409.98	1996.87	8
00004	low	u	412.45	940.39	22
00004	low	a	682.91	1406.28	10
00004	low	ɯɤ	468.62	1311.14	18
00004	low	ɛ	588.07	1788.94	11
00006	low	i	328.34	1934.61	15
00006	low	aː	683.00	1432.12	81
00006	low	ɔ	601.17	1049.49	37
00006	low	e	422.33	1920.62	16
00006	low	ɯɤ	425.54	1387.68	14
00006	low	uo	414.50	867.75	10
00006	low	o	436.30	963.60	40
00006	low	u	411.32	948.94	21
00006	low	ɯ	345.67	1438.49	13
00006	low	ie	396.38	1984.40	11
00006	low	ɤ	497.97	1386.67	45
00006	low	ɛ	561.59	1702.31	13
00006	low	a	725.64	1393.73	9
00011	low	ɤ	656.68	1278.72	4
00011	low	e	348.83	1992.31	1
00011	low	uo	380.64	922.60	2
00011	low	ɔ	635.47	1094.39	2
00011	low	ɯɤ	367.26	1152.58	2
00011	low	ɯ	320.45	1294.98	1
00011	low	aː	786.13	1534.26	1
00011	low	u	368.74	852.05	1
00015	low	ɔ	585.26	1116.76	3
00015	low	e	470.05	1911.89	3
00015	low	u	444.79	1049.78	2
00015	low	ɤ	536.28	1677.20	4
00015	low	aː	668.90	1584.23	4
00015	low	o	454.53	1076.23	2
00015	low	ɛ	391.50	1934.78	1
00015	low	ɯ	354.95	1554.48	1
00015	low	a	691.82	1560.96	1
00016	low	uo	385.31	1009.25	6
00016	low	aː	617.84	1554.02	69
00016	low	o	494.16	983.39	25
00016	low	ɤ	509.03	1444.37	36
00016	low	ɔ	504.44	1143.63	25
00016	low	a	653.27	1482.97	7
00016	low	e	446.16	1672.73	15
00016	low	u	418.09	1099.36	20
00016	low	i	326.62	1928.60	19
00016	low	ie	388.03	1941.06	10
00016	low	ɯɤ	382.11	1445.80	18
00016	low	ɛ	537.42	1900.74	5
00016	low	ɯ	296.92	1709.61	5
00018	low	ɤ	560.87	1319.94	2
00018	low	ɯɤ	451.67	1232.51	1
00018	low	ie	339.34	2086.57	1
00018	low	o	465.07	860.76	1
00019	low	ɤ	558.46	1583.63	3
00019	low	u	395.37	894.64	3
00019	low	uo	402.02	821.62	1
00019	low	ɔ	611.63	1222.19	4
00019	low	aː	711.21	1520.63	5
00019	low	o	595.60	1160.32	2
00019	low	ɛ	688.21	1877.29	2
00019	low	ɯɤ	485.95	1353.03	3
00019	low	ie	392.80	1701.37	1
00019	low	ɯ	348.47	1531.16	2
00022	low	o	476.55	904.10	3
00022	low	u	482.11	1012.13	3
00022	low	a	610.69	1352.21	2
00022	low	ie	375.66	1859.39	2
00022	low	aː	665.61	1353.89	11
00022	low	ɯ	337.87	1554.86	1
00022	low	ɤ	606.62	1223.06	5
00022	low	ɔ	634.41	1048.70	4
00022	low	ɛ	526.31	1604.43	2
00022	low	i	333.15	1939.15	2
00025	low	o	542.01	833.32	3
00025	low	a	671.52	1127.81	1
00025	low	aː	525.48	1483.95	1
00026	low	aː	622.36	1557.99	8
00026	low	o	467.10	1134.69	6
00026	low	u	550.96	1112.57	2
00026	low	ɔ	531.34	1252.66	5
00026	low	ɯ	304.18	1592.51	2
00026	low	ɤ	457.74	1611.47	3
00026	low	ɛ	467.49	1998.96	3
00026	low	i	294.61	2232.20	3
00026	low	ɯɤ	413.80	1483.10	1
00026	low	a	414.87	1389.64	1
00026	low	ie	366.40	1898.92	2
00026	low	e	394.66	1981.93	1
00027	low	ɤ	524.21	1213.00	4
00027	low	uo	301.73	1232.79	1
00027	low	u	401.17	1062.84	4
00027	low	ɯɤ	295.05	1453.06	1
00027	low	ɛ	439.88	1777.12	5
00027	low	a	709.37	1563.93	2
00027	low	ɔ	483.95	938.85	4
00027	low	aː	628.74	1490.64	8
00027	low	o	465.19	970.79	4
00027	low	e	519.97	1601.46	2
00027	low	i	238.87	1879.53	1
00028	low	o	501.34	976.30	7
00028	low	ɤ	519.25	1558.58	7
00028	low	ie	462.78	1776.64	2
00028	low	ɯɤ	440.91	1464.66	2
00028	low	aː	674.11	1628.81	8
00028	low	i	324.81	2090.65	3
00028	low	ɔ	505.62	1086.90	5
00028	low	ɛ	556.31	2040.62	2
00028	low	u	294.57	1461.65	1
00028	low	e	396.48	2044.96	1
00029	low	ɔ	560.12	1162.29	5
00029	low	e	474.62	1702.82	2
00029	low	i	319.61	2054.33	4
00029	low	ie	345.53	2068.47	3
00029	low	ɤ	524.40	1347.74	15
00029	low	aː	668.61	1402.20	14
00029	low	u	443.39	1029.76	3
00029	low	ɯɤ	406.48	1190.82	4
00029	low	o	439.79	1034.54	5
00029	low	uo	416.59	835.30	3
00029	low	ɯ	314.91	1666.36	1
00029	low	a	614.91	1411.35	2
00029	low	ɛ	522.83	1791.74	1
00030	low	ɔ	565.21	995.46	7
00030	low	aː	651.60	1377.96	9
00030	low	ie	430.99	2038.19	3
00030	low	o	491.20	923.74	3
00030	low	ɤ	475.54	1280.19	8
00030	low	e	400.99	1973.45	1
00030	low	ɯɤ	306.42	1365.71	1
00030	low	uo	477.50	1133.18	1
00030	low	i	314.54	2411.58	3
00030	low	ɛ	641.26	1780.45	1
00030	low	u	406.90	911.14	3
00032	low	i	350.53	2066.21	17
00032	low	ie	379.04	2105.72	12
00032	low	aː	677.18	1473.85	58
00032	low	e	455.19	1946.35	7
00032	low	ɔ	566.10	1116.82	19
00032	low	ɤ	533.81	1499.73	14
00032	low	u	417.64	908.43	8
00032	low	ɯɤ	403.44	1267.58	10
00032	low	a	636.06	1457.79	9
00032	low	ɯ	364.30	1626.12	4
00032	low	ɛ	534.85	1925.92	10
00032	low	o	513.40	1067.29	21
00032	low	uo	366.91	836.24	8
00035	low	e	462.02	1659.80	1
00035	low	aː	579.44	1655.92	2
00035	low	ɤ	501.11	1465.75	2
00035	low	ɯɤ	418.00	1202.47	1
00035	low	ie	424.13	1887.95	1
00035	low	a	436.46	1567.82	1
00040	low	ɔ	546.39	1034.93	2
00040	low	aː	639.31	1411.17	1
00040	low	o	554.19	869.04	1
00040	low	ɤ	670.17	1309.51	2
00040	low	u	403.18	797.83	2
00040	low	ɯɤ	385.55	1113.97	1
00040	low	a	699.16	1443.24	1
00042	low	ɯɤ	434.19	1274.29	2
00042	low	uo	501.07	1113.43	1
00042	low	aː	796.37	1555.68	2
00042	low	ɯ	427.48	1475.18	1
00044	low	ɤ	439.82	1441.40	16
00044	low	aː	642.93	1511.91	43
00044	low	ɯ	343.63	1743.45	5
00044	low	ɔ	573.27	1077.68	19
00044	low	i	285.00	2231.12	7
00044	low	ie	373.02	1868.04	11
00044	low	u	403.97	1218.15	9
00044	low	ɛ	489.49	1827.53	8
