vowel1	vowel2	cor	count	pval
y	ø	-0.301534921654186	10	0.397165092737645
ø	i	-0.178320094116767	10	0.622093572138122
ʊ	e	0.0132866691898801	10	0.97509042707598
uː	ɔ	0.0267363215028202	10	0.941556086171693
ɔ	ə	0.0763982304308445	10	0.857309732894286
uː	ɪ	0.0912597129964965	10	0.802023677067462
ɔ	ɑ	0.0955830664534857	12	0.767617968927177
o	ə	0.133615609821719	12	0.712878381740033
ɔ	iː	0.135744472517349	10	0.708470340392711
u	eː	0.142625029980002	13	0.658355884048762
ɯ	a	0.147697068077724	10	0.683868858462942
ɯ	o	0.152987991007884	14	0.6015657647871
i	ɛ	0.164735602542274	36	0.336998966309888
i	e	0.178949836830081	44	0.256832004033524
u	ø	0.191761405207622	10	0.595609802702239
ɯ	e	0.200174180011241	14	0.492619347829647
ɔ	o	0.208367748516835	16	0.438682011872067
ɔ	i	0.223014091066633	26	0.273476725299002
ɔ	ɪ	0.225863209548516	14	0.437497597766791
i	ɤ	0.230113115743916	10	0.522445987342706
ɪ	iː	0.248129642596529	10	0.489418273100554
y	e	0.248918684834223	14	0.390803867342787
o	i	0.258445376672018	54	0.0591689527142789
y	ɯ	0.284968388210476	10	0.424834694008628
i	ə	0.298308187134588	14	0.346300017019301
y	o	0.301085576518346	18	0.224704015360864
u	aː	0.310665108315179	17	0.279668596082598
u	ɛ	0.331169492482943	36	0.0484998483670709
ɔ	a	0.343429591290961	18	0.16292040605537
i	a	0.351029756925183	47	0.0167593075221145
e	ɑ	0.360468353907974	14	0.205478963116084
ɪ	ɑ	0.367803608467937	10	0.295721590329292
ɛ	ɑ	0.369990970743459	16	0.158373470112869
ɛ	a	0.370480605377444	22	0.0896428315813742
y	ɑ	0.373342575989866	12	0.231940906511817
u	e	0.379785016912324	43	0.0156428542850799
ʊ	o	0.391463768685793	10	0.337544838484651
o	ɛ	0.392982491970464	28	0.038571725105194
y	u	0.403463147773598	20	0.0777256527510004
ɛ	e	0.404186549706922	20	0.0961972361622742
ə	a	0.406182797002685	11	0.318028478086614
ə	ɑ	0.421645000117203	10	0.224879461475822
ɪ	e	0.451035228364883	12	0.190762731173572
o	eː	0.452696020323754	11	0.188931666471913
aː	a	0.454404292554667	13	0.187059061631098
u	o	0.463117630574499	55	0.000421258828722876
u	a	0.465263644807019	47	0.00112183659209902
oː	i	0.467132912926166	10	0.243202676232888
ɪ	a	0.472326158638831	11	0.168073210330746
u	ɔ	0.485403348985299	24	0.0161975529356321
ɯ	u	0.489938330148118	14	0.0753377253933836
y	a	0.490326760213914	14	0.0750715198343211
y	i	0.497489026638677	22	0.018481029478085
ɔ	aː	0.500478870736809	12	0.1406717778486
ɪ	i	0.511517704205393	16	0.0428406897624309
u	oː	0.521604987638983	10	0.184904088068529
iː	a	0.523430277240583	10	0.120498013425514
o	a	0.529634238163953	43	0.00030990097421546
uː	ɛ	0.537662049199544	14	0.0473679730868982
ɑ	a	0.549639617928242	11	0.0997895888578216
ø	o	0.556361318118271	10	0.0948706825587604
o	ɪ	0.556973936735383	14	0.0385490566605414
u	ɑ	0.557369284062942	23	0.00704074095586839
u	ə	0.561284483053685	13	0.0913678063770272
iː	eː	0.562985234395245	14	0.0360690919904305
u	ɪ	0.576556845979635	15	0.030905584000289
y	ɛ	0.579112350428815	14	0.0299983990930074
ɔ	e	0.580052218833869	16	0.0296697916740792
o	ɑ	0.582398310112178	18	0.0112090052910247
i	ɑ	0.584785490239482	24	0.00268846321385238
uː	eː	0.593190291990754	13	0.0420468909577695
ɪ	ɛ	0.597007525173859	16	0.0146204190141489
i	eː	0.59930054160177	11	0.0670898868563524
uː	oː	0.606968966690086	11	0.0627696610163156
ɔ	ɛ	0.61728344569072	28	0.00046661188537971
ɛ	ə	0.61777059779337	10	0.102646250423504
eː	aː	0.624003259495157	12	0.0538367926227055
iː	ɛ	0.629896660081382	14	0.0157660392083697
e	a	0.635111164764188	37	5.45986513017569e-05
i	aː	0.655612983949213	15	0.0206318006989532
u	iː	0.666963654618905	14	0.00917511175966291
ɛ	aː	0.677350605382693	16	0.00778229297692661
uː	u	0.683435951527882	13	0.0142752942803291
ʊ	i	0.70771705500307	12	0.0220374640805138
uː	o	0.713599996352413	11	0.0204768769498315
oː	ɛ	0.715688072775677	11	0.0199418442694025
o	e	0.736173217563163	44	2.76119821719389e-08
oː	iː	0.743823044325244	11	0.0136457334973458
o	iː	0.75118866720537	12	0.00485826073591038
oː	aː	0.759639182000232	10	0.0287586635127845
iː	i	0.761340275918339	12	0.0040189651544587
u	ɤ	0.771923902014533	10	0.00889629434383009
ɛ	eː	0.789460453263981	13	0.00226005631434248
o	ɤ	0.791529049311461	10	0.00637042347095586
iː	aː	0.798246831144656	13	0.00185544329174493
o	aː	0.814847818910136	15	0.00124437465508573
uː	aː	0.82470509020417	13	0.000963404813143217
u	i	0.825886096023447	61	4.62410989060812e-16
ɯ	i	0.834649452841179	14	0.000204575962046113
uː	i	0.84380236430565	11	0.00214714315659232
oː	eː	0.848119443039292	12	0.00192999160729088
ʊ	ɪ	0.855752556277794	12	0.00158556455814872
ə	e	0.916116196441092	10	0.0013843414390888
ɤ	a	0.936584757944387	10	6.55109741843753e-05
e	aː	0.956053331622759	11	0.000205254363367833
uː	iː	0.97148862797496	15	7.2931906503845e-09
