spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	a	550.31	1352.85	58
00000	low	ə	446.55	1398.40	15
00003	low	a	579.48	1365.47	48
00003	low	ə	413.21	1409.42	9
00007	low	a	567.95	1359.08	1740
00007	low	ə	441.27	1600.07	442
00009	low	a	515.20	1360.70	337
00009	low	ə	372.06	1568.34	87
00010	low	a	584.26	1315.59	30
00010	low	ə	420.69	1374.75	8
00014	low	a	539.31	1335.28	219
00014	low	ə	417.90	1446.05	52
00015	low	a	508.21	1372.67	2410
00015	low	ə	363.27	1540.46	676
00017	low	a	571.85	1393.49	1068
00017	low	ə	406.37	1545.97	290
00018	low	a	543.31	1335.68	687
00018	low	ə	392.27	1461.67	199
00021	low	a	513.39	1165.07	9
00021	low	ə	381.33	1500.95	2
00025	low	a	539.35	1365.18	391
00025	low	ə	406.28	1581.16	117
00027	low	a	558.19	1367.28	263
00027	low	ə	413.21	1495.94	79
00001	high	a	716.75	1503.33	42
00001	high	ə	534.03	1573.44	13
00002	high	a	718.21	1453.47	9
00002	high	ə	538.71	1525.77	4
00004	high	a	656.87	1491.97	11
00004	high	ə	566.85	1616.30	2
00005	high	a	547.83	1762.97	2897
00005	high	ə	391.90	1852.87	738
00006	high	a	629.96	1539.29	872
00006	high	ə	415.28	1622.01	223
00008	high	a	584.65	1629.70	37
00008	high	ə	400.68	1762.65	16
00011	high	a	544.14	1712.17	5
00011	high	ə	449.21	1116.13	1
00012	high	a	591.44	1515.24	93
00012	high	ə	453.18	1596.68	16
00013	high	ə	462.63	1674.03	36
00013	high	a	678.74	1463.25	139
00016	high	a	749.23	1735.12	2
00016	high	ə	324.15	2021.97	1
00019	high	a	563.06	1566.82	553
00019	high	ə	424.59	1746.16	159
00020	high	a	710.95	1599.27	1157
00020	high	ə	450.25	1654.10	330
00022	high	a	665.60	1370.15	3
00023	high	a	771.95	1465.36	9
00023	high	ə	448.37	1580.60	2
00024	high	a	696.20	1486.25	115
00024	high	ə	473.27	1599.17	45
00026	high	a	621.65	1516.85	36
00026	high	ə	531.49	1786.42	5
00028	high	a	557.63	1476.53	2
00028	high	ə	481.63	1566.13	2
