spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	ɛ	485.48	1909.05	10
00000	low	u	420.15	1030.41	11
00000	low	o	519.34	912.84	7
00000	low	a	612.16	1416.19	49
00000	low	i	428.87	1771.92	14
00002	low	ɛ	460.47	1564.54	18
00002	low	a	553.83	1306.59	64
00002	low	i	414.93	1633.50	34
00002	low	u	438.97	1137.06	20
00002	low	o	485.55	921.72	9
00005	low	a	587.69	1522.04	1309
00005	low	i	425.37	1811.53	691
00005	low	u	437.82	1219.65	356
00005	low	o	528.26	1107.40	244
00005	low	ɛ	500.48	1890.77	275
00006	low	a	482.68	1420.72	423
00006	low	i	373.20	1732.62	200
00006	low	u	398.46	1151.46	123
00006	low	ɛ	405.72	1759.78	110
00006	low	o	433.26	1004.38	91
00007	low	o	467.11	988.55	8
00007	low	u	396.12	833.53	10
00007	low	i	367.49	1785.06	30
00007	low	a	544.95	1388.34	38
00007	low	ɛ	413.54	1805.63	12
00008	low	a	536.60	1338.69	89
00008	low	ɛ	451.68	1784.52	21
00008	low	u	375.06	1034.15	21
00008	low	i	413.75	1849.67	52
00008	low	o	403.71	964.82	19
00010	low	ɛ	377.62	1601.43	22
00010	low	a	468.36	1321.47	72
00010	low	o	469.69	1041.75	6
00010	low	u	343.77	1218.62	16
00010	low	i	349.73	1620.59	29
00011	low	ɛ	508.12	1853.84	17
00011	low	a	579.88	1490.73	80
00011	low	u	393.40	1053.07	23
00011	low	i	434.49	1850.10	48
00011	low	o	493.82	973.09	20
00012	low	o	393.70	907.14	47
00012	low	i	364.33	1668.26	111
00012	low	a	477.35	1355.69	236
00012	low	ɛ	403.04	1645.58	49
00012	low	u	355.88	941.95	66
00013	low	a	522.88	1419.29	107
00013	low	ɛ	459.79	1721.67	34
00013	low	i	371.74	1832.81	47
00013	low	u	352.68	1084.61	29
00013	low	o	479.12	1007.18	20
00014	low	a	566.85	1322.77	38
00014	low	u	385.88	1187.91	4
00014	low	ɛ	419.70	1762.99	15
00014	low	i	355.43	1687.89	15
00014	low	o	497.87	928.61	8
00015	low	i	434.28	1611.56	19
00015	low	a	563.30	1313.97	35
00015	low	ɛ	479.09	1605.18	8
00015	low	o	467.39	957.28	7
00015	low	u	420.60	1022.68	12
00016	low	a	509.83	1361.00	125
00016	low	u	407.33	1066.16	34
00016	low	i	382.02	1687.08	72
00016	low	o	436.70	988.08	21
00016	low	ɛ	408.33	1665.80	31
00017	low	a	528.38	1238.31	102
00017	low	ɛ	458.83	1577.25	31
00017	low	i	403.10	1657.29	53
00017	low	u	381.29	954.63	32
00017	low	o	457.23	834.94	26
00019	low	i	413.73	1546.91	152
00019	low	a	513.16	1236.76	280
00019	low	ɛ	448.79	1580.21	65
00019	low	o	462.54	994.04	53
00019	low	u	409.13	995.71	52
00021	low	a	638.23	1350.03	30
00021	low	o	518.53	849.90	15
00021	low	u	487.46	1061.69	8
00021	low	i	447.73	1706.72	15
00021	low	ɛ	520.25	1749.73	9
00024	low	a	515.59	1298.19	184
00024	low	o	444.20	897.36	31
00024	low	u	391.10	936.47	55
00024	low	i	370.55	1754.02	107
00024	low	ɛ	442.12	1639.46	53
00025	low	a	608.91	1387.41	208
00025	low	u	463.22	1027.74	59
00025	low	i	444.84	1766.37	103
00025	low	o	529.71	975.11	38
00025	low	ɛ	496.23	1776.65	59
00026	low	a	564.97	1410.12	168
00026	low	i	365.65	1775.98	81
00026	low	ɛ	449.55	1680.17	46
00026	low	u	404.82	1112.78	50
00026	low	o	463.00	1080.02	27
00027	low	a	630.02	1481.09	141
00027	low	u	435.17	1078.56	39
00027	low	i	436.72	1968.43	65
00027	low	o	471.27	983.08	29
00027	low	ɛ	486.05	1980.28	31
00029	low	i	379.62	1697.93	331
00029	low	a	497.91	1285.24	625
00029	low	o	415.56	901.44	111
00029	low	u	378.75	934.34	170
00029	low	ɛ	418.08	1661.94	140
00031	low	a	528.73	1349.07	110
