spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00002	low	a	575.01	1291.21	7059
00002	low	u	366.20	974.28	853
00002	low	e	460.23	1674.01	4159
00002	low	ɤ	487.55	1254.07	954
00002	low	o	428.92	972.33	4271
00002	low	i	364.09	1880.62	3434
00004	low	i	338.58	1848.50	400
00004	low	e	482.15	1679.04	484
00004	low	ɤ	507.34	1231.23	89
00004	low	o	392.76	951.08	468
00004	low	a	590.04	1318.32	678
00004	low	u	342.88	983.92	83
00006	low	ɤ	435.82	1153.09	51
00006	low	i	394.64	1780.50	224
00006	low	e	463.85	1477.23	194
00006	low	a	508.38	1198.63	407
00006	low	o	423.07	936.30	300
00006	low	u	392.05	962.02	74
00007	low	o	375.97	961.39	5234
00007	low	e	406.43	1726.27	5508
00007	low	a	517.73	1326.67	8646
00007	low	i	311.48	1887.30	4928
00007	low	ɤ	430.19	1272.40	1199
00007	low	u	325.33	958.78	1016
00009	low	u	403.30	951.66	14
00009	low	o	440.53	936.32	86
00009	low	i	373.21	1657.25	71
00009	low	a	563.03	1215.75	146
00009	low	e	439.78	1515.61	68
00009	low	ɤ	471.49	1122.24	17
00010	low	o	413.59	1323.85	154
00010	low	i	348.12	1860.29	156
00010	low	a	511.18	1480.99	232
00010	low	e	387.74	1767.52	140
00010	low	u	355.52	1301.66	21
00010	low	ɤ	419.14	1440.63	37
00011	low	i	369.89	1880.59	55
00011	low	a	552.96	1303.29	80
00011	low	o	433.97	1082.00	48
00011	low	e	440.62	1682.57	52
00011	low	u	368.33	1022.19	10
00011	low	ɤ	440.14	1323.76	15
00012	low	a	486.00	1152.89	21
00012	low	e	442.83	1470.63	10
00012	low	o	329.60	785.99	24
00012	low	i	289.46	2069.28	16
00012	low	u	264.07	656.71	3
00012	low	ɤ	413.73	1070.89	2
00013	low	o	429.84	938.36	10
00013	low	a	515.32	1205.30	25
00013	low	ɤ	469.48	998.54	3
00013	low	e	460.18	1586.72	15
00013	low	i	421.07	1803.16	10
