spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00003	low	ɛ	438.20	1594.11	286
00003	low	i	351.44	1836.55	420
00003	low	ɔ	454.62	980.22	162
00003	low	u	380.69	838.70	104
00003	low	ɑ	598.67	1292.05	429
00006	low	ɑ	557.50	1285.15	5444
00006	low	ɔ	456.49	1061.85	1967
00006	low	ɛ	444.96	1554.20	3664
00006	low	i	378.69	1787.17	4895
00006	low	u	406.61	1039.05	1039
00009	low	ɔ	536.56	1323.21	1
00009	low	i	522.27	1489.49	2
00009	low	u	457.18	871.47	1
00013	low	ɔ	500.66	1024.22	12
00013	low	ɛ	519.27	1687.62	24
00013	low	ɑ	596.45	1340.69	31
00013	low	i	371.42	1882.36	28
00013	low	u	372.70	1098.66	5
00014	low	ɑ	556.36	1332.93	496
00014	low	i	378.79	1905.28	377
00014	low	u	389.63	1038.24	94
00014	low	ɛ	430.75	1601.27	307
00014	low	ɔ	442.98	1097.23	182
00017	low	ɔ	478.42	1066.46	25
00017	low	u	437.62	1076.03	22
00017	low	ɑ	559.86	1341.24	77
00017	low	ɛ	471.78	1602.90	36
00017	low	i	403.64	1787.96	69
00019	low	u	417.41	1188.08	47
00019	low	i	391.71	1940.71	202
00019	low	ɔ	446.99	1114.90	95
00019	low	ɑ	518.84	1310.04	246
00019	low	ɛ	431.40	1619.84	138
00022	low	ɛ	449.15	1637.81	239
00022	low	i	371.00	1834.82	299
00022	low	ɔ	479.48	1091.20	119
00022	low	ɑ	580.79	1358.50	305
00022	low	u	438.13	1104.53	54
00026	low	ɛ	445.94	1603.87	16
00026	low	i	337.58	1898.58	43
00026	low	ɑ	573.75	1383.55	36
00026	low	u	373.87	986.31	4
00026	low	ɔ	457.82	988.54	13
00027	low	ɑ	487.18	1303.80	86
00027	low	i	371.53	1792.95	67
00027	low	ɛ	390.70	1580.67	50
00027	low	u	395.02	1086.38	14
00027	low	ɔ	409.36	1100.74	26
00028	low	ɑ	633.07	1376.14	237
00028	low	i	373.70	1818.28	226
00028	low	ɔ	520.57	1105.52	82
00028	low	ɛ	489.61	1632.37	146
00028	low	u	399.22	978.13	46
00029	low	ɑ	624.74	1369.90	2644
00029	low	i	416.18	1917.28	2492
00029	low	u	433.59	1046.64	629
00029	low	ɛ	522.67	1626.04	1821
00029	low	ɔ	511.98	1140.52	1032
00033	low	u	477.61	1128.78	6
00033	low	i	448.80	1766.70	16
00033	low	ɑ	633.89	1296.06	17
00033	low	ɛ	466.25	1473.64	12
00033	low	ɔ	511.73	1104.97	5
00037	low	ɑ	626.68	1244.44	11
00037	low	u	284.52	1188.64	4
00037	low	i	297.87	1864.30	10
00037	low	ɔ	458.10	873.00	1
00037	low	ɛ	429.43	1799.96	5
00038	low	ɛ	482.52	1716.78	1
00038	low	i	498.08	1512.42	2
00038	low	ɔ	500.04	890.56	1
00039	low	ɛ	444.26	1494.55	15
00039	low	i	379.00	1994.32	19
00039	low	ɑ	545.89	1163.84	22
00039	low	u	429.04	828.91	4
00039	low	ɔ	448.66	869.54	11
00041	low	u	370.14	845.42	2
00041	low	ɑ	591.06	1227.03	2
00041	low	i	394.16	1880.85	3
00042	low	ɑ	505.54	1269.30	274
00042	low	ɛ	382.47	1575.32	184
00042	low	i	327.57	1859.41	230
00042	low	ɔ	383.44	1016.07	99
00042	low	u	336.62	1004.83	46
00045	low	i	370.72	1864.89	525
00045	low	ɑ	507.88	1308.08	546
00045	low	u	350.43	1037.50	104
00045	low	ɛ	405.47	1557.12	335
00045	low	ɔ	406.53	1083.17	237
00046	low	ɑ	688.32	1192.26	1
00046	low	i	358.94	1931.46	2
00046	low	u	358.86	877.06	1
00047	low	ɛ	419.16	1593.77	65
00047	low	i	361.20	1859.68	90
00047	low	u	355.65	1003.99	25
00047	low	ɑ	584.21	1374.97	101
00047	low	ɔ	423.25	1080.51	39
00049	low	i	403.93	1939.70	6
00049	low	u	357.09	1003.01	2
00049	low	ɔ	486.75	1058.07	2
00049	low	ɛ	477.62	1689.24	1
00049	low	ɑ	652.21	1466.00	2
00050	low	i	402.97	1758.65	367
00050	low	ɑ	563.38	1248.26	418
00050	low	ɛ	476.18	1498.14	262
00050	low	ɔ	488.43	1019.78	191
00050	low	u	442.28	994.10	105
00055	low	ɛ	405.56	1540.51	22
00055	low	i	308.32	1822.81	31
00055	low	ɔ	425.09	965.13	12
00055	low	ɑ	563.85	1290.54	47
00055	low	u	418.46	953.30	7
00056	low	i	570.02	1473.39	3
00058	low	ɛ	421.69	1382.31	532
00058	low	ɑ	546.25	1217.50	859
00058	low	ɔ	442.04	1035.76	341
00058	low	i	343.34	1589.62	733
00058	low	u	383.96	983.06	220
00062	low	i	387.40	1595.19	314
00062	low	ɛ	449.96	1391.78	258
00062	low	ɑ	536.18	1264.70	404
00062	low	ɔ	453.07	1121.35	171
00062	low	u	407.39	1120.72	89
00063	low	u	544.84	1361.77	1
00063	low	i	399.68	1907.97	1
00064	low	ɛ	448.20	1699.61	11
00064	low	i	354.54	1945.44	28
00064	low	ɑ	487.33	1396.88	21
00064	low	u	368.29	1158.75	7
00064	low	ɔ	464.60	1101.92	4
00065	low	ɑ	486.82	1268.98	79
00065	low	u	395.60	902.30	14
00065	low	i	382.39	1790.11	73
00065	low	ɔ	452.58	1008.48	23
00065	low	ɛ	411.68	1560.35	52
00066	low	ɛ	490.34	1465.70	179
00066	low	i	361.32	1723.83	247
00066	low	u	413.78	961.56	46
00066	low	ɑ	604.71	1314.97	298
00066	low	ɔ	474.96	1011.82	99
00067	low	i	300.18	1750.38	4
00067	low	ɛ	371.68	1552.42	1
00067	low	ɔ	349.19	729.70	1
00067	low	u	279.98	680.81	1
00069	low	i	331.80	2048.09	23
00069	low	ɑ	619.92	1379.49	21
00069	low	u	300.89	973.83	2
00069	low	ɛ	464.35	1657.05	13
00069	low	ɔ	440.12	886.16	8
00070	low	ɔ	392.16	1103.90	42
00070	low	i	372.49	1881.51	101
00070	low	ɑ	535.64	1415.99	105
00070	low	u	352.44	1084.77	17
00070	low	ɛ	408.91	1651.95	74
00072	low	u	358.41	789.88	1
00072	low	i	301.02	1993.79	1
