spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	ɛ	442.64	1723.09	1185
00000	low	ɐ	549.91	1378.76	1984
00000	low	ɪ	379.54	1842.33	1815
00000	low	i	407.40	1979.65	234
00000	low	ʊ	389.13	1117.82	640
00000	low	ɔ	463.94	1118.45	536
00000	low	y	347.15	1995.56	4
00001	low	ɐ	571.30	1419.72	91
00001	low	ɛ	444.87	1765.98	52
00001	low	ɪ	382.44	1888.92	109
00001	low	ʊ	411.96	1180.92	36
00001	low	i	385.47	1959.41	8
00001	low	ɔ	461.03	1033.70	20
00003	low	ɪ	395.21	1730.26	11
00003	low	ɔ	563.26	1009.17	2
00003	low	ɐ	709.60	1290.15	10
00003	low	ɛ	370.48	1495.31	4
00003	low	i	312.04	1853.87	2
00003	low	ʊ	378.59	1198.99	3
00005	low	ʊ	394.35	865.52	11
00005	low	ɪ	396.58	1756.65	31
00005	low	ɐ	668.31	1250.65	35
00005	low	ɛ	476.96	1646.61	17
00005	low	ɔ	482.51	1011.07	11
00005	low	i	571.42	1948.19	5
00006	low	ʊ	432.01	1020.14	5
00006	low	ɛ	471.91	1718.50	5
00006	low	ɐ	615.69	1378.37	6
00006	low	ɪ	406.84	1860.49	7
00006	low	i	376.90	1901.25	2
00007	low	ɐ	627.66	1343.39	214
00007	low	ʊ	435.35	1027.48	70
00007	low	ɪ	426.98	1900.21	176
00007	low	ɛ	492.97	1781.37	147
00007	low	i	454.69	2094.12	36
00007	low	ɔ	526.83	1088.97	50
00007	low	y	411.08	2172.37	1
00012	low	i	434.41	2003.38	5
00012	low	ɛ	385.20	1718.76	10
00012	low	ɪ	367.17	1654.17	15
00012	low	ɐ	516.83	1331.10	22
00012	low	ɔ	457.00	1199.67	7
00012	low	ʊ	388.12	1144.31	3
00013	low	ɪ	373.70	1935.11	371
00013	low	ɐ	635.95	1260.30	406
00013	low	ʊ	384.00	894.50	128
00013	low	i	352.88	2010.21	42
00013	low	ɛ	487.51	1757.86	221
00013	low	ɔ	504.41	955.03	128
00013	low	y	273.30	2380.52	1
00014	low	ɪ	395.14	1747.80	3448
00014	low	ɛ	466.61	1636.87	2194
00014	low	ɐ	588.86	1234.53	3713
00014	low	ʊ	415.85	1047.57	1183
00014	low	ɔ	486.53	1043.52	975
00014	low	i	414.95	1905.70	442
00014	low	y	380.96	1892.83	14
00016	low	ɔ	513.21	888.95	12
00016	low	ɛ	450.09	1782.09	18
00016	low	ɐ	585.58	1293.19	39
00016	low	ɪ	391.13	1860.13	34
00016	low	i	341.03	2074.93	6
00016	low	ʊ	403.00	919.46	9
00019	low	i	280.02	2171.01	1
00019	low	ɛ	404.23	1669.75	8
00019	low	ɐ	533.14	1316.98	20
00019	low	ɪ	345.68	1895.12	11
00019	low	ɔ	451.18	1128.19	8
00019	low	ʊ	361.08	1176.06	2
00019	low	y	356.86	1967.72	1
00031	low	ɛ	400.72	1832.47	9
00031	low	i	350.98	2057.74	4
00031	low	ɪ	377.01	1908.72	13
00031	low	ɐ	611.48	1117.93	10
00031	low	ʊ	334.78	969.89	5
00031	low	ɔ	435.72	958.59	3
00033	low	ʊ	420.43	1092.80	25
00033	low	ɔ	502.65	1062.29	26
00033	low	ɐ	582.45	1285.36	101
00033	low	ɪ	382.13	1826.86	79
00033	low	ɛ	450.85	1657.21	51
00033	low	i	357.35	1914.33	9
00034	low	ɛ	396.63	1706.75	5
00034	low	ɐ	545.02	1270.80	8
00034	low	ɔ	466.70	1192.90	2
00034	low	ʊ	406.13	926.95	3
00034	low	ɪ	328.41	1846.99	7
00034	low	i	541.76	2120.65	2
00043	low	ɛ	459.65	1780.15	11
00043	low	ɔ	446.87	1019.76	9
00043	low	i	326.16	2115.05	3
00043	low	ɐ	537.53	1301.51	26
00043	low	ɪ	339.14	1850.54	18
