spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	ɒ	537.94	952.82	15
00000	low	i	445.22	1536.54	30
00000	low	a	596.41	1447.57	36
00000	low	o	414.21	878.35	6
00000	low	e	432.27	2119.01	2
00000	low	u	371.85	1021.66	3
00002	low	ɒ	502.93	1072.75	7
00002	low	i	421.17	1478.06	34
00002	low	a	489.84	1367.82	29
00002	low	e	381.43	1919.70	1
00002	low	o	396.83	1130.85	6
00002	low	u	491.42	1488.17	4
00003	low	a	525.68	1430.83	106
00003	low	i	458.70	1695.29	112
00003	low	ɒ	521.99	967.19	32
00003	low	e	374.50	2093.75	19
00003	low	u	463.87	1376.58	19
00003	low	o	427.65	1083.63	10
00004	low	u	402.80	1137.60	7
00004	low	a	562.86	1484.21	30
00004	low	i	420.50	1683.85	26
00004	low	ɒ	512.64	929.64	14
00004	low	e	407.20	2047.27	6
00004	low	o	409.63	839.68	3
00001	high	u	483.70	1486.76	173
00001	high	a	741.43	1831.73	839
00001	high	i	528.43	2124.07	700
00001	high	ɒ	674.01	1220.89	289
00001	high	o	490.96	1110.16	85
00001	high	e	471.30	2436.71	126
