spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00001	low	u	413.81	1071.63	28
00001	low	ɑ	627.73	1283.30	72
00001	low	i	413.58	2013.06	29
00001	low	o	493.88	1237.68	9
00001	low	e	443.28	1952.76	37
00001	low	ʌ	506.75	1329.58	38
00001	low	ɛ	456.15	1811.68	26
00001	low	ɯ	468.35	1587.55	7
00001	low	y	357.94	1899.83	3
00002	low	ɑ	570.56	1350.72	2795
00002	low	i	340.19	1984.51	956
00002	low	e	383.07	1931.00	1879
00002	low	ɛ	367.95	1781.63	1148
00002	low	ʌ	408.69	1329.58	1405
00002	low	u	358.95	1132.26	997
00002	low	ɯ	349.40	1582.80	243
00002	low	y	333.30	1835.82	73
00002	low	o	406.18	1183.94	297
00005	low	ɑ	475.39	1265.45	20
00005	low	e	401.83	1767.37	7
00005	low	i	293.52	1772.53	5
00005	low	ɛ	337.12	1723.91	3
00005	low	u	363.29	842.99	7
00005	low	ʌ	400.71	1164.41	10
00005	low	y	317.42	1396.40	2
00006	low	u	434.37	1218.80	18
00006	low	ɑ	575.11	1241.45	36
00006	low	ʌ	442.03	1239.75	24
00006	low	ɛ	420.45	1641.79	18
00006	low	e	439.02	1877.38	23
00006	low	i	406.36	1817.77	7
00006	low	ɯ	384.49	1823.01	5
00006	low	y	364.83	1767.74	1
00006	low	o	476.78	1160.26	4
00007	low	e	430.60	1798.50	5
00007	low	i	371.81	2088.42	8
00007	low	u	349.84	975.90	12
00007	low	ɑ	679.25	1263.92	22
00007	low	ʌ	476.42	1154.68	10
00007	low	ɯ	388.06	1391.69	1
00007	low	ɛ	535.22	1791.01	10
00009	low	ɑ	624.48	1287.99	18
00009	low	u	489.17	1284.37	5
00009	low	ʌ	497.45	1214.29	14
00009	low	ɛ	455.51	1502.21	5
00009	low	e	446.95	1691.74	6
00009	low	i	424.54	1787.43	1
00009	low	ɯ	450.82	1229.86	1
00009	low	o	477.34	1089.38	3
00009	low	y	377.94	1628.22	1
00012	low	ɑ	588.27	1270.30	529
00012	low	e	402.52	1927.51	255
00012	low	ɯ	369.66	1462.08	21
00012	low	u	386.76	1094.41	160
00012	low	i	354.05	2027.13	134
00012	low	y	334.00	1647.18	11
00012	low	o	449.68	1079.00	15
00013	low	ɑ	601.31	1287.78	49
00013	low	ɛ	404.78	1724.36	15
00013	low	e	404.20	1866.55	25
00013	low	u	426.30	1105.76	18
00013	low	o	470.60	1196.09	2
00013	low	i	389.09	1972.34	10
00013	low	y	372.08	1844.37	1
00013	low	ʌ	508.80	1303.14	22
00013	low	ɯ	366.81	1509.05	1
00014	low	ɑ	601.14	1287.87	168
00014	low	u	391.86	1003.30	62
00014	low	ʌ	447.61	1264.77	89
00014	low	e	401.96	1867.62	117
00014	low	ɛ	403.55	1722.83	74
00014	low	o	501.08	1139.86	12
00014	low	i	323.31	2000.93	56
00014	low	ɯ	341.68	1633.04	18
00014	low	y	303.00	1722.85	3
00015	low	ɑ	659.61	1319.86	72
00015	low	ʌ	508.59	1197.43	24
00015	low	ɛ	492.05	1742.77	23
00015	low	e	443.41	1900.54	35
00015	low	u	403.39	898.42	14
00015	low	o	489.19	1075.09	6
00015	low	i	392.24	2057.80	26
00015	low	ɯ	407.67	1733.13	6
00015	low	y	503.03	1996.66	2
00017	low	u	428.74	1066.25	31
00017	low	i	349.96	2106.59	43
00017	low	ɑ	633.42	1376.72	93
00017	low	e	418.88	2019.77	70
00017	low	ɛ	461.14	1738.63	42
00017	low	o	516.56	1073.47	12
00017	low	ʌ	514.93	1270.07	63
00017	low	y	464.85	1748.26	2
00017	low	ɯ	383.78	1535.65	8
00019	low	y	382.06	1846.13	5
00019	low	e	396.92	1993.24	66
00019	low	ɑ	572.70	1294.93	115
00019	low	ɯ	357.44	1744.02	6
00019	low	u	364.19	876.53	58
00019	low	ʌ	449.19	1301.77	65
00019	low	ɛ	402.09	1888.31	47
00019	low	i	343.22	2117.36	42
00019	low	o	472.56	1196.82	17
00021	low	ʌ	516.88	1125.29	8
00021	low	ɑ	573.93	1198.64	13
00021	low	ɛ	453.53	1570.74	11
00021	low	e	392.81	1814.66	18
00021	low	u	456.69	823.19	5
00021	low	i	369.23	1801.56	6
00021	low	o	460.02	931.77	1
00022	low	ɛ	418.31	1647.74	8
00022	low	e	386.22	1794.55	12
00022	low	i	354.26	1942.06	8
00022	low	ʌ	437.94	1358.12	9
00022	low	ɑ	584.64	1411.61	14
00022	low	u	416.56	1235.36	4
00022	low	ɯ	389.13	1586.05	1
00022	low	o	454.61	1330.74	1
00023	low	ɑ	543.43	1087.42	3
00023	low	i	290.69	1773.65	1
00023	low	e	397.28	1897.42	3
00023	low	u	345.77	1166.88	1
00025	low	u	420.85	1151.27	10
00025	low	ɑ	647.36	1344.17	29
00025	low	ʌ	532.80	1170.34	15
00025	low	e	432.11	2042.76	21
00025	low	ɛ	395.77	1758.16	10
00025	low	o	488.08	1016.82	6
00025	low	i	366.42	2081.71	17
00025	low	ɯ	420.92	1847.49	3
00031	low	ʌ	443.63	1443.78	4
00031	low	ɑ	529.39	1380.52	2
00031	low	e	383.54	1889.14	6
00031	low	u	325.78	1094.23	4
00031	low	i	363.41	2028.86	5
00031	low	o	378.77	1269.56	2
00034	low	i	310.74	2050.12	29
00034	low	ɛ	421.54	1821.50	33
00034	low	e	382.22	1934.05	51
00034	low	ɑ	636.02	1362.05	82
00034	low	ʌ	447.89	1366.92	41
00034	low	ɯ	315.72	1477.88	6
00034	low	u	356.47	1171.23	18
00034	low	y	322.07	1756.45	1
00034	low	o	388.74	1439.17	1
00037	low	ɑ	688.47	1295.44	502
00037	low	ɛ	456.94	1624.97	237
00037	low	e	386.95	1914.26	359
00037	low	ʌ	517.72	1202.96	311
00037	low	ɯ	353.95	1545.20	51
00037	low	u	367.25	1059.11	184
00037	low	i	313.48	2001.36	184
00037	low	o	471.65	1124.57	47
00037	low	y	305.37	1815.93	19
00039	low	i	388.93	2428.94	2
00039	low	ɛ	541.25	1603.07	2
00039	low	ɑ	573.27	1229.50	1
00039	low	ʌ	532.16	1110.58	2
00039	low	u	394.42	764.96	1
00041	low	ɛ	406.03	1835.41	308
00041	low	e	384.30	1976.26	499
00041	low	ʌ	485.98	1236.41	383
00041	low	u	396.07	1044.03	242
00041	low	i	314.61	2090.10	248
00041	low	ɑ	614.42	1289.65	724
00041	low	ɯ	354.30	1660.67	58
00041	low	o	488.30	1154.92	50
00041	low	y	309.05	1888.10	26
00042	low	u	333.56	965.87	10
00042	low	ɑ	647.62	1321.94	20
00042	low	i	270.71	2261.66	8
00042	low	e	338.36	2118.94	4
00042	low	ɛ	343.62	1861.47	9
00042	low	o	488.79	1061.13	2
00042	low	ʌ	422.29	1275.83	4
00042	low	ɯ	297.72	2042.32	2
00043	low	u	394.99	1063.11	13
00043	low	ʌ	472.85	1287.88	11
00043	low	ɑ	636.49	1358.81	21
00043	low	i	350.90	2055.73	6
00043	low	e	437.08	2049.95	7
00043	low	ɛ	452.84	1944.46	10
00043	low	y	336.06	1954.50	1
00043	low	o	403.88	966.14	2
00043	low	ɯ	394.93	1083.86	2
00046	low	ʌ	510.90	1296.66	107
00046	low	ɑ	630.30	1413.12	195
00046	low	i	357.33	2118.19	59
00046	low	u	382.38	1055.98	74
00046	low	e	431.81	1974.98	137
00046	low	ɛ	451.08	1783.61	82
00046	low	y	334.17	1866.72	11
00046	low	ɯ	408.06	1631.05	18
00046	low	o	490.12	1209.29	27
00048	low	ɑ	591.47	1318.90	85
00048	low	e	406.62	1924.85	50
00048	low	u	391.54	943.40	24
00048	low	ɛ	445.99	1759.73	33
00048	low	ʌ	466.77	1320.12	34
00048	low	i	348.94	2018.56	29
00048	low	ɯ	393.63	1525.45	9
00048	low	o	466.48	1225.30	9
00052	low	ʌ	470.47	1231.79	6
00052	low	ɛ	572.14	1363.73	1
00052	low	u	487.47	1151.55	2
00052	low	ɑ	617.61	1189.06	1
00061	low	u	428.43	1044.82	11
00061	low	ɑ	596.39	1360.43	45
00061	low	i	366.78	1926.62	17
00061	low	o	493.93	1249.28	3
00061	low	ɛ	427.86	1725.37	17
00061	low	e	420.29	1900.02	14
00061	low	ʌ	478.79	1375.38	23
00061	low	ɯ	412.51	1507.20	1
00061	low	y	317.52	1867.11	1
00062	low	ɑ	606.05	1481.66	4
00062	low	ɯ	285.76	2119.58	2
00062	low	ʌ	529.27	1367.83	1
00064	low	o	392.08	906.21	1
00064	low	ɛ	451.61	1583.61	10
00064	low	e	409.84	1812.61	10
00064	low	ʌ	517.69	1371.32	8
00064	low	ɑ	643.36	1316.31	21
