spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00003	low	e	456.01	1700.04	7
00003	low	o	459.68	847.38	6
00003	low	a	538.54	1342.78	5
00003	low	ɯ	401.76	1382.46	2
00003	low	i	460.57	1695.69	1
00003	low	u	400.72	862.85	1
00005	low	o	533.36	995.89	6
00005	low	e	471.58	1602.75	4
00005	low	u	401.65	851.89	5
00005	low	i	420.89	1828.00	3
00005	low	a	647.13	1225.02	8
00005	low	ɯ	424.99	1300.81	5
00009	low	a	522.72	1304.24	6
00009	low	i	342.82	2198.74	2
00009	low	e	447.83	1978.77	5
00009	low	o	425.70	895.61	3
00009	low	u	429.45	891.80	1
00010	low	e	546.41	1845.11	3
00010	low	o	376.26	1259.83	1
00013	low	o	408.02	899.99	61
00013	low	e	390.18	1718.63	103
00013	low	ɯ	330.33	1412.42	18
00013	low	a	597.67	1291.03	117
00013	low	i	314.45	1934.61	53
00013	low	u	378.59	977.04	40
00014	low	e	360.80	1501.79	1
00014	low	a	536.27	1778.55	1
00014	low	o	435.87	1090.14	6
00014	low	ɯ	391.91	1059.34	1
00014	low	i	394.61	2239.82	3
00017	low	u	428.68	873.33	3
00017	low	e	443.56	1566.89	5
00017	low	a	561.34	1446.95	12
00017	low	i	442.54	1827.80	4
00017	low	ɯ	416.51	1545.89	3
00017	low	o	462.08	971.02	3
00018	low	a	726.58	1277.57	5
00018	low	e	446.66	1924.88	7
00018	low	u	303.91	784.15	1
00018	low	i	338.47	2339.09	1
00018	low	o	455.37	814.76	3
00020	low	o	518.73	904.81	11
00020	low	a	711.51	1458.96	23
00020	low	i	353.87	2309.50	18
00020	low	u	450.37	925.55	9
00020	low	e	477.99	1964.72	20
00020	low	ɯ	430.35	1539.20	4
00025	low	e	356.59	1820.40	4
00025	low	a	619.46	1200.57	10
00025	low	o	400.75	792.88	10
00025	low	i	288.46	2113.36	6
00025	low	u	304.69	702.37	3
00025	low	ɯ	298.12	1351.56	1
00026	low	e	481.85	1652.11	52
00026	low	a	636.75	1252.39	78
00026	low	u	417.25	929.79	35
00026	low	o	503.07	941.34	41
00026	low	i	370.18	1993.13	23
00026	low	ɯ	389.71	1193.31	12
00027	low	e	463.95	1646.51	36
00027	low	a	590.39	1273.23	41
00027	low	o	479.48	913.06	25
00027	low	u	414.23	915.52	10
00027	low	i	383.22	2008.80	17
00027	low	ɯ	412.75	1323.82	6
00028	low	e	502.75	2012.76	5
00028	low	ɯ	378.91	1397.59	3
00028	low	a	576.01	1153.72	2
00028	low	o	523.53	1143.56	2
00028	low	u	468.56	1068.60	2
00031	low	e	468.98	1762.04	839
00031	low	a	619.54	1387.87	973
00031	low	o	498.24	1052.38	487
00031	low	i	378.15	2106.03	465
00031	low	u	425.24	962.45	369
00031	low	ɯ	394.64	1377.57	211
00032	low	e	451.01	1821.33	4
00032	low	o	440.85	927.12	3
00032	low	a	575.18	1392.59	3
00032	low	i	386.04	2050.81	1
00032	low	u	438.90	940.55	1
00032	low	ɯ	391.78	1361.33	1
00000	high	i	300.03	2304.32	3
00000	high	e	473.50	2016.00	4
00000	high	ɯ	361.04	1581.00	1
00000	high	u	437.77	896.04	3
00000	high	a	747.33	1645.34	3
00000	high	o	511.62	878.64	3
00001	high	o	519.67	996.75	22
00001	high	i	369.11	2528.61	20
00001	high	a	802.11	1507.79	37
00001	high	u	432.80	953.99	22
00001	high	ɯ	419.85	1584.66	5
00001	high	e	491.62	2059.77	31
00002	high	i	393.82	2911.86	12
00002	high	u	457.84	874.26	10
00002	high	e	483.78	2255.27	21
00002	high	a	708.57	1670.56	17
00002	high	o	537.72	1069.03	7
00002	high	ɯ	408.29	1771.56	4
00004	high	ɯ	453.29	1521.14	4
00004	high	i	446.03	2068.22	4
00004	high	e	481.29	2525.98	10
00004	high	a	775.85	1721.82	5
00004	high	u	459.96	1387.88	1
00004	high	o	563.95	1337.48	1
00006	high	a	779.24	1387.73	14
00006	high	e	521.44	2659.17	8
00006	high	i	498.81	2394.78	4
00006	high	o	605.96	1076.63	4
00006	high	u	479.43	808.91	5
00006	high	ɯ	415.78	1481.45	3
00007	high	i	311.05	1403.62	3
00007	high	a	831.92	1781.26	8
00007	high	u	426.25	1064.26	5
00007	high	o	553.41	1237.48	4
00007	high	ɯ	524.62	980.49	1
00007	high	e	513.83	2029.43	5
00008	high	e	462.78	2277.93	27
00008	high	i	404.51	2435.66	7
00008	high	u	443.39	991.58	13
00008	high	a	799.26	1595.54	29
00008	high	o	527.37	1027.39	15
00008	high	ɯ	377.29	1501.20	9
00011	high	o	530.90	1024.76	13
00011	high	e	511.05	2217.33	15
00011	high	ɯ	412.65	1553.95	2
00011	high	a	685.38	1542.97	12
00011	high	i	463.52	2235.22	5
00011	high	u	517.47	900.14	4
00012	high	o	492.66	955.22	5
00012	high	u	356.57	671.84	1
00012	high	a	590.83	1340.17	5
00012	high	i	392.00	2044.63	1
00012	high	e	480.45	1738.99	4
00012	high	ɯ	363.40	1674.94	3
00015	high	a	814.60	1509.15	74
00015	high	e	532.11	2165.42	53
00015	high	u	446.82	990.62	26
00015	high	o	552.22	1066.25	37
00015	high	i	409.44	2445.20	31
00015	high	ɯ	448.99	1444.57	7
00016	high	a	696.60	1650.00	4
00016	high	e	452.06	2311.95	6
00016	high	u	413.95	988.17	2
00016	high	i	378.67	2445.94	3
00016	high	o	475.98	877.25	3
00016	high	ɯ	392.31	1867.61	3
00019	high	a	754.30	1525.47	1
00019	high	u	399.87	1056.01	1
00019	high	ɯ	324.18	1798.06	1
00021	high	e	445.75	2138.95	1
00021	high	o	471.48	1168.99	2
00021	high	ɯ	394.88	1780.35	1
00021	high	a	692.04	1737.64	4
00021	high	i	438.11	2509.47	1
00021	high	u	412.57	738.97	1
00022	high	e	511.05	1915.99	11
00022	high	o	561.12	978.35	7
00022	high	i	493.93	2364.07	7
00022	high	a	801.74	1527.45	12
00022	high	u	437.36	968.97	3
00023	high	e	559.13	2458.13	8
