spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	eː	554.84	1695.36	15
00000	low	aː	763.28	1410.86	29
00000	low	a	531.43	1494.33	65
00000	low	iː	300.42	2130.64	16
00000	low	ɛː	587.31	1886.41	1
00000	low	ɔː	498.49	1128.09	15
00000	low	ɛ	677.33	1790.75	3
00000	low	ɯː	335.24	1787.80	4
00000	low	u	355.08	1003.03	7
00000	low	uː	362.86	984.33	6
00000	low	oː	397.77	807.55	1
00000	low	i	318.52	2081.21	8
00000	low	ɤː	420.50	1350.24	1
00000	low	ɯ	374.47	1423.69	1
00000	low	o	413.93	1375.93	8
00000	low	ɤ	434.73	1656.90	1
00008	low	iː	328.73	2407.46	1
00008	low	ɔː	442.19	1335.27	2
00008	low	oː	479.75	684.30	1
00008	low	aː	667.04	1436.77	2
00008	low	a	440.06	1617.95	3
00008	low	ɤ	467.54	1599.11	1
00008	low	u	313.80	709.68	1
00009	low	aː	791.37	1323.28	11
00009	low	ɯː	397.15	1316.65	4
00009	low	a	563.29	1293.96	28
00009	low	u	415.87	1041.76	1
00009	low	o	527.18	1088.08	9
00009	low	i	366.99	2265.48	2
00009	low	uː	399.15	835.05	4
00009	low	ɔː	600.04	1134.93	6
00009	low	eː	447.37	1641.68	4
00009	low	oː	492.93	983.48	2
00009	low	ɤː	453.66	1520.18	1
00009	low	iː	385.07	2616.99	1
00009	low	ɛː	654.63	1392.66	1
00010	low	a	522.21	1501.06	241
00010	low	eː	547.10	1677.98	33
00010	low	aː	679.64	1407.21	66
00010	low	ɤ	458.38	1517.43	7
00010	low	iː	337.63	2188.96	37
00010	low	ɔː	544.32	1111.51	27
00010	low	uː	407.58	919.02	17
00010	low	ɛː	630.23	1868.71	11
00010	low	o	413.22	1235.89	31
00010	low	u	378.64	1202.56	7
00010	low	ɯː	405.46	1651.90	8
00010	low	i	353.56	2075.28	16
00010	low	oː	456.44	888.47	5
00010	low	ɯ	403.02	1806.75	7
00010	low	ɛ	611.02	1732.16	2
00010	low	ɔ	685.20	1146.22	1
00010	low	ɤː	522.03	1643.45	3
00015	low	uː	435.78	929.31	7
00015	low	u	429.37	1160.05	1
00015	low	a	512.83	1493.13	33
00015	low	ɯ	445.07	1853.74	2
00015	low	aː	700.38	1290.43	13
00015	low	o	438.52	1523.04	12
00015	low	iː	370.12	2068.83	6
00015	low	eː	579.10	1679.36	8
00015	low	ɛː	589.90	1314.45	1
00015	low	ɔː	619.05	1220.13	10
00015	low	ɯː	453.13	1864.65	3
00015	low	i	473.50	2390.35	2
00015	low	ɤː	609.62	1574.05	1
00026	low	u	457.18	922.55	2
00026	low	a	547.31	1431.12	21
00026	low	aː	723.06	1304.68	8
00026	low	ɯ	429.05	1640.01	2
00026	low	ɔː	530.58	983.72	3
00026	low	ɛː	624.87	1855.80	6
00026	low	o	458.54	1185.01	3
00026	low	eː	462.89	1711.68	4
00026	low	iː	319.13	2133.77	3
00026	low	ɤː	492.53	1763.63	1
00026	low	ɯː	434.11	1678.42	4
00026	low	i	330.66	2595.90	1
00026	low	oː	496.04	958.05	2
00026	low	uː	409.11	929.92	1
00028	low	uː	383.93	941.97	3
00028	low	a	543.38	1390.37	58
00028	low	ɔː	634.21	1217.78	16
00028	low	ɤː	477.63	1516.12	2
00028	low	eː	518.48	1631.53	12
00028	low	iː	325.69	2214.84	6
00028	low	i	341.26	2207.11	4
00028	low	u	370.51	1526.64	1
00028	low	ɛː	662.43	1727.45	4
00028	low	aː	704.76	1397.67	19
00028	low	ɛ	620.27	1668.10	1
00028	low	o	578.49	1388.13	2
00028	low	ɯ	349.71	1739.24	2
00028	low	oː	428.44	882.38	1
00028	low	ɯː	399.01	1687.64	2
00034	low	eː	845.26	1367.29	1
00034	low	aː	749.57	1479.56	8
00034	low	a	558.18	1394.82	26
00034	low	iː	465.28	2201.59	3
00034	low	uː	386.43	901.68	4
00034	low	ɯː	365.13	1028.04	1
00034	low	ɔː	556.07	1103.47	6
00034	low	u	394.98	1322.57	1
00034	low	ɛː	453.62	1952.94	1
00034	low	o	421.22	822.36	1
00034	low	ɤ	540.24	1557.46	1
00034	low	ɛ	602.66	1730.75	2
00035	low	eː	694.01	1391.25	6
00035	low	aː	683.04	1255.72	9
00035	low	ɔː	609.01	1067.73	8
00035	low	o	553.39	1264.52	6
00035	low	a	524.11	1436.08	27
00035	low	u	389.94	796.48	1
00035	low	i	352.39	2280.02	4
00035	low	ɤː	487.40	1428.20	1
00035	low	ɤ	539.77	1510.12	2
00035	low	iː	370.88	2449.61	3
00035	low	ɛː	533.71	1630.86	3
00035	low	ɯː	399.28	1691.41	1
00035	low	uː	437.13	888.76	5
00035	low	oː	448.93	781.53	1
00035	low	ɯ	472.37	1529.73	1
00037	low	a	499.46	1368.55	31
00037	low	uː	377.87	970.61	3
00037	low	o	449.34	1058.48	6
00037	low	iː	379.48	2202.27	4
00037	low	ɤː	456.81	1418.49	2
00037	low	eː	501.18	1489.11	5
00037	low	ɯː	452.16	1109.97	1
00037	low	ɔː	578.55	1118.10	5
00037	low	ɛ	640.60	1948.08	2
00037	low	aː	602.79	1266.97	9
00037	low	ɛː	742.54	1530.46	1
00037	low	ɤ	482.54	1545.63	1
00037	low	ɯ	370.55	1555.42	1
00037	low	i	354.19	2248.44	2
00037	low	oː	465.10	887.06	1
00049	low	a	485.56	1372.47	28
00049	low	ɯ	347.47	1677.45	1
00049	low	ɔː	535.71	1084.84	7
00049	low	ɤː	466.16	1302.52	1
00049	low	o	480.73	1005.57	4
00049	low	uː	374.48	758.08	2
00049	low	aː	613.95	1259.36	11
00049	low	iː	288.43	2034.78	4
00049	low	eː	539.32	1434.93	7
00049	low	ɛː	688.83	1477.24	2
00049	low	u	254.39	993.30	1
00049	low	i	325.25	1997.75	1
00049	low	ɛ	614.67	1609.06	1
00060	low	eː	553.21	1432.42	4
00060	low	a	563.40	1346.06	24
00060	low	iː	431.82	2244.61	9
00060	low	aː	763.53	1244.93	10
00060	low	ɯː	453.79	1589.20	3
00060	low	ɔː	651.06	1161.88	4
00060	low	uː	406.55	1047.45	1
00060	low	i	450.15	1669.54	2
00060	low	u	439.46	1036.63	3
00060	low	o	528.02	1048.05	3
00060	low	ɤ	557.16	1645.57	1
00061	low	eː	500.55	1614.66	28
00061	low	iː	327.93	2066.71	34
00061	low	aː	667.79	1318.63	61
00061	low	ɔː	555.56	1101.49	31
00061	low	a	498.45	1477.77	196
00061	low	uː	358.90	788.75	11
00061	low	ɯ	359.16	1684.93	5
00061	low	o	474.30	1362.63	30
00061	low	ɛ	553.25	1553.96	5
00061	low	i	345.48	1971.94	22
00061	low	ɛː	643.07	1652.72	13
00061	low	oː	441.99	991.86	8
00061	low	u	369.51	996.35	12
00061	low	ɯː	371.06	1740.60	12
00061	low	ɤː	427.30	1506.91	2
00062	low	ɛː	593.15	1724.22	2
00062	low	eː	648.77	1318.04	3
00062	low	aː	657.96	1323.80	9
00062	low	a	568.82	1461.61	30
00062	low	oː	464.78	907.74	2
00062	low	uː	415.99	950.99	2
00062	low	o	468.87	1143.93	3
00062	low	iː	330.43	2238.33	4
00062	low	i	347.84	1973.12	6
00062	low	ɯː	399.59	1430.70	2
00062	low	ɔː	477.90	1347.47	2
00062	low	u	375.09	1158.28	1
00062	low	ɛ	565.56	1699.43	1
00064	low	a	631.98	1474.08	29
00064	low	aː	702.85	1424.73	8
00064	low	u	401.02	1305.14	1
00064	low	ɔː	581.11	1243.89	4
00064	low	eː	575.48	1696.44	4
00064	low	iː	380.09	1412.36	3
