vowel1	vowel2	cor	count	pval
y	ø	-0.57885003131826	10	0.0795479542822785
u	oː	-0.375141481895135	10	0.359816163688767
y	a	-0.246705486371701	14	0.395167928955398
o	ɪ	-0.15198090902143	14	0.603989424774819
oː	eː	-0.125529849649429	12	0.729689718766492
y	ɯ	-0.100006284790874	10	0.783411066624124
u	aː	-0.0905241193440232	17	0.758262500751617
ʊ	o	-0.0777934056593517	10	0.854724784984242
ʊ	ɪ	-0.073721972848032	12	0.839606803687908
o	eː	-0.0639207566352143	11	0.86074325821466
oː	ɛ	-0.0442926946432775	11	0.903299590301555
u	ø	-0.0248303186055003	10	0.945717154105633
o	ɛ	0.0648386740200619	28	0.743065333939366
y	i	0.080774645672098	22	0.720840146171586
uː	u	0.0885807384458366	13	0.784272935898449
y	o	0.100617045958804	18	0.691185838362891
u	ɑ	0.105127492493144	23	0.641499885714066
ɪ	ɑ	0.132412503614405	10	0.715372941676643
u	i	0.142052553112186	61	0.278946263284779
uː	ɛ	0.153933632823388	14	0.599293445464927
u	o	0.172323558113153	55	0.212753326971175
ɯ	u	0.211865080522874	14	0.467142524575914
u	a	0.218417764141408	47	0.144761692583026
o	e	0.221121482173815	44	0.159346346889779
oː	iː	0.227751697265963	11	0.52684121994844
ɔ	ɪ	0.242983221256312	14	0.402564950842656
u	ɪ	0.247316083293735	15	0.393961386320356
uː	iː	0.254717226137151	15	0.379491556331417
ɔ	o	0.264809301772095	16	0.321608292735753
uː	eː	0.265450545672832	13	0.404354180667279
i	eː	0.265544508558069	11	0.458377540717065
ø	i	0.301717176174905	10	0.39686562560849
eː	aː	0.30903006625013	12	0.384939712242137
u	iː	0.326895990061411	14	0.253957049463945
ɤ	a	0.336498252639627	10	0.341748419678108
ɯ	e	0.370265085433995	14	0.192523888653628
uː	i	0.370522418472842	11	0.29188943151011
o	ɤ	0.377772668930824	10	0.281801207052175
o	i	0.378586976110639	54	0.00476000376743779
uː	ɪ	0.38562010597127	10	0.27109793332461
o	a	0.392762556648329	43	0.0100852729932436
ɪ	i	0.399285308220819	16	0.125488219553134
ə	ɑ	0.401034480370405	10	0.250732737356348
uː	o	0.401852357375248	11	0.249676702202021
u	e	0.42621975139735	43	0.00610043686303881
ɪ	iː	0.429329146688074	10	0.215646690552221
i	e	0.433127763872192	44	0.00416818697221609
ɛ	e	0.458523741043253	20	0.0556434687547977
o	aː	0.481324888122766	15	0.113129002992058
u	ɔ	0.481408370147301	24	0.0172299836325554
u	ɛ	0.500287547093034	36	0.00188865081276987
uː	ɔ	0.507405817104134	10	0.134379868684201
ɛ	ɑ	0.514515107828276	16	0.0414341396181779
e	aː	0.516725130763465	11	0.189786222147744
ɔ	e	0.518156207609488	16	0.0576830649545706
y	ɑ	0.522072617358645	12	0.0816638472814702
i	ə	0.528140778282711	14	0.0775546951817609
o	ə	0.528787806766199	12	0.116064919980169
aː	a	0.534575130144021	13	0.111392325007575
ɪ	e	0.536831569618418	12	0.109603034454876
ɛ	aː	0.54432300625335	16	0.0441752771034273
ɔ	ə	0.55333479801556	10	0.154819588378682
o	ɑ	0.556234471222142	18	0.0165205401620054
ʊ	e	0.563748079412573	10	0.145576770221875
i	ɛ	0.56951783872576	36	0.000288662610909149
ɔ	ɛ	0.573701811348805	28	0.00141372413039411
ø	o	0.57807540897709	10	0.0800471250371112
e	a	0.578794954561959	37	0.000335733458783238
y	u	0.583424398433772	20	0.00692678734542019
oː	i	0.586268961086878	10	0.126657156622607
ɔ	a	0.587558540521913	18	0.0103448343563305
u	ə	0.615763582202233	13	0.0580448135757848
y	e	0.625922955522224	14	0.0166432450234247
ʊ	i	0.641323420122576	12	0.0456620633996742
iː	eː	0.643603734142592	14	0.013007801643987
ɛ	eː	0.648347515116547	13	0.0225854421718491
o	iː	0.654677403214681	12	0.0208761843541962
ɯ	i	0.655336861336982	14	0.010954456382823
iː	aː	0.661759303077888	13	0.0190779009628249
ɔ	ɑ	0.66183944375333	12	0.0190582236593461
u	ɤ	0.662240066708325	10	0.0369521453771181
i	a	0.665342891692005	47	4.54765647284505e-07
ɪ	a	0.666790887197556	11	0.0352186309595027
i	ɑ	0.672156780736306	24	0.000321251952670027
e	ɑ	0.692475703695253	14	0.00605365766235501
uː	aː	0.699513493725268	13	0.0113385399437475
ɪ	ɛ	0.705788486149656	16	0.00225029533335016
iː	a	0.709611656720617	10	0.0215262303360227
ɑ	a	0.716979473718466	11	0.0196158285824132
i	aː	0.719256367962816	15	0.00837562433175952
iː	i	0.72021804052572	12	0.00824791004858543
ɔ	i	0.736660330199311	26	1.77690432648989e-05
y	ɛ	0.744636858605457	14	0.00224983243625102
iː	ɛ	0.750047666418653	14	0.00200412531958404
ɛ	a	0.76824897527713	22	2.97376563581643e-05
u	eː	0.785068645975033	13	0.00248595992373939
ɔ	iː	0.788879225508656	10	0.00667752003301283
i	ɤ	0.794707004760487	10	0.00601552221434231
ə	a	0.813827530288995	11	0.0139633113483109
oː	aː	0.826160958284645	10	0.0114807372272177
ə	e	0.850951784708139	10	0.00738013277359827
ɔ	aː	0.853653829609615	12	0.0016754134822963
ɯ	o	0.858119715988452	14	8.61360437215246e-05
uː	oː	0.891192973348061	11	0.000536713393570736
ɯ	a	0.921419508098112	10	0.000151594838765832
ɛ	ə	0.952580692345968	10	0.000257176149308068
