spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00003	low	ɛ	460.02	1629.87	28
00003	low	ɔ	464.81	969.83	13
00003	low	ə	521.81	1507.16	9
00003	low	i	355.09	2006.98	30
00003	low	ɑ	584.01	1129.19	60
00003	low	u	390.50	1056.53	15
00004	low	ɑ	518.33	1213.16	24
00004	low	ɛ	391.73	1554.54	13
00004	low	ə	304.50	1340.06	3
00004	low	u	299.32	1446.15	6
00004	low	ɔ	388.71	1247.39	5
00004	low	i	295.00	2096.44	7
00007	low	ɔ	475.52	978.22	240
00007	low	i	369.98	1995.03	417
00007	low	ɛ	496.21	1565.39	661
00007	low	u	382.33	1083.42	357
00007	low	ɑ	606.40	1181.88	1301
00007	low	ə	509.90	1305.94	110
00009	low	ɑ	578.61	1226.40	16
00009	low	ɔ	410.98	807.71	7
00009	low	u	370.53	1483.41	4
00009	low	ə	448.19	1314.48	3
00009	low	i	355.40	2264.58	11
00009	low	ɛ	434.17	1893.97	7
00012	low	ɔ	396.55	981.74	15
00012	low	ɑ	559.28	1189.89	47
00012	low	i	354.84	1968.23	14
00012	low	ɛ	440.35	1582.69	23
00012	low	u	335.41	1015.91	14
00012	low	ə	451.82	1320.78	5
00015	low	u	374.39	1118.34	13
00015	low	i	340.10	1901.50	20
00015	low	ə	422.94	1550.39	7
00015	low	ɛ	439.68	1564.38	33
00015	low	ɑ	590.27	1189.36	46
00015	low	ɔ	447.71	1044.63	22
00016	low	ɑ	521.86	1050.44	34
00016	low	i	374.86	2012.94	10
00016	low	ɛ	439.43	1597.01	17
00016	low	ə	515.23	1368.39	2
00016	low	u	353.58	913.95	5
00016	low	ɔ	414.77	973.23	3
00017	low	ɑ	686.14	1358.77	75
00017	low	i	333.84	2124.04	33
00017	low	u	365.99	1369.07	16
00017	low	ɛ	552.14	1670.97	37
00017	low	ɔ	512.21	1075.61	15
00017	low	ə	609.10	1503.53	8
00018	low	ɑ	544.81	1208.19	25
00018	low	ɛ	471.44	1707.97	14
00018	low	i	424.53	2018.75	10
00018	low	ɔ	505.31	1045.18	2
00018	low	u	442.00	1391.67	10
00018	low	ə	511.47	1317.96	1
00019	low	ɑ	571.85	1079.39	23
00019	low	u	451.67	893.35	2
00019	low	i	383.48	1923.86	3
00019	low	ɛ	498.30	1484.05	15
00019	low	ə	492.12	1400.31	1
00019	low	ɔ	469.97	998.00	4
00021	low	ɑ	517.81	1238.80	95
00021	low	i	357.53	1842.30	26
00021	low	ə	401.73	1292.67	6
00021	low	ɔ	432.57	1072.61	13
00021	low	ɛ	436.69	1560.70	59
00021	low	u	374.02	1221.10	26
00000	high	ɛ	572.60	2089.63	6
00000	high	ɑ	779.42	1619.68	12
00000	high	u	453.65	1305.09	9
00000	high	ə	885.95	1600.12	1
00000	high	ɔ	491.78	1253.15	2
00000	high	i	483.89	2563.35	4
00001	high	ɑ	652.41	1431.75	11
00001	high	u	454.87	1534.22	5
00001	high	ɛ	508.63	1561.93	13
00001	high	ə	935.18	1756.26	1
00001	high	ɔ	487.91	956.57	4
00001	high	i	339.29	1951.06	4
00002	high	ɛ	522.51	1964.99	163
00002	high	ɑ	631.67	1453.68	286
00002	high	u	398.32	1318.64	72
00002	high	i	415.68	2561.01	94
00002	high	ɔ	485.32	1164.58	65
00002	high	ə	494.86	1558.58	20
00005	high	i	462.16	2509.19	296
00005	high	ɑ	781.21	1538.19	813
00005	high	ɛ	613.40	2060.66	477
00005	high	u	473.01	1381.04	215
00005	high	ɔ	584.63	1229.01	137
00005	high	ə	685.73	1774.54	81
00006	high	ɑ	730.40	1414.30	462
00006	high	u	417.03	1234.36	120
00006	high	i	403.28	2221.97	153
00006	high	ɛ	515.72	1935.22	247
00006	high	ɔ	499.39	1197.10	90
00006	high	ə	556.02	1654.12	35
00008	high	ɑ	659.51	1497.34	23
00008	high	i	371.14	2039.02	4
00008	high	ɔ	441.89	972.24	1
00008	high	ɛ	587.39	1795.22	8
00008	high	u	424.88	1287.43	6
00008	high	ə	509.92	1649.63	2
00010	high	u	483.80	1368.11	6
00010	high	ɛ	621.33	2002.58	7
00010	high	ɔ	557.25	1073.90	5
00010	high	i	504.83	2518.13	8
00010	high	ɑ	780.44	1429.12	18
00010	high	ə	650.78	1716.11	1
00011	high	i	301.53	2591.48	26
00011	high	u	341.46	1358.31	15
00011	high	ɑ	746.38	1506.77	62
00011	high	ɔ	437.28	1197.18	16
00011	high	ɛ	500.06	2076.21	28
00011	high	ə	611.83	1676.30	5
00013	high	ɑ	801.57	1396.56	754
00013	high	ɔ	529.07	1086.34	126
00013	high	i	413.37	2555.54	213
00013	high	ɛ	600.14	2044.71	369
00013	high	u	430.80	1240.04	188
00013	high	ə	649.86	1610.08	61
00014	high	ɑ	763.93	1411.93	563
00014	high	i	438.30	2453.05	225
00014	high	u	435.90	1324.40	177
00014	high	ə	578.10	1606.60	44
00014	high	ɛ	568.21	1932.53	313
00014	high	ɔ	527.65	1172.88	110
00020	high	ɑ	554.79	1314.90	9
00020	high	i	346.85	2025.39	2
00020	high	ɛ	430.65	1899.72	6
00020	high	ə	448.72	1257.67	1
00020	high	ɔ	435.94	1503.57	1
00020	high	u	424.27	1611.04	4
00022	high	u	400.06	1052.51	10
00022	high	ɑ	707.12	1442.32	22
00022	high	ɛ	564.33	1938.57	6
00022	high	i	375.42	2873.46	3
00022	high	ə	676.39	1545.20	2
00022	high	ɔ	544.93	1131.01	2
