spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00001	low	e	398.27	1824.05	15
00001	low	ə	466.44	1501.64	10
00001	low	o	404.95	852.19	4
00001	low	a	512.78	1316.33	6
00001	low	æ	541.75	1740.67	4
00001	low	i	321.67	2128.88	13
00001	low	u	282.67	921.89	2
00001	low	ɔ	443.65	885.14	1
00002	low	u	378.32	1147.49	10
00002	low	e	383.44	2023.50	17
00002	low	i	329.11	2259.91	12
00002	low	o	359.94	983.59	8
00002	low	a	693.85	1448.19	13
00002	low	ə	480.45	1489.05	17
00002	low	æ	648.43	1686.60	3
00008	low	u	370.69	1061.47	20
00008	low	e	415.37	1785.37	40
00008	low	æ	478.04	1654.54	7
00008	low	i	330.27	1917.88	46
00008	low	o	419.45	1023.33	17
00008	low	a	546.99	1189.39	73
00008	low	ɔ	489.28	870.75	4
00008	low	ə	457.40	1368.07	53
00009	low	ə	515.57	1466.31	9
00009	low	o	399.15	989.37	8
00009	low	e	443.28	2079.65	9
00009	low	a	565.65	1286.54	13
00009	low	i	355.29	2018.88	4
00009	low	æ	606.75	1851.68	3
00009	low	u	364.02	1112.40	3
00009	low	ɔ	622.37	954.55	1
00010	low	ɔ	399.06	1034.20	2
00010	low	i	271.01	2166.66	17
00010	low	ə	457.73	1535.66	12
00010	low	a	591.19	1175.03	7
00010	low	e	347.60	2173.74	9
00010	low	u	355.17	1013.28	4
00010	low	o	392.40	952.69	5
00010	low	æ	547.69	1865.26	1
00011	low	ə	517.05	1457.38	7
00011	low	a	703.34	1429.95	3
00011	low	o	505.11	968.28	1
00011	low	i	373.34	1600.11	2
00011	low	e	421.88	1679.89	2
00011	low	u	441.87	994.42	2
00011	low	æ	496.17	1755.63	1
00012	low	i	244.86	2257.12	8
00012	low	o	437.66	771.32	2
00012	low	a	662.40	1205.19	14
00012	low	ə	519.86	1514.19	11
00012	low	e	402.88	1991.02	9
00012	low	æ	656.04	1706.20	1
00012	low	u	363.60	1146.54	2
00013	low	a	622.95	1292.33	41
00013	low	ə	496.19	1353.02	45
00013	low	e	451.06	1765.79	21
00013	low	i	368.16	2035.33	20
00013	low	u	401.09	1029.57	9
00013	low	æ	618.05	1710.92	7
00013	low	o	460.83	1024.86	14
00015	low	e	436.51	1791.01	9
00015	low	ə	458.25	1362.91	21
00015	low	o	416.07	1058.78	10
00015	low	æ	577.57	1776.56	4
00015	low	a	572.04	1211.53	19
00015	low	i	346.84	1894.47	16
00015	low	u	357.76	1230.56	3
00015	low	ɔ	657.20	1069.22	1
00015	low	ɪ	370.69	1794.12	1
00015	low	ɑ	594.68	852.28	1
00016	low	u	340.52	1109.84	40
00016	low	e	354.25	1940.76	92
00016	low	ɔ	548.60	1009.94	12
00016	low	ə	453.65	1572.10	107
00016	low	æ	568.20	1740.47	20
00016	low	a	659.61	1455.69	92
00016	low	i	300.76	2105.10	92
00016	low	o	356.52	1001.68	45
00016	low	ɪ	380.25	1566.85	1
00017	low	a	615.71	1211.53	47
00017	low	e	409.14	1974.16	37
00017	low	ə	535.40	1340.38	41
00017	low	o	448.73	893.99	15
00017	low	i	327.15	2070.33	25
00017	low	æ	535.90	1669.88	12
00017	low	u	377.28	1088.65	13
00017	low	ɔ	560.42	891.52	2
00018	low	a	683.47	1352.21	55
00018	low	ə	593.95	1428.50	54
00018	low	i	399.17	1808.66	39
00018	low	e	471.96	1767.55	29
00018	low	o	458.51	991.99	18
00018	low	æ	633.07	1715.13	10
00018	low	u	430.43	1067.27	16
00018	low	ɔ	674.40	970.56	6
00021	low	u	410.65	1010.21	64
00021	low	e	475.39	1664.80	163
00021	low	ə	527.07	1328.25	246
00021	low	i	382.13	1890.61	190
00021	low	o	449.16	959.14	58
00021	low	a	623.51	1271.05	252
00021	low	æ	591.75	1543.32	70
00021	low	ɔ	567.05	985.19	21
00021	low	ʊ	481.73	876.56	1
00024	low	u	442.87	1264.16	1
00024	low	e	377.54	1626.16	3
