spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	ɛ	429.29	1668.15	7
00000	low	u	370.88	898.40	2
00000	low	a	615.78	1416.34	7
00000	low	ɨ	619.15	1834.51	2
00000	low	ɔ	496.26	1189.86	9
00000	low	i	310.37	2353.89	1
00001	low	ɔ	467.81	1193.54	18
00001	low	ɨ	383.19	1667.63	10
00001	low	ɛ	424.98	1775.54	28
00001	low	i	337.13	2207.56	7
00001	low	u	370.72	922.20	9
00001	low	a	552.94	1395.84	19
00002	low	ɨ	393.44	1504.40	10
00002	low	a	622.73	1350.86	15
00002	low	i	325.59	2189.02	9
00002	low	ɛ	477.82	1602.03	10
00002	low	ɔ	510.02	858.80	12
00002	low	u	460.66	795.37	4
00004	low	ɨ	400.66	1565.33	1
00004	low	a	531.58	1201.61	3
00004	low	ɛ	381.08	1510.40	5
00005	low	ɛ	495.35	1799.55	16
00005	low	ɔ	565.75	1275.07	13
00005	low	a	772.23	1591.32	5
00005	low	i	302.92	1693.51	4
00005	low	u	401.76	1278.05	4
00005	low	ɨ	251.04	1554.91	1
00006	low	a	615.64	1341.49	8
00006	low	ɔ	476.29	1059.69	9
00006	low	ɛ	442.34	1664.60	8
00006	low	ɨ	440.80	1456.25	2
00006	low	i	530.05	2287.49	1
00007	low	ɔ	435.63	1470.36	2
00007	low	i	301.44	1964.95	4
00007	low	ɛ	416.08	1641.83	19
00007	low	a	611.02	1431.66	13
00007	low	u	378.52	1272.62	3
00007	low	ɨ	407.42	1799.36	3
00009	low	a	473.47	1311.96	24
00009	low	ɛ	319.28	1545.72	64
00009	low	ɔ	347.17	1115.63	64
00009	low	ɨ	324.93	1460.09	25
00009	low	i	300.42	2090.85	25
00009	low	u	342.31	1104.29	13
00011	low	u	381.83	1167.90	77
00011	low	i	336.55	1917.02	97
00011	low	a	639.06	1285.14	220
00011	low	ɔ	446.47	1094.39	219
00011	low	ɛ	447.06	1607.38	269
00011	low	ɨ	375.25	1578.27	99
00012	low	ɔ	477.20	1058.70	54
00012	low	a	580.64	1273.80	67
00012	low	ɨ	465.57	1554.07	17
00012	low	i	319.46	2083.59	21
00012	low	ɛ	461.95	1610.01	58
00012	low	u	384.73	996.54	15
00013	low	i	363.79	2103.91	6
00013	low	u	411.62	900.45	8
00013	low	a	683.39	1291.41	17
00013	low	ɨ	366.76	1490.18	5
00013	low	ɛ	500.28	1517.58	17
00013	low	ɔ	486.91	1039.46	8
00014	low	a	680.26	1384.80	8
00014	low	ɛ	485.53	1685.85	10
00014	low	ɔ	536.98	1109.83	11
00014	low	ɨ	460.92	1745.39	5
00014	low	u	403.82	1088.58	5
00014	low	i	322.80	2064.79	2
00015	low	ɔ	475.73	1059.79	2019
00015	low	a	625.85	1325.34	2169
00015	low	ɛ	442.30	1679.83	2323
00015	low	u	342.61	1015.48	692
00015	low	ɨ	380.55	1674.83	933
00015	low	i	299.87	2129.38	870
00016	low	ɔ	432.34	1012.50	20
00016	low	ɛ	439.21	1490.93	17
00016	low	a	535.51	1175.70	27
00016	low	i	313.33	2134.22	5
00016	low	u	395.34	1063.27	6
00016	low	ɨ	389.61	1460.89	10
00017	low	i	248.31	2355.46	10
00017	low	ɔ	449.73	1074.09	15
00017	low	ɨ	322.24	1796.02	4
00017	low	ɛ	404.48	1638.77	12
00017	low	a	528.32	1343.86	15
00017	low	u	300.50	1019.38	2
00018	low	ɔ	488.49	1057.82	37
00018	low	a	637.33	1251.37	33
00018	low	ɨ	385.07	1623.52	16
00018	low	ɛ	452.73	1755.67	34
00018	low	u	371.56	897.17	9
00018	low	i	315.60	2123.23	16
00019	low	ɔ	526.10	1176.35	24
00019	low	u	417.28	1166.44	11
00019	low	ɛ	478.19	1685.72	24
00019	low	a	734.30	1426.29	21
00019	low	i	304.87	2056.88	9
00019	low	ɨ	388.22	1652.13	14
00020	low	ɛ	439.17	1622.54	36
00020	low	u	386.12	1038.96	7
00020	low	i	436.37	1927.04	12
00020	low	ɔ	430.07	1094.48	29
00020	low	ɨ	410.88	1620.48	12
00020	low	a	561.95	1304.77	34
00021	low	ɔ	490.26	1121.96	4
00021	low	ɨ	323.65	1629.02	2
00021	low	i	435.23	1996.32	3
00021	low	ɛ	490.56	1687.42	9
00021	low	a	688.12	1175.58	1
00023	low	ɛ	465.50	1708.40	508
00023	low	ɨ	428.65	1642.75	194
00023	low	ɔ	477.24	1124.56	454
00023	low	u	404.64	1053.00	147
00023	low	a	628.06	1354.36	473
00023	low	i	365.30	2204.41	187
00024	low	ɛ	447.85	1716.57	73
00024	low	a	608.63	1364.30	53
00024	low	i	322.15	2027.87	31
00024	low	ɔ	481.71	1103.10	38
00024	low	ɨ	391.29	1600.28	20
00024	low	u	374.79	1156.17	18
00025	low	i	317.65	2180.84	11
00025	low	a	541.91	1257.05	27
00025	low	ɛ	412.81	1616.12	29
00025	low	ɔ	408.04	917.23	21
00025	low	u	342.87	874.36	8
00025	low	ɨ	375.89	1655.31	13
00026	low	ɔ	504.19	1086.05	74
00026	low	a	601.75	1286.27	79
00026	low	ɛ	487.42	1596.97	82
00026	low	ɨ	422.19	1532.53	37
00026	low	i	352.98	2120.25	30
00026	low	u	433.53	1058.28	20
00027	low	ɛ	517.64	1638.36	91
00027	low	a	667.23	1352.05	100
00027	low	ɨ	452.83	1622.62	44
00027	low	u	451.98	1149.86	24
00027	low	i	421.98	2044.32	37
00027	low	ɔ	548.30	1079.25	65
00028	low	a	531.66	1346.58	5
00028	low	ɛ	462.97	1475.70	4
00028	low	ɨ	381.28	1588.31	2
00028	low	ɔ	437.84	1268.91	2
00028	low	i	318.40	2087.90	1
00029	low	ɔ	424.71	1068.48	108
00029	low	a	568.77	1317.55	108
00029	low	ɨ	361.29	1519.92	42
00029	low	i	294.15	2208.32	55
00029	low	ɛ	417.39	1593.69	103
00029	low	u	329.23	986.97	33
00030	low	ɛ	509.58	1676.68	699
00030	low	a	699.73	1383.24	655
00030	low	i	357.78	2286.90	255
00030	low	ɨ	455.77	1626.99	257
00030	low	u	439.50	1079.06	206
00030	low	ɔ	563.45	1116.54	609
00031	low	ɔ	505.00	993.88	9
00031	low	a	569.54	1252.80	8
00031	low	ɛ	457.53	1589.86	17
00031	low	i	292.24	1986.47	4
00031	low	ɨ	395.84	1601.35	10
00031	low	u	354.88	1259.17	1
00032	low	ɨ	388.13	1636.48	4
00032	low	ɛ	441.31	1539.26	15
00032	low	a	567.29	1355.95	10
00032	low	ɔ	402.52	1035.26	11
00032	low	u	317.58	858.98	9
00032	low	i	295.88	2089.36	3
00033	low	u	340.06	1272.42	6
00033	low	ɔ	453.53	1059.36	19
00033	low	a	571.18	1333.34	17
00033	low	i	297.62	1838.32	7
00033	low	ɛ	402.68	1688.46	27
00033	low	ɨ	354.00	1566.63	7
00034	low	ɔ	458.95	1169.40	39
00034	low	u	383.80	1469.65	16
00034	low	a	551.55	1404.05	43
00034	low	ɛ	430.59	1643.52	65
00034	low	i	326.32	1823.31	29
00034	low	ɨ	392.29	1598.10	27
00035	low	i	328.76	2343.55	20
00035	low	ɔ	513.23	1036.30	33
00035	low	a	693.08	1352.95	34
00035	low	ɛ	492.14	1600.17	35
00035	low	u	361.88	930.18	14
00035	low	ɨ	395.84	1647.58	28
00037	low	ɨ	411.64	1616.50	164
00037	low	i	366.25	2048.94	133
00037	low	ɛ	493.15	1598.08	390
00037	low	ɔ	490.06	1028.48	320
00037	low	a	586.27	1237.45	306
00037	low	u	400.31	993.81	103
00038	low	ɔ	396.67	1020.45	5
00038	low	ɛ	415.15	1487.51	10
00038	low	a	572.40	1282.87	7
00038	low	u	326.49	976.16	4
00038	low	i	323.07	2300.63	4
00038	low	ɨ	278.85	1457.92	4
00039	low	a	694.66	1416.44	15
00039	low	ɔ	490.45	1124.89	7
00039	low	ɨ	360.32	1678.67	3
00039	low	ɛ	369.40	1744.58	6
00039	low	i	284.20	2131.51	2
00040	low	ɛ	421.49	1604.90	13
00040	low	i	370.78	2007.24	7
00040	low	a	560.58	1398.29	13
00040	low	ɨ	373.33	1721.89	8
00040	low	ɔ	430.79	1195.88	14
00040	low	u	355.96	1359.69	4
00041	low	ɨ	416.00	1610.36	17
00041	low	ɛ	449.28	1683.93	47
00041	low	ɔ	457.40	1060.66	31
00041	low	a	630.67	1312.04	35
00041	low	u	381.61	1108.14	9
00041	low	i	329.56	1881.03	20
00042	low	ɛ	383.40	1667.26	14
00042	low	a	500.80	1336.78	12
00042	low	i	312.27	2081.30	10
00042	low	ɨ	371.89	1582.86	5
00042	low	u	359.28	968.26	4
00042	low	ɔ	402.01	1027.74	13
00043	low	a	547.05	1197.58	13
00043	low	ɛ	467.59	1656.07	19
00043	low	u	394.83	1240.31	4
00043	low	ɔ	502.90	1064.54	17
00043	low	i	389.38	2070.47	6
00043	low	ɨ	370.79	1751.30	6
00044	low	a	590.38	1289.10	24
00044	low	ɨ	325.10	1757.82	11
00044	low	ɔ	369.27	1034.56	26
00044	low	u	314.52	1139.42	5
00044	low	ɛ	351.91	1596.19	40
00044	low	i	274.63	2026.09	7
00045	low	a	610.23	1286.82	30
00045	low	ɔ	534.41	1126.92	10
00045	low	ɛ	500.20	1456.20	18
00045	low	i	349.72	2237.03	2
00045	low	ɨ	445.91	1546.28	6
00045	low	u	382.72	1132.16	5
00046	low	ɔ	494.88	973.98	6
00046	low	a	609.74	1118.03	8
00046	low	i	338.78	1922.02	2
00046	low	u	394.06	791.35	2
00046	low	ɛ	367.84	1774.98	2
00046	low	ɨ	377.81	1265.69	2
00047	low	ɛ	487.42	1696.68	223
00047	low	a	643.19	1353.49	176
00047	low	ɔ	488.42	1110.41	162
00047	low	i	357.48	2192.66	63
00047	low	ɨ	429.93	1652.47	81
00047	low	u	395.98	1018.70	36
00048	low	ɔ	459.39	1155.08	269
00048	low	ɛ	421.43	1763.30	303
00048	low	u	362.60	1124.33	111
00048	low	a	615.86	1393.90	185
00048	low	i	319.27	2203.19	104
00048	low	ɨ	383.31	1794.55	128
00051	low	a	673.69	1360.34	13
00051	low	ɛ	575.22	1546.83	22
00051	low	ɔ	596.93	1180.64	23
00051	low	u	522.82	1174.16	7
00051	low	i	343.92	2011.14	4
00051	low	ɨ	454.04	1576.99	7
00053	low	u	365.81	1162.88	4
00053	low	a	640.63	1360.00	17
00053	low	ɨ	396.07	1582.57	4
00053	low	ɛ	425.40	1625.97	13
00053	low	ɔ	497.60	1074.80	13
00053	low	i	308.77	2026.77	8
00054	low	ɛ	519.82	1547.77	528
00054	low	ɔ	541.31	1125.02	444
00054	low	a	648.58	1287.83	493
00054	low	i	423.78	1910.24	171
00054	low	u	454.39	1158.58	158
00054	low	ɨ	477.81	1528.43	223
00056	low	ɨ	445.44	1374.42	5
00056	low	ɛ	472.12	1524.75	13
00056	low	ɔ	469.43	1102.82	11
00056	low	u	339.29	930.89	4
00056	low	i	300.88	2162.89	6
00056	low	a	573.30	1234.73	14
00057	low	a	510.97	1280.99	5
00057	low	u	385.98	826.23	2
00057	low	ɨ	268.97	1800.37	1
00057	low	ɛ	470.89	1231.73	1
00058	low	a	528.44	1294.11	17
00058	low	u	324.47	983.66	5
00058	low	i	293.79	1902.39	11
00058	low	ɔ	457.56	1109.94	25
00058	low	ɨ	358.96	1564.79	8
00058	low	ɛ	399.14	1524.68	27
00059	low	ɛ	503.00	1617.71	12
00059	low	u	401.35	1039.54	7
00059	low	a	584.36	1213.31	10
00059	low	ɔ	537.15	1099.81	13
00059	low	ɨ	432.41	1516.51	7
00060	low	a	620.89	1320.73	28
00060	low	ɛ	468.91	1653.65	31
00060	low	ɨ	397.31	1640.08	9
00060	low	ɔ	558.21	1146.95	23
00060	low	u	429.74	1050.17	8
00060	low	i	386.28	2011.93	6
00061	low	ɔ	477.53	1006.78	92
00061	low	ɛ	469.51	1503.72	110
00061	low	a	585.16	1185.15	109
00061	low	i	340.98	1970.49	41
00061	low	u	373.53	954.25	26
00061	low	ɨ	405.89	1447.76	43
00062	low	a	666.06	1280.01	16
00062	low	u	341.66	1146.38	5
00062	low	ɛ	500.97	1460.27	12
00062	low	i	309.78	2085.94	9
00062	low	ɔ	524.30	1002.39	8
00062	low	ɨ	449.07	1701.97	6
00063	low	ɔ	477.29	1215.32	17
00063	low	ɛ	434.40	1693.40	22
00063	low	ɨ	388.22	1648.31	7
00063	low	a	566.50	1396.68	9
00063	low	u	367.59	1130.17	6
00063	low	i	345.73	1891.07	7
00064	low	i	382.08	2269.09	44
00064	low	ɛ	431.54	1736.25	80
00064	low	ɔ	441.90	1108.84	77
00064	low	a	594.66	1395.46	93
00064	low	ɨ	367.29	1747.91	35
00064	low	u	356.08	1038.90	28
00065	low	a	630.80	1323.33	130
00065	low	u	406.63	1118.03	34
00065	low	ɛ	450.55	1596.21	129
00065	low	i	338.07	2037.82	50
00065	low	ɔ	501.61	1107.10	118
00065	low	ɨ	421.18	1592.39	55
00066	low	ɛ	468.58	1480.52	24
00066	low	u	422.50	943.96	11
00066	low	ɨ	471.38	1439.92	12
00066	low	i	334.55	2054.06	12
00066	low	ɔ	512.21	997.86	17
00066	low	a	617.10	1185.41	24
00068	low	a	574.99	1251.18	26
00068	low	ɛ	440.58	1556.94	50
00068	low	ɔ	457.35	1011.51	32
00068	low	ɨ	383.75	1572.34	21
00068	low	i	415.67	2089.99	11
00068	low	u	350.03	1258.68	8
00069	low	ɛ	435.72	1781.84	12
00069	low	a	633.84	1395.66	13
00069	low	ɔ	483.39	1038.61	18
00069	low	u	350.86	899.59	1
00069	low	ɨ	381.94	1605.23	4
00069	low	i	305.39	2109.97	3
00070	low	a	602.17	1257.94	19
00070	low	ɔ	502.45	1121.00	15
00070	low	ɛ	468.46	1643.34	17
00070	low	u	393.83	1165.87	5
00070	low	ɨ	420.83	1653.33	11
00070	low	i	316.36	2201.03	3
00071	low	ɛ	519.47	1735.33	34
00071	low	a	647.53	1223.85	15
00071	low	ɔ	556.96	981.40	19
00071	low	ɨ	490.60	1880.08	9
00071	low	u	399.26	1133.96	7
00071	low	i	337.26	2177.86	10
00072	low	ɛ	495.72	1647.38	170
00072	low	ɨ	408.74	1572.15	70
00072	low	a	620.88	1281.07	135
00072	low	u	370.60	830.07	50
00072	low	ɔ	489.98	957.89	166
00072	low	i	363.35	2109.42	59
00073	low	ɛ	464.25	1625.68	237
00073	low	ɔ	487.22	1191.67	132
00073	low	ɨ	390.09	1627.31	83
00073	low	i	329.08	1983.93	75
00073	low	a	602.44	1423.04	191
00073	low	u	386.10	1229.44	46
00074	low	ɛ	453.96	1631.08	12
00074	low	a	599.74	1448.85	15
00074	low	ɨ	411.15	1778.95	4
00074	low	ɔ	492.75	1050.88	11
00074	low	u	367.72	1066.12	3
00074	low	i	597.72	2414.26	2
00075	low	ɔ	510.04	1116.55	15
00075	low	ɨ	388.82	1463.11	7
00075	low	a	558.75	1287.95	11
00075	low	ɛ	455.16	1634.46	15
00075	low	u	345.24	1318.39	5
00075	low	i	417.23	2098.77	4
00076	low	u	327.03	963.67	187
00076	low	ɛ	373.78	1582.78	598
00076	low	ɔ	398.51	1017.00	571
00076	low	a	501.30	1271.59	531
00076	low	i	297.36	2063.42	243
00076	low	ɨ	367.50	1534.95	263
00078	low	ɔ	498.68	1065.27	65
00078	low	ɨ	418.12	1489.09	25
00078	low	a	612.86	1250.90	77
00078	low	ɛ	474.35	1521.75	68
00078	low	u	405.89	1039.60	20
00078	low	i	376.10	2009.38	20
00079	low	ɔ	516.65	1077.60	82
00079	low	a	640.89	1282.79	81
00079	low	ɛ	489.43	1628.85	78
00079	low	ɨ	438.66	1671.20	21
00079	low	u	386.60	979.04	30
00079	low	i	335.38	2164.18	24
00080	low	a	577.35	1317.90	104
00080	low	ɛ	446.24	1663.05	116
00080	low	ɔ	462.77	1077.82	91
00080	low	i	358.60	2095.81	40
00080	low	ɨ	415.22	1550.55	48
00080	low	u	376.65	1202.14	39
00082	low	ɔ	482.10	1269.48	33
00082	low	ɛ	466.88	1664.31	30
00082	low	i	371.81	2056.48	19
00082	low	ɨ	435.03	1741.28	17
00082	low	a	565.09	1416.66	37
00082	low	u	418.62	1076.94	11
00083	low	ɔ	459.84	1176.15	19
00083	low	ɛ	471.99	1539.00	24
00083	low	a	534.28	1443.52	13
00083	low	i	387.87	1977.25	8
00083	low	u	379.09	1232.71	6
00083	low	ɨ	425.57	1565.44	5
00084	low	ɔ	445.63	1047.67	21
00084	low	a	554.35	1306.19	12
00084	low	ɨ	428.80	1741.50	4
00084	low	ɛ	389.34	1735.76	15
00084	low	i	257.90	2047.05	2
00084	low	u	410.35	1247.24	7
00086	low	i	331.72	1882.04	8
00086	low	ɨ	465.56	1560.72	5
00086	low	ɛ	459.06	1559.32	14
00086	low	a	648.83	1306.55	12
00086	low	ɔ	522.27	1201.44	16
00086	low	u	387.50	1105.38	5
00087	low	ɛ	399.49	1719.19	22
00087	low	i	279.06	2111.97	12
00087	low	a	531.92	1297.58	24
00087	low	ɔ	374.42	1062.74	16
00087	low	u	344.34	977.02	3
00087	low	ɨ	349.24	1586.78	5
00088	low	i	367.37	1952.60	11
00088	low	a	633.40	1240.65	24
00088	low	ɔ	501.16	1087.94	31
00088	low	ɛ	488.30	1481.89	36
00088	low	ɨ	446.53	1485.04	10
00088	low	u	390.06	953.29	12
00089	low	ɔ	419.74	1142.76	45
00089	low	ɛ	422.92	1604.83	83
00089	low	a	536.27	1273.33	69
00089	low	ɨ	411.29	1604.22	15
00089	low	u	441.17	1288.26	17
00089	low	i	370.08	1941.45	16
00090	low	ɔ	408.22	1108.01	527
00090	low	ɛ	412.16	1671.04	700
00090	low	a	568.28	1317.67	514
00090	low	i	278.32	2211.79	219
00090	low	ɨ	336.27	1644.77	259
00090	low	u	322.88	1102.49	178
00092	low	u	381.23	978.89	3
00092	low	ɛ	492.87	1674.59	16
00092	low	a	674.63	1424.44	12
00092	low	ɨ	424.09	1805.70	5
00092	low	ɔ	540.78	954.98	11
00092	low	i	327.72	2176.66	3
00093	low	u	348.35	902.68	7
00093	low	i	328.34	2036.24	11
00093	low	ɛ	384.73	1674.50	19
00093	low	ɔ	411.13	932.83	24
00093	low	a	516.88	1268.47	22
00093	low	ɨ	355.49	1606.73	8
00094	low	a	590.30	1237.11	87
00094	low	ɛ	439.26	1544.12	78
00094	low	i	355.71	1906.43	33
00094	low	ɔ	474.78	1056.76	102
00094	low	u	363.19	1047.04	18
00094	low	ɨ	383.81	1405.65	43
00096	low	ɔ	544.36	1066.47	16
00096	low	i	321.46	1977.59	11
00096	low	ɛ	513.05	1559.18	12
00096	low	a	655.73	1340.89	16
00096	low	ɨ	484.86	1510.59	12
00096	low	u	409.87	842.07	4
00097	low	ɔ	498.21	1100.51	33
00097	low	a	589.96	1278.64	45
00097	low	u	393.53	1040.06	12
