spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	ɐ	646.55	1340.70	11
00000	low	ɛ	367.77	2094.39	3
00000	low	o	430.14	1035.11	2
00000	low	i	390.15	1988.80	3
00000	low	u	412.95	961.18	1
00000	low	a	741.01	1307.02	1
00001	low	o	444.35	1206.69	11
00001	low	u	424.97	1396.92	3
00001	low	ɐ	604.87	1263.87	15
00001	low	ɛ	387.69	1751.13	8
00001	low	a	724.85	1285.41	4
00001	low	i	478.40	1854.26	4
00001	low	e	384.29	1960.80	1
00002	low	ɛ	380.68	1902.77	8
00002	low	o	360.40	830.19	7
00002	low	i	328.04	1720.26	3
00002	low	ɐ	544.14	1296.67	10
00002	low	e	424.23	1473.38	1
00002	low	u	329.64	806.27	1
00002	low	a	617.51	1263.48	2
00003	low	o	484.91	1171.74	14
00003	low	ɛ	419.61	1760.90	25
00003	low	a	599.22	1369.60	4
00003	low	ɐ	575.22	1337.55	14
00003	low	i	455.90	1816.29	9
00003	low	ɔ	575.99	1163.26	1
00003	low	u	372.50	972.15	1
00003	low	e	467.94	1699.46	1
00004	low	o	413.48	1104.76	42
00004	low	ɛ	407.20	1827.50	44
00004	low	e	406.04	1760.07	4
00004	low	ɐ	533.25	1365.04	40
00004	low	i	344.01	1852.25	15
00004	low	u	380.72	1100.41	9
00004	low	ɔ	584.68	1144.91	1
00004	low	a	642.96	1320.58	3
00006	low	e	373.61	1913.09	14
00006	low	ɛ	371.88	1975.41	161
00006	low	o	358.08	1094.53	161
00006	low	ɐ	548.86	1441.13	209
00006	low	i	324.48	2052.04	117
00006	low	a	668.65	1460.53	18
00006	low	u	301.73	1092.58	20
00006	low	ɔ	472.75	896.85	1
00008	low	o	470.81	961.15	4
00008	low	ɛ	436.89	1752.07	4
00008	low	u	296.67	1191.91	2
00008	low	ɐ	547.25	1123.33	7
00010	low	o	414.86	1019.51	46
00010	low	u	346.20	893.58	13
00010	low	i	347.13	1766.15	25
00010	low	ɐ	576.39	1257.86	37
00010	low	ɛ	370.97	1657.55	38
00010	low	e	459.04	1636.68	7
00010	low	ɔ	503.74	893.62	2
00010	low	a	608.39	1211.20	1
00011	low	o	441.24	1302.95	8
00011	low	ɐ	543.78	1518.96	10
00011	low	ɛ	423.94	1840.84	12
00011	low	i	496.18	1851.17	5
00011	low	a	586.65	1519.86	1
00011	low	u	489.40	1318.19	3
00011	low	e	566.60	1627.39	1
00015	low	ɛ	422.30	1869.19	14
00015	low	ɐ	612.53	1357.19	17
00015	low	o	427.51	985.69	6
00015	low	i	315.40	1849.74	5
00015	low	u	380.97	902.58	2
00016	low	e	429.79	1792.14	3
00016	low	i	381.52	2013.55	8
00016	low	o	462.12	1128.48	20
00016	low	ɛ	427.76	1774.24	12
00016	low	a	631.87	1245.88	4
00016	low	ɐ	555.02	1218.17	19
00016	low	u	408.88	864.52	8
00016	low	ɔ	551.82	880.80	1
00017	low	ɛ	376.17	1889.99	6
00017	low	i	328.16	1927.64	2
00017	low	ɐ	508.61	1507.57	4
00017	low	o	553.96	1147.89	2
00017	low	u	409.82	1113.56	3
00019	low	ɛ	358.68	1796.82	6
00019	low	o	400.51	1085.10	7
00019	low	ɐ	531.78	1388.97	8
00019	low	i	330.85	1845.59	4
00019	low	u	364.89	1071.20	1
00019	low	ɔ	550.55	1051.49	1
00021	low	o	373.96	954.22	92
00021	low	ɛ	385.48	1828.88	104
00021	low	ɐ	467.91	1298.97	106
00021	low	i	347.78	2031.28	58
00021	low	ɔ	522.02	979.46	5
00021	low	u	359.72	1073.22	18
00021	low	e	421.22	1696.57	17
00021	low	a	552.31	1113.04	4
00022	low	ɐ	536.00	1208.20	12
00022	low	ɛ	391.64	1613.54	22
00022	low	a	586.95	1206.86	4
00022	low	o	395.89	1240.23	11
00022	low	i	353.71	1713.30	6
00022	low	e	390.50	1486.00	2
00022	low	u	349.82	864.99	2
00023	low	ɐ	525.35	1315.35	24
00023	low	ɛ	371.07	1794.55	18
00023	low	o	389.27	1048.55	11
00023	low	u	349.91	894.67	4
00023	low	e	529.82	1717.12	3
00023	low	i	329.84	1825.69	7
00023	low	a	692.77	1343.97	2
00024	low	ɛ	334.44	1911.31	4
00024	low	a	615.82	1555.69	1
00024	low	u	476.64	1193.41	1
00024	low	ɐ	597.64	1247.66	6
00025	low	ɛ	375.97	1723.63	10
00025	low	i	375.80	1808.20	4
00025	low	ɐ	501.30	1186.36	10
00025	low	u	351.16	1723.96	1
00025	low	e	499.53	1635.18	2
00025	low	o	400.04	1107.80	11
00025	low	ɔ	499.25	1151.31	1
00025	low	a	601.71	1046.43	1
00026	low	ɐ	548.69	1345.04	1017
00026	low	o	460.60	1063.47	709
00026	low	i	392.53	1989.65	357
00026	low	ɛ	432.71	1897.86	899
00026	low	u	420.21	993.87	232
00026	low	e	463.02	1799.10	91
00026	low	a	608.80	1299.69	82
00026	low	ɔ	585.33	1043.53	15
00031	low	ɛ	401.51	1729.46	13
00031	low	o	427.04	1101.96	14
00031	low	a	632.50	1179.27	1
00031	low	i	365.02	1812.15	5
00031	low	ɐ	507.07	1337.68	18
00031	low	u	390.21	1202.07	8
00031	low	ɔ	603.14	1014.70	1
00035	low	o	436.80	1055.13	21
00035	low	ɛ	434.66	1796.97	17
00035	low	e	538.96	1866.61	3
00035	low	ɔ	526.68	926.73	1
00035	low	i	399.45	1715.62	8
00035	low	ɐ	570.57	1162.65	28
00035	low	u	445.43	1014.73	6
00035	low	a	729.13	1306.24	3
00036	low	ɐ	615.66	1207.24	15
00036	low	ɛ	433.83	1721.78	19
00036	low	o	449.16	1057.35	14
00036	low	e	442.81	1536.35	3
00036	low	u	384.42	1240.82	3
00036	low	i	335.37	1852.54	1
00037	low	a	690.85	1166.38	5
00037	low	ɐ	575.45	1257.25	36
00037	low	o	414.04	1025.09	48
00037	low	i	389.79	1884.40	7
00037	low	ɛ	457.76	1610.91	28
00037	low	u	368.21	958.59	10
00037	low	e	357.23	1310.40	2
00038	low	ɛ	422.36	1849.72	45
00038	low	i	355.52	1997.34	22
00038	low	ɐ	561.94	1285.39	52
00038	low	e	419.19	1959.02	2
00038	low	a	679.56	1258.92	6
00038	low	o	438.77	1182.90	37
00038	low	u	382.88	975.97	16
00039	low	o	492.16	1112.43	37
00039	low	u	421.21	898.47	10
00039	low	ɐ	585.38	1367.25	40
00039	low	ɛ	460.20	1906.03	35
00039	low	e	500.95	1887.58	6
00039	low	a	780.25	1409.60	2
00039	low	i	333.31	2010.92	14
00041	low	e	435.95	1724.88	47
00041	low	ɛ	411.73	1723.33	425
00041	low	o	425.12	1136.64	347
00041	low	i	391.71	1824.60	164
00041	low	ɐ	500.65	1272.04	462
00041	low	a	590.65	1285.49	42
00041	low	u	388.63	1116.56	107
00041	low	ɔ	529.56	1068.87	6
00042	low	u	402.30	969.97	111
00042	low	ɐ	498.93	1396.58	374
00042	low	e	459.86	1848.18	30
00042	low	i	359.43	2093.19	132
00042	low	o	435.49	1073.11	304
00042	low	ɛ	462.08	1813.00	295
00042	low	a	603.70	1437.34	25
00042	low	ɔ	519.62	995.34	5
00048	low	ɛ	446.47	1959.95	40
00048	low	ɐ	551.21	1357.34	32
00048	low	o	458.12	1009.14	25
00048	low	i	451.71	2081.09	12
00048	low	u	402.46	719.36	3
00048	low	a	519.17	1238.58	4
00048	low	e	456.10	2085.45	3
00049	low	o	395.03	900.81	10
00049	low	ɐ	666.94	1308.41	3
00049	low	ɛ	440.56	1881.81	4
00049	low	u	344.20	605.23	1
00053	low	o	419.42	983.83	8
00053	low	ɔ	501.89	910.32	1
00053	low	ɛ	371.70	1896.22	8
00053	low	u	350.03	1089.78	1
00053	low	e	471.25	1935.59	2
00053	low	i	348.92	1886.54	3
00053	low	ɐ	515.00	1353.51	7
00055	low	ɛ	407.47	1838.68	94
00055	low	o	444.85	1114.00	77
00055	low	ɐ	600.01	1317.96	146
00055	low	i	364.57	1962.83	77
00055	low	u	393.59	961.09	17
00055	low	a	679.74	1293.61	7
00055	low	ɔ	598.71	1033.08	1
00055	low	e	524.51	1698.04	4
00056	low	ɛ	450.57	1803.19	14
00056	low	ɐ	614.23	1269.85	14
00056	low	o	451.57	1058.69	11
00056	low	e	426.85	1826.24	2
00056	low	i	320.55	1924.53	8
00056	low	a	754.69	1238.32	1
00056	low	u	379.26	997.80	3
00060	low	o	408.16	1084.97	313
00060	low	i	366.17	1746.12	141
00060	low	ɛ	401.55	1680.86	368
00060	low	ɐ	515.11	1300.81	410
00060	low	u	393.29	1076.49	102
00060	low	ɔ	502.01	992.15	5
00060	low	a	581.20	1278.66	36
00060	low	e	427.53	1591.80	39
