spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	i	356.41	1976.10	29
00000	low	e	387.37	1720.30	35
00000	low	u	346.61	992.65	23
00000	low	a	526.56	1189.66	30
00000	low	o	393.60	841.15	13
00000	low	ɜ	425.84	1360.73	9
00000	low	ɨ	406.15	1579.79	1
00001	low	a	662.85	1368.08	4
00001	low	e	391.17	1827.50	4
00001	low	u	337.58	1460.11	2
00001	low	i	340.26	1642.95	5
00002	low	o	451.68	1123.74	6
00002	low	u	405.08	1085.57	8
00002	low	i	481.15	1871.76	7
00002	low	ɜ	415.55	1151.99	3
00002	low	ɨ	426.50	1402.35	2
00002	low	e	427.27	1528.30	9
00002	low	a	497.35	1344.40	9
00003	low	u	396.98	1148.14	11
00003	low	e	419.83	1650.74	20
00003	low	a	528.96	1345.92	17
00003	low	o	439.44	1016.45	7
00003	low	ɨ	354.84	1402.75	2
00003	low	i	339.61	2010.70	12
00003	low	ɜ	471.17	1351.66	5
00007	low	o	445.57	893.55	13
00007	low	u	388.54	949.37	19
00007	low	i	387.36	1956.77	21
00007	low	a	566.97	1265.59	22
00007	low	e	414.88	1684.42	28
00007	low	ɜ	501.00	1302.13	9
00009	low	i	444.88	1941.13	25
00009	low	u	471.70	1029.06	37
00009	low	a	676.49	1223.87	39
00009	low	e	481.23	1726.85	48
00009	low	ɜ	516.32	1315.94	13
00009	low	o	489.15	991.33	23
00009	low	ɨ	512.87	1148.26	7
00010	low	ɜ	367.81	1398.50	4
00010	low	ɨ	384.66	1530.74	6
00010	low	u	382.09	1378.92	12
00010	low	e	372.57	1560.98	20
00010	low	a	472.43	1390.18	12
00010	low	o	367.79	1139.08	5
00010	low	i	379.44	1634.87	13
00011	low	o	491.08	916.46	48
00011	low	ɨ	496.48	1308.58	16
00011	low	e	498.79	1650.53	139
00011	low	i	394.19	2036.56	77
00011	low	a	712.39	1222.38	113
00011	low	u	445.62	980.47	72
00011	low	ɜ	552.42	1253.16	45
00013	low	u	432.25	1181.47	11
00013	low	a	620.90	1381.37	12
00013	low	o	479.86	1109.66	8
00013	low	i	346.28	2108.57	9
00013	low	e	448.33	1781.44	19
00013	low	ɜ	460.21	1384.17	8
00013	low	ɨ	425.28	1369.19	2
00014	low	a	502.59	1346.64	79
00014	low	e	382.09	1651.07	105
00014	low	o	414.45	1059.79	25
00014	low	i	337.43	1810.34	52
00014	low	u	366.24	1169.60	38
00014	low	ɨ	372.76	1462.99	14
00014	low	ɜ	379.02	1357.31	28
00016	low	ɜ	449.21	1360.66	13
00016	low	e	441.75	1689.41	62
00016	low	u	413.76	1125.88	26
00016	low	a	608.35	1357.45	55
00016	low	o	458.01	1055.37	18
00016	low	i	407.85	2041.94	37
00016	low	ɨ	497.26	1472.53	6
00017	low	a	594.88	1364.76	321
00017	low	ɜ	507.19	1383.18	101
00017	low	e	473.65	1680.40	424
00017	low	o	484.22	1126.63	156
00017	low	u	465.13	1270.91	175
00017	low	i	445.52	1930.78	264
00017	low	ɨ	524.20	1507.20	32
00019	low	e	453.34	1565.84	56
00019	low	a	509.74	1266.38	55
00019	low	i	424.78	1956.47	29
