spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00001	low	o	502.35	1291.53	98
00001	low	e	407.16	1687.35	84
00001	low	u	400.06	1213.83	28
00001	low	ɨ	378.23	1524.90	17
00001	low	i	316.10	1820.58	73
00001	low	a	543.42	1414.96	102
00002	low	e	417.28	1914.76	20
00002	low	o	474.77	1295.49	24
00002	low	i	336.87	1780.32	10
00002	low	a	495.64	1371.42	29
00002	low	u	380.70	1201.82	11
00002	low	ɨ	486.29	1845.05	1
00004	low	a	537.95	1444.23	117
00004	low	e	419.82	1831.58	113
00004	low	u	408.89	1112.39	35
00004	low	ɨ	395.31	1417.79	29
00004	low	i	375.99	2038.35	80
00004	low	o	488.92	1247.63	105
00007	low	i	334.28	1903.36	234
00007	low	o	442.83	1300.66	362
00007	low	e	368.56	1779.95	358
00007	low	a	482.09	1453.73	297
00007	low	u	358.38	1250.35	106
00007	low	ɨ	360.66	1369.53	68
00010	low	u	373.84	1348.36	7
00010	low	o	514.40	1220.82	41
00010	low	e	443.77	1818.18	40
00010	low	ɨ	417.04	1174.53	5
00010	low	a	545.57	1324.42	33
00010	low	i	425.09	1833.26	25
00011	low	o	440.85	1264.92	124
00011	low	a	483.58	1405.70	117
00011	low	i	372.04	1911.68	91
00011	low	e	394.75	1768.88	128
00011	low	ɨ	402.57	1447.81	29
00011	low	u	362.83	1174.15	29
00014	low	e	452.84	1844.33	940
00014	low	o	512.10	1278.32	1002
00014	low	a	546.29	1487.03	917
00014	low	i	429.52	1991.06	717
00014	low	u	431.59	1210.61	289
00014	low	ɨ	454.56	1463.47	191
00015	low	a	485.22	1288.66	27
00015	low	u	407.15	1151.96	11
00015	low	i	369.91	1771.28	15
00015	low	ɨ	407.33	1066.62	6
00015	low	o	453.75	1144.48	37
00015	low	e	425.00	1735.49	14
00018	low	o	439.36	1270.82	25
00018	low	a	463.68	1402.61	21
00018	low	e	409.67	1574.61	20
00018	low	ɨ	390.78	1505.21	4
00018	low	u	366.27	1335.81	4
00018	low	i	353.96	1730.51	17
00020	low	o	465.78	1233.65	124
00020	low	i	356.11	1844.39	107
00020	low	ɨ	390.69	1519.90	20
00020	low	e	390.12	1769.41	112
00020	low	a	502.14	1447.76	101
00020	low	u	358.79	1351.31	46
00026	low	a	503.94	1409.62	24
00026	low	o	479.78	1197.67	17
00026	low	u	380.81	1122.07	8
00026	low	e	412.74	1667.55	25
00026	low	i	373.35	1698.53	8
00026	low	ɨ	430.48	1503.85	3
00027	low	a	482.27	1460.84	587
00027	low	o	469.80	1298.98	623
00027	low	e	407.72	1748.10	547
00027	low	i	376.55	1833.04	385
00027	low	u	397.72	1223.12	211
00027	low	ɨ	399.69	1495.15	120
00028	low	o	499.05	1113.35	298
00028	low	i	390.91	1792.65	226
00028	low	ɨ	433.69	1253.32	60
00028	low	e	451.05	1681.22	275
00028	low	u	392.94	1065.21	91
00028	low	a	559.90	1276.67	234
00030	low	o	506.06	1196.34	21
00030	low	e	439.84	1585.38	25
00030	low	i	384.40	1791.00	25
00030	low	a	514.17	1339.16	32
00030	low	ɨ	453.77	1332.76	6
00030	low	u	446.50	1132.85	8
00031	low	o	508.18	1370.74	13
00031	low	ɨ	317.66	1567.50	2
00031	low	e	447.42	1604.00	18
00031	low	a	534.76	1421.26	19
00031	low	i	363.09	1785.90	12
00031	low	u	373.39	1233.93	6
00033	low	o	457.57	1222.03	7
00033	low	a	425.67	1357.19	5
00033	low	e	340.37	1720.01	1
00033	low	i	344.84	2160.62	1
00033	low	u	274.74	1175.12	2
00033	low	ɨ	307.07	1551.39	2
00034	low	a	449.43	1467.07	63
00034	low	ɨ	371.29	1316.31	5
00034	low	o	430.57	1277.32	42
00034	low	i	379.19	1996.14	27
00034	low	u	375.82	1076.43	18
00034	low	e	394.07	1899.25	19
00036	low	o	534.64	918.84	3
00036	low	e	432.73	1734.17	3
00036	low	i	676.66	1235.00	1
00037	low	o	470.83	1345.36	14
00037	low	e	385.06	1806.67	16
00037	low	u	397.99	1549.07	4
00037	low	a	581.03	1370.16	12
00037	low	ɨ	292.34	1499.29	6
00037	low	i	336.18	1899.50	7
00041	low	ɨ	415.15	1261.60	8
00041	low	a	544.05	1404.24	27
00041	low	o	450.82	1195.99	27
00041	low	e	396.11	1949.09	23
00041	low	i	346.36	1902.49	22
00041	low	u	351.03	1132.29	7
00042	low	o	332.68	1147.88	26
00042	low	a	359.99	1298.40	23
00042	low	e	284.78	1623.28	15
00042	low	u	271.71	1098.89	8
00042	low	ɨ	294.41	1237.95	3
00042	low	i	285.78	1741.32	14
00043	low	ɨ	338.57	1356.06	493
00043	low	e	344.59	1905.03	2643
00043	low	i	305.26	2003.15	2255
00043	low	a	444.71	1346.69	2216
00043	low	o	399.82	1158.63	2603
00043	low	u	315.54	1126.34	825
00044	low	ɨ	318.29	1935.90	1
00044	low	i	358.45	1991.01	3
00044	low	e	366.28	1806.21	6
