spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	a	560.81	1318.82	190
00000	low	u	385.87	1205.63	75
00000	low	i	353.85	1836.32	76
00000	low	e	414.79	1769.87	20
00000	low	o	382.16	669.42	4
00001	low	e	400.11	1857.47	7
00001	low	a	531.74	1442.69	73
00001	low	i	348.23	1903.95	24
00001	low	u	383.89	1177.84	20
00005	low	e	476.00	1813.67	4
00005	low	u	431.44	1097.05	8
00005	low	a	574.38	1352.67	16
00005	low	i	409.22	1559.91	3
00006	low	i	337.66	2188.26	161
00006	low	e	372.02	2167.96	52
00006	low	a	529.85	1412.00	408
00006	low	u	362.70	1261.35	179
00006	low	o	380.12	848.08	6
00008	low	a	542.06	1347.71	26
00008	low	i	347.08	2172.96	14
00008	low	u	376.94	1227.86	9
00008	low	e	434.97	1981.10	6
00011	low	i	363.01	1855.39	8
00011	low	a	460.76	1528.85	11
00011	low	u	436.71	1405.47	3
00011	low	e	423.39	1844.52	2
00013	low	a	526.19	1434.71	2690
00013	low	i	358.21	1957.54	951
00013	low	e	413.93	1947.02	475
00013	low	u	393.75	1318.66	960
00013	low	o	409.41	960.09	44
00014	low	a	544.08	1494.59	15
00014	low	i	345.84	1755.73	4
00014	low	u	328.80	1193.07	2
00014	low	e	371.57	2183.35	2
00016	low	a	559.48	1323.17	4160
00016	low	u	388.43	1276.64	1476
00016	low	i	352.81	1866.95	1349
00016	low	e	421.83	1773.61	483
00016	low	o	429.85	843.41	65
00018	low	i	373.77	2018.60	69
00018	low	u	402.71	1289.24	79
00018	low	e	416.77	2055.35	37
00018	low	a	569.07	1390.80	209
00018	low	o	409.08	806.58	5
00020	low	u	358.49	1138.39	18
00020	low	i	316.22	2047.25	13
00020	low	a	491.27	1322.13	48
00020	low	e	376.49	2090.08	8
00021	low	a	519.87	1315.66	586
00021	low	u	373.45	1301.46	185
00021	low	i	342.60	2052.26	194
00021	low	e	385.79	2101.09	76
00021	low	o	392.81	905.41	5
00023	low	a	511.05	1415.91	28
00023	low	i	363.61	1704.14	8
00023	low	e	431.07	1687.05	4
00023	low	u	369.76	1213.96	6
00023	low	o	313.15	1075.58	1
00029	low	e	407.35	1721.89	59
