spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00003	low	o	396.78	937.46	9
00003	low	a	550.18	1197.89	24
00003	low	i	279.08	1783.38	14
00003	low	œ	328.69	1280.09	3
00003	low	e	365.25	1637.25	11
00003	low	u	314.51	1126.11	5
00003	low	ɯ	266.38	1259.88	9
00003	low	y	257.65	1442.77	3
00004	low	e	441.18	1684.34	43
00004	low	i	367.63	1871.27	32
00004	low	a	523.95	1163.66	50
00004	low	u	416.79	1230.06	11
00004	low	y	366.44	1863.20	11
00004	low	œ	431.90	1574.39	3
00004	low	o	468.15	1159.37	17
00004	low	ɯ	527.46	1556.77	24
00005	low	e	378.86	1842.32	15
00005	low	a	536.07	1293.13	23
00005	low	y	309.48	1529.53	2
00005	low	i	323.48	1967.65	13
00005	low	ɯ	421.70	1572.47	11
00005	low	o	438.66	1018.15	6
00005	low	u	325.43	1080.01	10
00006	low	o	462.37	960.33	8
00006	low	e	484.15	1880.69	14
00006	low	a	568.74	1251.34	12
00006	low	ɯ	396.36	2019.58	1
00006	low	i	452.77	1911.78	20
00006	low	u	422.11	965.59	5
00006	low	œ	451.47	1582.37	1
00007	low	u	413.24	1050.27	6
00007	low	a	542.85	1228.95	29
00007	low	e	436.24	1697.83	18
00007	low	ɯ	439.81	1445.96	14
00007	low	i	386.97	1748.94	11
00007	low	y	333.97	1692.34	2
00007	low	o	484.70	968.58	3
00008	low	e	388.79	1671.68	30
00008	low	y	412.02	1639.63	5
00008	low	ɯ	430.13	1414.06	21
00008	low	o	374.32	1047.90	5
00008	low	a	451.42	1236.86	41
00008	low	i	364.63	1730.64	22
00008	low	œ	380.04	1376.01	2
00008	low	u	396.88	1276.26	11
00011	low	u	432.58	1134.23	110
00011	low	a	553.88	1224.64	292
00011	low	ɯ	493.77	1412.94	119
00011	low	i	436.76	1841.92	211
00011	low	e	469.33	1724.38	246
00011	low	œ	444.88	1339.24	13
00011	low	y	423.17	1676.65	50
00011	low	o	472.60	1077.32	71
00014	low	i	385.74	1950.64	6
00014	low	e	439.76	1794.43	22
00014	low	o	432.52	1027.10	7
00014	low	a	492.27	1343.25	10
00014	low	œ	431.89	1433.34	4
00014	low	y	356.65	1632.06	3
00014	low	u	357.99	1133.96	6
00014	low	ɯ	503.71	1456.67	6
00016	low	u	214.70	1172.96	5
00016	low	a	483.31	1362.07	17
00016	low	ɯ	329.46	1348.24	9
00016	low	i	304.77	1689.39	10
00016	low	e	384.91	1674.18	7
00024	low	u	380.99	954.39	9
00024	low	y	358.76	1730.63	2
00024	low	e	446.65	1594.32	13
00024	low	i	368.71	1869.91	14
00024	low	a	532.65	1217.32	21
00024	low	ɯ	404.04	1361.39	12
00024	low	œ	449.55	1473.31	3
00024	low	o	441.43	1010.28	2
00025	low	u	443.87	1102.47	4
00025	low	a	602.95	1138.49	23
00025	low	i	415.45	1921.68	8
00025	low	ɯ	467.69	1269.27	13
00025	low	e	510.65	1664.36	14
00025	low	o	477.58	925.32	5
00025	low	y	456.78	1646.70	8
00025	low	œ	467.76	1269.10	2
00026	low	a	516.43	1308.25	47
00026	low	e	456.38	1841.50	33
00026	low	i	389.93	1932.99	40
00026	low	o	435.15	910.82	9
00026	low	ɯ	412.64	1480.08	15
00026	low	y	360.54	1589.75	5
00026	low	u	407.80	1035.28	5
00026	low	œ	426.03	1368.88	2
00027	low	y	355.94	1581.75	3
00027	low	i	348.44	1799.10	34
00027	low	e	476.38	1730.81	30
00027	low	œ	488.79	1204.72	4
00027	low	u	366.30	1106.62	20
00027	low	a	594.60	1187.69	32
00027	low	ɯ	527.20	1376.74	10
00027	low	o	478.28	1018.25	13
00030	low	o	535.52	1037.08	66
00030	low	e	492.25	1709.66	168
00030	low	i	405.71	1785.04	183
00030	low	a	629.02	1193.29	214
00030	low	œ	484.36	1345.15	19
00030	low	u	423.95	1103.86	72
00030	low	ɯ	507.22	1434.01	80
00030	low	y	376.24	1644.78	22
00031	low	y	379.51	1698.76	129
00031	low	a	597.00	1255.17	851
00031	low	e	469.34	1798.52	600
00031	low	o	480.76	977.38	206
00031	low	i	398.37	1926.05	588
00031	low	u	429.71	1103.59	293
00031	low	ɯ	472.13	1574.43	307
00031	low	œ	429.61	1395.33	49
00032	low	e	443.03	1712.66	91
00032	low	a	561.51	1202.63	125
00032	low	i	352.26	1901.39	68
00032	low	o	429.61	1015.64	29
00032	low	ɯ	384.06	1403.58	49
00032	low	y	311.88	1692.78	19
00032	low	u	352.01	1117.61	25
00032	low	œ	394.71	1337.46	6
00034	low	i	415.81	1924.13	236
00034	low	y	404.26	1574.06	53
00034	low	e	474.44	1773.28	259
00034	low	a	620.75	1258.36	348
00034	low	u	472.12	1217.91	99
00034	low	ɯ	496.14	1426.77	110
00034	low	o	476.20	1062.49	80
00034	low	œ	428.90	1351.65	22
00038	low	a	549.25	1144.57	85
00038	low	e	481.81	1550.73	58
00038	low	i	343.07	1714.87	61
00038	low	ɯ	435.83	1344.09	41
00038	low	o	453.83	948.84	20
00038	low	u	396.71	1072.66	20
00038	low	y	373.43	1402.29	13
00038	low	œ	410.59	1279.87	5
00039	low	y	313.14	1555.87	4
00039	low	a	601.97	1224.16	19
00039	low	i	337.62	1837.74	22
00039	low	e	432.16	1749.21	21
00039	low	ɯ	423.55	1519.92	8
00039	low	o	472.31	1044.12	12
00039	low	u	384.13	1233.66	9
00039	low	œ	365.66	1360.68	1
00040	low	u	411.96	1093.48	129
00040	low	a	545.38	1214.74	501
00040	low	ɯ	458.16	1438.21	172
00040	low	e	471.14	1751.01	369
00040	low	i	407.22	1859.34	326
00040	low	o	449.02	1035.40	125
00040	low	y	391.54	1586.04	69
00040	low	œ	419.21	1330.08	32
00042	low	i	394.94	2086.29	10
00042	low	œ	434.68	1531.61	2
00042	low	ɯ	365.56	1572.41	5
00042	low	a	652.98	1360.71	10
00042	low	e	473.31	1790.82	4
00042	low	u	369.16	1422.06	5
00042	low	o	485.89	1445.15	1
00042	low	y	263.28	1825.56	1
00043	low	i	375.29	1713.05	12
00043	low	e	463.52	1783.62	11
00043	low	u	325.05	1079.49	3
00043	low	y	346.82	1669.70	4
00043	low	a	539.36	1198.23	19
00043	low	ɯ	418.88	1213.36	7
00043	low	o	399.73	954.49	2
00043	low	œ	432.28	1316.80	1
00044	low	u	453.25	1421.77	5
00044	low	œ	435.42	1624.19	2
00044	low	e	445.80	1717.87	17
00044	low	i	345.80	1908.44	15
00044	low	a	545.46	1350.58	23
00044	low	ɯ	381.24	1570.07	9
00044	low	y	328.17	1804.13	10
00044	low	o	494.06	1133.09	5
00046	low	œ	526.50	1389.27	1
00046	low	i	342.85	2054.91	6
00046	low	e	482.59	1883.62	4
00046	low	o	480.38	976.99	3
00046	low	u	509.39	1197.69	3
00046	low	a	580.14	1263.40	3
00046	low	ɯ	482.44	1422.06	3
00047	low	y	446.47	1680.97	4
00047	low	e	461.16	1755.24	12
00047	low	i	360.65	1830.50	10
00047	low	u	433.95	1154.57	9
00047	low	a	595.58	1438.42	14
00047	low	œ	459.03	1518.07	2
00047	low	ɯ	449.54	1505.60	8
00047	low	o	442.61	1210.24	5
00048	low	i	384.99	2004.92	15
00048	low	o	514.28	1108.29	11
00048	low	u	447.14	1403.89	13
00048	low	a	598.53	1311.44	31
00048	low	ɯ	475.74	1428.63	12
00048	low	e	497.50	1772.61	23
00048	low	œ	484.92	1414.12	2
00048	low	y	397.60	1668.80	2
00050	low	ɯ	461.45	1447.43	26
00050	low	a	557.92	1226.56	50
00050	low	œ	444.97	1251.79	5
00050	low	e	374.66	1686.06	43
00050	low	i	307.87	1773.06	52
00050	low	o	435.33	1163.07	22
00050	low	u	371.59	1057.56	19
00050	low	y	334.73	1712.74	20
00051	low	œ	453.68	1355.67	3
00051	low	e	449.22	1715.04	12
00051	low	o	432.78	1110.05	11
00051	low	u	391.40	1122.69	5
00051	low	a	539.73	1285.71	23
00051	low	ɯ	493.12	1656.95	9
00051	low	i	328.12	1859.64	5
00051	low	y	337.89	1545.81	4
00052	low	y	414.69	1685.40	7
00052	low	o	469.38	1006.01	3
00052	low	u	394.52	1122.69	4
00052	low	a	594.83	1153.64	7
00052	low	ɯ	538.05	1461.96	7
00052	low	i	450.72	2070.07	3
00052	low	e	457.51	1602.85	6
00053	low	e	385.65	1722.30	11
00053	low	i	336.51	1813.89	20
00053	low	a	571.78	1317.75	15
00053	low	œ	380.24	1419.67	3
00053	low	ɯ	470.32	1359.09	1
00053	low	y	319.29	1700.52	6
00053	low	o	417.86	1093.56	5
00053	low	u	352.52	1325.96	3
00054	low	u	404.51	1144.17	11
00054	low	a	662.79	1212.78	27
00054	low	y	386.44	1498.97	10
00054	low	e	446.52	1583.76	24
00054	low	œ	425.85	1363.81	4
00054	low	i	422.70	1634.32	18
00054	low	o	470.18	1141.65	14
00054	low	ɯ	460.89	1387.93	11
00056	low	e	467.30	1752.08	11
00056	low	a	568.54	1258.21	18
00056	low	ɯ	444.28	1412.89	7
00056	low	o	418.91	1092.89	6
00056	low	i	369.22	1855.36	8
00056	low	u	385.18	1184.83	5
00056	low	y	542.73	1697.21	2
00057	low	y	446.91	1701.03	55
00057	low	o	516.20	1085.01	76
00057	low	a	595.11	1221.68	285
00057	low	e	505.98	1771.23	233
00057	low	i	458.04	1973.15	227
00057	low	u	459.30	1078.89	89
00057	low	ɯ	514.16	1381.40	86
00057	low	œ	490.98	1467.61	15
00058	low	a	581.54	1181.21	14
00058	low	ɯ	441.24	1340.86	9
00058	low	i	326.43	1979.55	8
00058	low	y	371.66	1699.75	5
00058	low	e	380.61	1885.19	12
