spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	i	338.61	2026.07	183
00000	low	ɔ	426.03	1109.29	294
00000	low	a	520.09	1418.81	294
00000	low	ɛ	432.89	1599.87	153
00000	low	ɪ	370.37	1706.65	222
00000	low	u	357.12	1147.18	136
00001	low	u	417.33	1040.74	12
00001	low	a	639.71	1477.10	22
00001	low	i	363.18	2209.03	9
00001	low	ɔ	506.00	1113.15	19
00001	low	ɪ	497.47	1754.56	7
00001	low	ɛ	559.61	1543.26	10
00002	low	ɔ	510.99	923.23	10
00002	low	ɛ	473.23	1243.71	2
00002	low	a	651.92	1123.08	3
00002	low	ɪ	435.32	1405.02	4
00002	low	i	428.19	1680.86	2
00002	low	u	557.48	1034.63	1
00004	low	ɔ	474.03	1322.31	2
00004	low	a	632.86	1079.69	2
00004	low	u	398.18	1289.80	3
00006	low	a	570.38	1493.58	470
00006	low	u	422.85	1243.49	189
00006	low	ɔ	480.20	1217.26	396
00006	low	ɛ	493.47	1624.11	237
00006	low	i	408.88	1784.67	216
00006	low	ɪ	440.42	1567.74	311
00008	low	a	538.89	1400.10	149
00008	low	ɔ	459.75	1073.92	127
00008	low	ɛ	470.01	1567.31	79
00008	low	i	325.34	2002.86	99
00008	low	ɪ	402.20	1616.15	83
00008	low	u	378.09	1055.86	62
00009	low	ɔ	432.66	1082.69	34
00009	low	a	503.52	1367.90	44
00009	low	u	403.68	1154.35	18
00009	low	ɪ	350.42	1756.24	24
00009	low	ɛ	415.74	1597.34	30
00009	low	i	326.63	1922.02	29
00010	low	ɔ	452.39	981.79	332
00010	low	ɪ	437.54	1489.92	164
00010	low	a	565.11	1142.09	328
00010	low	ɛ	505.16	1433.60	145
00010	low	i	365.19	2106.09	198
00010	low	u	374.92	992.82	144
00011	low	a	552.51	1424.80	24
00011	low	i	339.93	2073.75	9
00011	low	ɔ	438.80	1163.96	24
00011	low	ɛ	379.71	1669.96	6
00011	low	ɪ	356.75	1746.85	18
00011	low	u	389.33	1065.01	8
00014	low	ɔ	458.80	1093.85	37
00014	low	ɛ	471.44	1761.23	18
00014	low	a	586.99	1319.13	38
00014	low	u	381.51	1136.27	15
00014	low	ɪ	420.40	1839.46	19
00014	low	i	357.98	2204.31	13
00016	low	i	327.40	1761.98	6
00016	low	a	569.60	1358.61	11
00016	low	ɛ	445.76	1624.28	6
00016	low	ɔ	440.44	1130.52	6
00016	low	u	434.21	1411.86	4
00016	low	ɪ	388.27	1560.06	5
00017	low	ɛ	451.65	1548.83	128
00017	low	i	384.41	1897.07	137
