spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00002	low	u	420.34	931.28	8
00002	low	a	564.96	1152.47	21
00002	low	i	491.12	1634.53	43
00002	low	y	427.18	1626.01	5
00002	low	ɛ	432.68	1611.03	12
00002	low	o	431.07	925.70	7
00002	low	e	404.54	1678.44	2
00002	low	ø	329.43	1475.16	1
00012	low	u	464.95	1163.89	15
00012	low	a	650.10	1185.14	29
00012	low	i	489.77	1441.79	59
00012	low	ɛ	597.19	1504.89	22
00012	low	e	412.05	1639.61	7
00012	low	ø	384.85	1356.70	3
00012	low	y	499.12	1397.61	5
00012	low	o	425.49	996.61	4
00017	low	u	484.13	1183.74	16
00017	low	i	475.81	1543.64	38
00017	low	a	590.90	1327.66	17
00017	low	o	504.23	1090.65	6
00017	low	ɛ	564.46	1560.35	15
00017	low	ø	378.95	1361.92	1
00017	low	e	420.65	1816.70	3
00017	low	y	425.47	1451.42	3
00018	low	u	434.59	1167.79	8
00018	low	ɛ	472.46	1621.99	12
00018	low	ø	420.34	1679.65	1
00018	low	i	467.09	1645.65	19
00018	low	a	528.20	1261.66	15
00018	low	e	424.78	1900.58	3
00018	low	o	424.02	897.74	3
00019	low	i	462.22	1613.09	260
00019	low	ø	446.83	1514.71	13
00019	low	u	470.08	1152.17	82
00019	low	y	559.89	1753.09	18
00019	low	a	621.81	1211.19	126
00019	low	e	429.50	1826.12	37
00019	low	ɛ	554.20	1632.89	120
00019	low	o	466.87	929.28	28
00020	low	a	599.58	1174.74	81
00020	low	u	486.07	1060.88	36
00020	low	e	367.76	1882.23	17
00020	low	i	476.91	1623.18	151
00020	low	ɛ	556.27	1584.96	76
00020	low	o	450.00	965.74	15
00020	low	y	467.36	1704.22	21
00020	low	ø	393.94	1543.09	6
00022	low	o	424.70	967.36	8
00022	low	u	399.71	1009.37	9
00022	low	ø	414.80	1213.11	1
00022	low	ɛ	509.61	1474.03	21
00022	low	a	523.97	1156.85	20
00022	low	i	413.70	1535.69	42
00022	low	e	377.75	1879.95	4
00026	low	u	483.61	1283.85	16
00026	low	a	608.24	1265.76	24
00026	low	ø	407.80	1591.39	3
00026	low	ɛ	550.22	1661.01	13
00026	low	i	457.88	1714.61	21
00026	low	y	513.12	1888.45	4
00026	low	o	491.67	861.07	2
00026	low	e	382.91	2063.87	3
00027	low	u	439.88	1128.56	1662
00027	low	ø	385.90	1536.49	427
00027	low	i	444.74	1605.34	6158
00027	low	ɛ	492.06	1583.42	2696
00027	low	a	539.06	1196.09	3905
00027	low	e	388.02	1833.39	745
00027	low	o	434.74	1038.77	798
00027	low	y	512.92	1643.05	622
00028	low	ɛ	594.37	1565.65	350
00028	low	i	523.94	1567.83	884
00028	low	o	510.36	964.53	115
00028	low	u	549.50	1171.78	244
00028	low	e	435.65	1846.76	106
00028	low	a	644.58	1213.43	511
00028	low	ø	456.69	1489.44	51
00028	low	y	569.28	1665.41	82
00031	low	o	495.33	1082.19	3
00031	low	i	443.55	1520.50	32
00031	low	e	409.94	1616.09	5
00031	low	ɛ	517.24	1529.23	17
00031	low	a	571.31	1280.11	22
00031	low	u	508.25	1268.91	4
00031	low	ø	394.33	1377.58	1
00031	low	y	381.23	1447.68	1
00032	low	a	603.13	1276.86	68
00032	low	o	422.52	957.12	19
00032	low	i	412.60	1586.16	131
00032	low	y	507.91	1702.56	15
00032	low	ɛ	502.84	1621.94	45
00032	low	e	336.76	1895.99	24
00032	low	u	400.36	1079.44	35
00032	low	ø	335.20	1484.99	7
00034	low	ɛ	583.10	1699.97	9
00034	low	i	478.73	1561.49	22
00034	low	ø	440.54	1486.30	3
00034	low	y	516.74	1736.58	2
00034	low	a	580.24	1247.48	16
00034	low	u	517.57	1228.87	7
00034	low	o	456.35	945.35	4
00034	low	e	421.07	1972.03	2
00035	low	a	593.50	1201.44	44
00035	low	i	472.07	1418.75	92
00035	low	e	423.06	1786.74	11
00035	low	ɛ	572.79	1546.10	29
00035	low	ø	458.20	1427.15	7
00035	low	o	494.74	1007.36	9
00035	low	u	459.97	1231.46	18
00035	low	y	584.12	1500.02	7
00036	low	u	459.84	1138.10	46
00036	low	i	448.93	1552.21	139
00036	low	a	568.45	1194.18	78
00036	low	ɛ	472.53	1560.53	62
00036	low	e	400.80	1587.37	13
00036	low	o	457.46	1000.61	16
00036	low	ø	417.78	1422.53	8
00036	low	y	362.23	1594.55	12
00038	low	u	429.25	1191.70	134
00038	low	i	450.80	1618.90	430
00038	low	a	567.16	1236.09	265
00038	low	ɛ	516.34	1579.12	170
00038	low	o	436.09	982.85	56
00038	low	ø	400.89	1466.81	30
00038	low	e	393.67	2026.43	52
00038	low	y	514.77	1788.67	48
00045	low	i	452.78	1573.62	220
00045	low	a	564.36	1038.79	121
00045	low	u	438.54	1036.46	55
00045	low	e	378.75	1850.39	36
00045	low	ɛ	518.18	1490.78	92
00045	low	o	430.42	888.08	33
00045	low	y	668.96	1945.06	16
00045	low	ø	380.85	1449.91	18
00046	low	a	621.68	1106.65	1
00046	low	i	428.56	1588.73	9
00046	low	e	421.03	1740.84	2
00046	low	o	457.68	870.18	1
00046	low	u	457.55	1104.10	2
00050	low	a	574.88	1098.41	23
00050	low	i	464.25	1444.61	25
00050	low	e	316.57	1803.49	5
00050	low	o	404.60	862.28	8
00050	low	u	481.85	1147.97	7
00050	low	ɛ	513.69	1446.33	18
00050	low	y	379.07	1170.35	2
00050	low	ø	345.15	1182.30	1
00053	low	ø	314.57	1560.05	3
00053	low	i	455.68	1792.51	25
00053	low	a	471.51	1113.07	12
00053	low	ɛ	463.59	1591.91	11
00053	low	o	353.30	931.21	6
00053	low	u	371.05	1030.04	3
00053	low	e	357.02	2040.81	2
00053	low	y	862.09	1806.61	2
00055	low	u	515.14	1317.22	6
00055	low	o	386.19	810.53	2
00055	low	a	574.41	1191.18	7
00055	low	i	386.40	1779.58	10
00055	low	e	385.26	2079.69	1
00055	low	ɛ	527.16	1650.73	5
00055	low	y	560.47	1521.35	3
00056	low	a	533.41	1244.21	5
00056	low	i	431.09	1713.83	5
00056	low	y	597.02	1951.16	1
00056	low	ɛ	506.87	1923.49	1
00056	low	u	404.45	1118.09	1
00057	low	o	414.12	1003.03	6
00057	low	u	490.38	1209.08	17
00057	low	a	558.75	1273.69	31
00057	low	y	404.80	1692.80	7
00057	low	ɛ	476.52	1608.50	25
00057	low	ø	366.99	1525.77	5
00057	low	i	416.88	1632.29	43
00057	low	e	348.81	1880.04	8
00063	low	o	425.34	1180.33	21
00063	low	u	412.39	1181.75	31
00063	low	i	391.36	1507.42	162
00063	low	e	417.80	1787.30	19
00063	low	a	544.34	1275.84	85
00063	low	ɛ	519.27	1654.63	48
00063	low	y	419.89	1758.83	9
00063	low	ø	388.21	1293.46	6
00064	low	i	505.63	1570.76	16
00064	low	e	405.15	1737.35	3
00064	low	a	553.44	1218.67	17
00064	low	o	401.99	1088.50	5
00064	low	u	428.70	1134.97	11
00064	low	ɛ	519.48	1693.88	12
00064	low	y	322.66	1610.71	1
00065	low	o	415.66	1072.77	5
00065	low	i	427.04	1730.71	18
00065	low	a	534.50	1286.88	15
00065	low	ø	372.31	1534.21	4
00065	low	y	491.61	1657.44	4
00065	low	e	400.16	1923.08	2
00065	low	u	494.45	1278.73	6
00065	low	ɛ	543.48	1704.19	8
00066	low	u	460.75	1263.13	7
00066	low	a	570.62	1315.43	12
00066	low	ɛ	493.67	1542.47	2
00066	low	o	469.44	891.01	2
00066	low	i	482.29	1502.52	16
00066	low	e	382.38	1815.45	2
00067	low	ɛ	460.45	1545.25	6
00067	low	o	395.22	989.04	4
00067	low	a	530.64	1176.28	16
00067	low	i	413.35	1557.76	30
00067	low	u	399.42	1089.45	8
00067	low	e	348.82	1915.57	2
00067	low	y	322.72	1795.84	5
00067	low	ø	390.42	1505.72	2
00068	low	o	492.70	1006.27	22
00068	low	u	506.72	1146.47	41
00068	low	i	510.02	1655.06	224
00068	low	e	401.47	1884.66	33
00068	low	a	658.52	1278.56	129
00068	low	ɛ	585.12	1634.48	82
00068	low	y	396.61	1654.45	19
00068	low	ø	451.59	1516.26	11
00070	low	a	603.55	1143.71	3
00070	low	ø	361.12	1644.36	1
00070	low	o	463.82	1419.42	1
00070	low	e	337.78	1960.31	2
00070	low	i	407.63	1408.12	2
00071	low	ɛ	559.87	1664.97	73
00071	low	i	434.38	1648.53	156
00071	low	o	467.70	914.34	16
00071	low	u	430.31	1033.49	27
00071	low	a	643.31	1136.31	107
00071	low	e	383.55	1928.87	18
00071	low	y	344.57	1637.23	9
00071	low	ø	411.43	1571.05	10
00073	low	u	490.02	1224.19	121
00073	low	a	570.20	1178.94	283
00073	low	i	487.08	1584.79	423
00073	low	o	471.04	1024.39	56
00073	low	e	404.72	1969.02	48
00073	low	ɛ	519.62	1656.46	186
00073	low	ø	425.88	1571.46	20
00073	low	y	432.94	1796.00	31
00076	low	a	640.21	1190.44	17
00076	low	i	526.39	1482.70	23
00076	low	u	489.18	1126.26	7
00076	low	o	537.89	1007.80	2
00076	low	ɛ	543.76	1486.41	4
00076	low	e	398.01	1576.34	4
00076	low	ø	277.27	1464.75	1
00076	low	y	436.68	1606.38	2
00077	low	y	523.84	1612.85	1251
00077	low	ɛ	608.28	1605.27	5449
00077	low	i	514.57	1617.28	12994
00077	low	u	492.13	1105.96	3595
00077	low	a	633.33	1199.34	8004
00077	low	o	478.85	966.58	1732
00077	low	e	460.11	1957.03	1551
00077	low	ø	457.54	1484.17	874
00079	low	u	450.15	1017.54	7
00079	low	i	419.33	1550.64	16
00079	low	o	426.10	856.88	1
00079	low	a	533.25	1129.78	7
00079	low	ø	416.21	1515.40	1
00079	low	e	459.74	1916.25	2
00079	low	ɛ	500.94	1569.61	8
00082	low	ɛ	558.41	1530.75	110
00082	low	y	651.25	1652.46	19
00082	low	i	509.43	1490.33	243
00082	low	e	408.16	1712.03	26
00082	low	o	473.90	1018.35	40
00082	low	a	623.47	1271.27	145
00082	low	u	538.84	1172.54	54
00082	low	ø	499.54	1443.48	15
00084	low	o	456.59	974.31	37
00084	low	a	580.81	1159.73	206
00084	low	i	490.67	1529.20	356
00084	low	u	461.45	1157.93	85
00084	low	e	406.21	1864.46	42
00084	low	y	540.97	1648.07	33
00084	low	ɛ	516.83	1471.12	114
00084	low	ø	413.74	1600.72	17
00085	low	ɛ	496.15	1599.02	89
00085	low	u	404.50	1119.90	58
00085	low	a	533.59	1176.54	121
00085	low	e	368.23	1943.33	19
00085	low	i	447.92	1623.09	184
00085	low	ø	394.77	1627.01	12
00085	low	y	661.86	1730.28	24
00085	low	o	426.51	984.23	33
00087	low	a	581.66	1201.65	20
00087	low	o	486.77	1029.49	2
00087	low	ɛ	532.42	1584.34	5
00087	low	i	555.63	1458.67	23
