spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00001	low	e	388.69	1639.05	29
00001	low	a	559.21	1435.90	44
00001	low	u	329.87	1144.91	8
00001	low	o	406.90	1096.85	17
00001	low	i	307.78	1815.00	24
00002	low	a	582.26	1308.31	5608
00002	low	o	398.00	983.53	2173
00002	low	u	338.51	953.81	1860
00002	low	i	331.70	1993.37	3226
00002	low	e	409.86	1653.61	4505
00003	low	e	442.34	1717.75	219
00003	low	i	348.64	1957.14	179
00003	low	a	580.86	1430.00	278
00003	low	o	473.52	954.63	106
00003	low	u	397.15	1005.41	100
00004	low	e	469.08	1836.00	14
00004	low	o	453.74	1011.75	8
00004	low	i	340.29	2208.74	19
00004	low	u	347.68	1060.96	6
00004	low	a	566.73	1464.71	19
00005	low	a	615.87	1356.80	1388
00005	low	e	482.62	1647.34	1089
00005	low	u	402.89	980.36	384
00005	low	i	363.10	1979.66	745
00005	low	o	494.37	978.44	464
00009	low	e	448.74	1687.28	110
00009	low	i	341.48	2065.92	91
00009	low	a	564.78	1386.99	143
00009	low	u	369.20	1024.66	40
00009	low	o	465.31	1013.60	45
00011	low	i	393.31	1819.89	66
00011	low	o	518.89	1000.96	52
00011	low	a	616.57	1313.96	123
00011	low	u	405.29	992.35	34
00011	low	e	501.65	1492.36	83
00016	low	u	357.37	1103.93	89
00016	low	i	335.03	2114.19	156
00016	low	e	456.11	1807.12	170
00016	low	a	681.66	1484.18	144
00016	low	o	476.73	1162.09	34
00021	low	a	591.38	1431.22	34
00021	low	o	475.26	1129.44	17
00021	low	u	449.44	1194.63	17
00021	low	i	389.92	1944.18	23
00021	low	e	451.32	1678.26	15
00026	low	e	432.81	1717.45	99
00026	low	a	609.70	1355.00	141
00026	low	i	325.19	1964.17	74
00026	low	o	470.16	1028.22	53
00026	low	u	344.96	999.85	47
00028	low	i	280.83	1976.13	142
00028	low	u	311.59	1043.42	85
00028	low	e	395.92	1710.97	206
00028	low	a	554.45	1363.71	237
00028	low	o	424.65	989.73	76
00032	low	a	653.67	1308.30	8
00032	low	o	529.29	1096.28	7
00032	low	u	403.95	1097.75	7
00032	low	i	381.63	1943.91	5
00032	low	e	543.61	1634.83	1
00033	low	a	684.00	1350.97	31
00033	low	e	512.38	1769.41	29
00033	low	i	310.50	2036.68	17
00033	low	o	547.18	1042.52	12
00033	low	u	445.78	804.44	2
00036	low	e	453.41	1814.07	1342
00036	low	o	470.61	1093.98	595
00036	low	i	349.81	2154.77	994
00036	low	u	380.04	1094.31	601
00036	low	a	587.18	1443.97	1683
00039	low	o	462.99	1029.52	612
00039	low	i	348.72	1878.44	985
00039	low	a	629.33	1290.19	1712
00039	low	e	453.27	1615.67	1329
00039	low	u	381.21	1030.08	574
00041	low	a	522.81	1368.37	25
00041	low	i	392.26	2013.34	17
00041	low	e	448.44	1732.67	29
00041	low	u	383.99	1345.71	12
00041	low	o	486.59	1105.15	5
00042	low	a	571.68	1385.99	31
00042	low	i	390.90	1997.07	12
00042	low	u	380.77	1021.06	10
00042	low	o	473.25	984.37	9
00042	low	e	463.58	1664.16	24
00043	low	a	549.24	1308.04	810
00043	low	i	377.30	1705.59	438
00043	low	u	382.14	1078.80	290
00043	low	e	465.54	1474.24	682
00043	low	o	464.41	1080.91	308
00046	low	i	367.81	1807.47	18
00046	low	u	373.60	1066.36	15
00046	low	a	689.80	1385.75	32
00046	low	o	545.94	1123.63	7
00046	low	e	506.51	1618.79	29
00047	low	a	621.25	1375.78	1943
00047	low	i	378.48	2144.38	1218
00047	low	e	450.38	1779.39	1695
00047	low	o	460.51	1072.79	761
00047	low	u	387.23	1078.72	686
00051	low	o	543.66	1151.73	31
00051	low	e	494.21	1777.00	61
00051	low	a	650.36	1454.48	67
00051	low	i	381.51	2088.76	42
00051	low	u	415.87	1008.11	31
00052	low	i	330.75	2248.86	163
00052	low	e	459.29	1856.58	178
00052	low	u	346.25	958.01	99
00052	low	a	665.73	1467.64	243
00052	low	o	453.81	989.83	111
00055	low	e	452.47	1604.36	2045
00055	low	a	585.48	1328.86	2518
00055	low	i	330.94	1852.39	1453
00055	low	o	470.42	964.03	918
00055	low	u	379.02	958.58	865
00056	low	u	375.74	1005.92	257
00056	low	e	452.63	1724.58	565
00056	low	i	346.88	2083.50	418
00056	low	a	592.81	1410.96	654
00056	low	o	475.78	1094.72	263
00061	low	i	391.82	1803.21	128
00061	low	u	417.14	1210.05	69
00061	low	e	454.29	1652.29	164
00061	low	a	561.71	1457.81	222
00061	low	o	482.60	1192.11	76
00063	low	o	492.85	1107.29	22
00063	low	i	403.27	1965.75	37
00063	low	a	638.48	1544.47	57
00063	low	e	474.69	1777.08	44
00063	low	u	419.49	1127.10	20
00064	low	e	424.78	1693.73	7
00064	low	u	365.32	1498.32	2
00064	low	a	538.19	1487.96	7
00064	low	i	281.62	1949.76	2
00064	low	o	486.59	1174.88	2
00066	low	o	462.41	984.26	31
00066	low	i	362.22	1946.45	35
00066	low	a	599.17	1354.66	55
00066	low	e	463.79	1576.74	47
00066	low	u	383.28	1006.47	27
00069	low	e	437.32	1666.78	369
00069	low	o	461.27	1019.35	145
00069	low	i	325.68	2038.70	246
