spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00001	low	e	398.27	1824.05	15
00001	low	ə	466.44	1501.64	10
00001	low	o	404.95	852.19	4
00001	low	aː	493.48	1274.11	4
00001	low	a	551.37	1400.77	2
00001	low	æː	541.75	1740.67	4
00001	low	i	324.32	2091.43	6
00001	low	iː	312.73	2230.76	8
00001	low	u	321.84	1197.19	3
00001	low	ɔː	443.65	885.14	1
00002	low	u	388.05	1209.36	7
00002	low	e	383.44	2023.50	17
00002	low	i	315.25	2250.82	6
00002	low	iː	342.98	2269.00	6
00002	low	o	359.94	983.59	8
00002	low	aː	679.21	1450.16	12
00002	low	ə	480.45	1489.05	17
00002	low	æː	648.43	1686.60	3
00002	low	uː	355.62	1003.14	3
00008	low	u	384.95	1061.98	15
00008	low	e	415.37	1785.37	40
00008	low	æː	478.04	1654.54	7
00008	low	i	361.86	1782.43	17
00008	low	o	419.45	1023.33	17
00008	low	a	535.48	1231.55	4
00008	low	aː	547.66	1186.95	69
00008	low	ɔː	489.28	870.75	4
00008	low	ə	457.40	1368.07	53
00008	low	iː	311.76	1997.28	29
00008	low	uː	327.90	1059.93	5
00009	low	ə	515.57	1466.31	9
00009	low	o	399.15	989.37	8
00009	low	e	443.28	2079.65	9
00009	low	a	605.81	1402.27	1
00009	low	aː	562.30	1276.90	12
00009	low	iː	355.08	2713.17	1
00009	low	æː	606.75	1851.68	3
00009	low	uː	321.63	1078.10	1
00009	low	i	355.29	2018.88	4
00009	low	ɔ	622.37	954.55	1
00009	low	u	385.22	1129.56	2
00010	low	ɔː	368.40	936.91	1
00010	low	iː	249.79	2186.51	11
00010	low	ə	457.73	1535.66	12
00010	low	aː	591.19	1175.03	7
00010	low	e	347.60	2173.74	9
00010	low	i	309.93	2130.26	6
00010	low	u	355.17	1013.28	4
00010	low	ɔ	429.72	1131.49	1
00010	low	o	392.40	952.69	5
00010	low	æː	547.69	1865.26	1
00011	low	ə	517.05	1457.38	7
00011	low	aː	703.34	1429.95	3
00011	low	o	505.11	968.28	1
00011	low	i	366.00	1733.37	1
00011	low	e	421.88	1679.89	2
00011	low	u	411.60	1079.38	1
00011	low	uː	472.14	909.45	1
00011	low	iː	380.68	1466.85	1
00011	low	æː	496.17	1755.63	1
00012	low	i	254.74	2150.40	3
00012	low	o	437.66	771.32	2
00012	low	iː	253.39	2304.57	4
00012	low	aː	661.91	1161.44	12
00012	low	ə	519.86	1514.19	11
00012	low	e	402.88	1991.02	9
00012	low	a	651.41	1231.17	1
00012	low	æː	656.04	1706.20	1
00012	low	u	371.21	915.90	1
00012	low	uː	355.99	1377.18	1
00013	low	aː	627.94	1311.32	37
00013	low	ə	496.19	1353.02	45
00013	low	e	451.06	1765.79	21
00013	low	i	377.12	1964.26	12
00013	low	uː	378.41	1074.21	2
00013	low	iː	354.70	2141.94	8
00013	low	u	407.57	1016.81	7
00013	low	a	580.80	1181.80	3
00013	low	æː	618.05	1710.92	7
00013	low	o	460.83	1024.86	14
00015	low	e	436.51	1791.01	9
00015	low	ə	458.25	1362.91	21
00015	low	o	416.07	1058.78	10
00015	low	æː	577.57	1776.56	4
00015	low	aː	572.04	1211.53	19
00015	low	iː	342.88	1958.64	7
00015	low	i	349.92	1844.57	9
00015	low	u	357.76	1230.56	3
00015	low	ɔː	657.20	1069.22	1
00015	low	ɪ	370.69	1794.12	1
00015	low	ɑ	594.68	852.28	1
00016	low	u	351.79	1149.16	33
00016	low	e	354.25	1940.76	92
00016	low	ɔː	531.22	1044.96	7
00016	low	ə	453.65	1572.10	107
00016	low	æː	544.31	1749.03	20
00016	low	aː	659.27	1450.72	86
00016	low	iː	287.21	2223.24	49
00016	low	o	356.52	1001.68	45
00016	low	i	314.86	2006.22	45
00016	low	ɔ	572.93	960.90	5
00016	low	uː	287.40	924.47	7
00016	low	a	666.59	1491.29	5
00016	low	ɪ	380.25	1566.85	1
00016	low	æ	738.76	1566.40	1
