spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00001	low	ɛ	567.33	1668.92	9
00001	low	ɑ	551.06	1152.32	10
00001	low	o	464.46	1024.02	8
00001	low	eː	401.01	2238.83	2
00001	low	oː	362.65	810.80	2
00001	low	i	391.54	2143.91	3
00001	low	y	351.60	1866.03	1
00001	low	øː	394.32	1517.60	2
00001	low	aː	772.23	1214.03	1
00001	low	iː	364.82	2221.78	1
00001	low	u	375.85	795.40	1
00002	low	ɑ	605.79	1057.94	1
00002	low	o	326.95	1188.94	2
00002	low	i	231.23	2086.46	4
00002	low	ɛ	442.95	1700.79	3
00003	low	uː	361.59	851.01	2
00003	low	ɑ	568.02	1222.27	17
00003	low	i	396.24	1971.71	12
00003	low	ɛ	555.13	1682.97	24
00003	low	øː	438.44	1628.97	7
00003	low	eː	421.16	2088.20	9
00003	low	ø	442.70	1556.73	4
00003	low	iː	371.97	2156.36	2
00003	low	oː	421.49	1015.62	2
00003	low	u	421.61	1124.93	2
00003	low	aː	678.29	1555.22	8
00003	low	o	432.32	1007.98	8
00004	low	ɑ	505.49	1201.08	23
00004	low	ɛ	513.78	1523.39	21
00004	low	u	391.91	998.51	3
00004	low	o	461.44	1128.90	13
00004	low	oː	346.99	687.38	1
00004	low	i	313.02	1937.78	17
00004	low	aː	587.10	1451.84	5
00004	low	øː	367.96	1581.49	2
00004	low	uː	302.25	862.13	1
00004	low	iː	319.57	1815.66	2
00004	low	eː	353.53	1974.11	5
00005	low	ɛ	497.10	1569.51	27
00005	low	o	427.08	844.51	21
00005	low	ɑ	486.98	996.29	38
00005	low	øː	405.96	1616.24	6
00005	low	u	376.37	1075.04	4
00005	low	oː	403.81	769.41	7
00005	low	i	397.90	1975.16	18
00005	low	aː	568.23	1398.32	8
00005	low	eː	419.41	2034.34	7
00005	low	ø	383.91	1425.98	2
00005	low	iː	373.11	2158.58	4
00006	low	aː	633.74	1399.56	11
00006	low	ɑ	514.89	1172.42	24
00006	low	u	342.29	1001.65	4
00006	low	i	320.49	2068.24	4
00006	low	o	446.72	1093.37	11
00006	low	ɛ	539.97	1525.79	22
00006	low	iː	315.09	2248.12	2
00006	low	oː	399.95	857.98	2
00006	low	eː	398.11	2085.03	2
00006	low	y	296.20	1609.84	1
00007	low	o	455.23	1009.24	15
00007	low	ɑ	553.72	1177.96	16
00007	low	eː	392.96	1996.11	7
00007	low	ɛ	549.19	1429.13	14
00007	low	uː	357.70	1054.55	1
00007	low	aː	752.72	1459.72	8
00007	low	i	367.35	1977.96	5
00007	low	ø	446.93	1371.77	3
00007	low	u	368.51	863.41	3
00008	low	eː	404.13	2064.62	3
00008	low	y	368.22	1383.88	2
00008	low	i	383.34	2116.20	4
