spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	a	570.30	1457.10	25
00000	low	u	392.61	1084.42	6
00000	low	i	347.25	2133.83	8
00000	low	o	593.49	1056.29	2
00000	low	ə	454.35	1531.98	6
00007	low	a	564.53	1442.09	60
00007	low	u	449.60	1165.03	27
00007	low	i	426.59	1653.71	27
00007	low	ə	495.27	1366.50	31
00007	low	o	504.60	1248.87	3
00008	low	a	578.18	1390.47	8
00008	low	ə	402.50	1591.70	7
00008	low	u	327.97	1125.69	4
00008	low	i	301.34	2041.43	3
00009	low	ə	480.55	1308.68	41
00009	low	a	587.11	1450.07	128
00009	low	i	387.35	2014.78	53
00009	low	o	509.68	1065.48	7
00009	low	u	452.40	1102.21	25
00010	low	i	328.55	2163.95	16
00010	low	a	586.34	1481.74	32
00010	low	ə	466.73	1457.35	18
00010	low	o	414.28	983.27	3
00010	low	u	381.63	861.40	9
00014	low	u	354.57	993.37	11
00014	low	i	330.78	2010.96	12
00014	low	a	584.13	1381.19	25
00014	low	ə	406.59	1227.92	5
00015	low	i	331.94	1941.06	11
00015	low	a	656.09	1377.38	45
00015	low	ə	420.14	1353.31	12
00015	low	u	391.30	954.96	10
00015	low	o	432.43	894.37	2
00020	low	i	385.60	2184.15	6
00020	low	a	685.92	1450.71	17
00020	low	u	409.31	871.89	6
00020	low	ə	490.83	1291.21	11
00021	low	a	647.82	1434.97	29
00021	low	i	370.64	2191.18	12
00021	low	ə	510.26	1553.60	7
00021	low	u	445.66	942.44	10
00021	low	o	463.00	1233.37	1
00025	low	a	632.18	1367.64	48
00025	low	i	347.77	1973.21	15
00025	low	u	388.52	977.31	13
00025	low	o	583.99	1038.44	4
00025	low	ə	486.02	1298.88	5
00027	low	a	620.56	1386.47	2
00027	low	i	483.43	1384.71	1
00029	low	a	683.53	1431.78	347
00029	low	ə	492.46	1418.36	127
00029	low	i	331.87	2111.64	128
00029	low	u	361.70	1002.72	94
00029	low	o	531.66	1003.76	28
00031	low	a	636.11	1418.18	254
00031	low	u	404.32	912.72	84
00031	low	i	392.67	2024.16	99
00031	low	ə	493.07	1305.25	96
00031	low	o	504.50	965.99	26
00032	low	a	706.44	1358.39	32
00032	low	ə	544.98	1338.64	8
00032	low	u	459.21	1021.45	2
00032	low	i	403.20	2137.84	5
00032	low	o	624.66	1114.05	2
00033	low	ə	496.13	1443.20	253
00033	low	a	628.77	1410.66	742
00033	low	i	375.16	2000.79	285
00033	low	u	397.02	1054.21	171
00033	low	o	534.93	1004.37	64
00034	low	a	617.40	1413.11	83
00034	low	u	408.22	951.17	17
00034	low	ə	466.52	1338.28	28
00034	low	i	377.77	2143.49	31
00034	low	o	540.81	1149.23	6
00036	low	u	410.25	1159.27	40
00036	low	a	629.22	1379.42	137
00036	low	ə	512.94	1363.19	50
00036	low	i	391.11	1991.48	54
00036	low	o	555.73	1081.04	18
00037	low	i	354.81	2018.43	19
00037	low	a	520.30	1315.95	31
00037	low	ə	366.80	1360.31	20
00037	low	o	429.42	1000.08	2
00037	low	u	371.39	1009.51	7
00044	low	a	563.67	1433.69	307
00044	low	o	529.67	988.33	14
00044	low	u	358.69	1116.10	80
00044	low	i	333.45	1993.29	142
00044	low	ə	440.44	1447.37	110
00049	low	ə	523.62	1413.78	5
00049	low	a	624.42	1380.98	7
00049	low	i	330.31	2265.18	3
00049	low	u	420.73	1003.55	4
00054	low	ə	498.43	1391.16	12
00054	low	u	382.11	1063.52	9
00054	low	a	602.40	1432.26	19
00054	low	i	334.99	2120.57	12
00054	low	o	465.59	1108.48	2
00056	low	i	339.70	2010.65	454
00056	low	a	615.03	1383.93	1165
00056	low	ə	473.32	1368.89	377
00056	low	u	387.04	1049.92	292
00056	low	o	508.43	1023.28	96
00057	low	a	595.11	1401.02	1233
00057	low	ə	478.69	1375.85	402
00057	low	u	406.14	978.05	378
00057	low	i	387.61	2094.56	426
00057	low	o	503.33	967.03	80
00058	low	i	360.36	1985.88	12
00058	low	a	560.06	1301.90	38
00058	low	ə	413.55	1281.20	7
00058	low	o	421.43	1054.73	2
00058	low	u	374.73	980.48	7
00063	low	a	635.26	1506.33	125
00063	low	i	347.91	2130.06	46
00063	low	u	403.44	1016.09	34
00063	low	ə	481.39	1431.61	24
00063	low	o	576.64	1002.67	7
00064	low	a	588.33	1459.72	38
00064	low	u	362.83	1138.97	8
00064	low	i	327.06	2101.23	11
00064	low	o	440.09	1094.27	3
00064	low	ə	435.49	1496.93	12
00065	low	o	560.88	907.83	1
00065	low	ə	497.47	1491.59	16
00065	low	a	657.53	1381.35	67
00065	low	i	339.06	2034.89	27
00065	low	u	364.16	967.13	13
00068	low	a	559.81	1307.19	46
00068	low	u	336.53	1015.20	12
00068	low	ə	390.41	1256.41	18
00068	low	i	326.30	1582.64	11
00068	low	o	499.54	1073.34	2
00070	low	i	351.18	2086.25	15
00070	low	a	582.47	1433.25	29
00070	low	ə	447.49	1522.98	14
00070	low	u	376.20	968.23	7
00070	low	o	529.89	957.25	6
00071	low	ə	402.26	1334.54	9
00071	low	i	350.17	1841.72	12
00071	low	a	536.34	1324.30	33
00071	low	u	357.02	984.19	13
00072	low	a	693.28	1386.10	58
00072	low	u	423.87	981.64	22
00072	low	i	372.50	2203.59	32
00072	low	ə	529.12	1359.68	26
00072	low	o	571.78	1222.55	3
00077	low	o	524.22	1061.21	3
00077	low	ə	545.09	1548.86	6
00077	low	i	363.84	2401.48	3
00077	low	a	643.29	1555.03	8
00077	low	u	413.10	1022.30	4
00078	low	u	386.53	1077.38	12
00078	low	ə	565.43	1471.41	22
00078	low	i	375.74	2193.39	14
00078	low	a	666.71	1437.36	42
00078	low	o	607.41	1097.44	8
00080	low	a	542.74	1457.20	9277
00080	low	ə	421.35	1473.14	4463
00080	low	u	371.93	1184.73	2262
00080	low	i	340.91	1886.68	4341
00080	low	o	456.93	1073.00	1186
00084	low	a	635.61	1444.70	148
00084	low	i	339.62	1876.80	49
00084	low	u	378.92	1026.30	33
00084	low	ə	459.82	1401.94	57
00084	low	o	507.88	1091.54	8
00085	low	o	534.51	1083.45	62
00085	low	ə	480.10	1400.56	242
00085	low	a	613.26	1414.19	752
00085	low	i	364.70	1947.36	289
00085	low	u	405.72	1113.56	203
00086	low	o	523.10	1026.34	22
00086	low	a	596.59	1424.66	362
00086	low	i	375.56	2081.28	123
00086	low	ə	465.76	1428.26	107
00086	low	u	411.29	1079.23	84
00087	low	a	671.74	1348.81	80
00087	low	u	461.80	1144.79	22
00087	low	i	411.13	1884.57	26
00087	low	ə	545.88	1400.62	27
00087	low	o	576.78	1059.52	11
00088	low	i	320.04	1886.78	12
00088	low	a	578.82	1463.93	32
00088	low	ə	441.02	1534.24	10
00088	low	u	338.19	1232.44	6
00088	low	o	502.86	1266.21	2
00090	low	i	268.20	1961.39	3
00090	low	a	617.74	1169.58	6
00090	low	ə	459.52	1254.76	4
00090	low	u	319.14	1062.61	2
00095	low	u	413.66	1125.39	612
00095	low	a	604.73	1493.77	2383
00095	low	i	369.70	2077.22	1076
00095	low	ə	479.85	1492.65	1074
00095	low	o	535.72	1103.45	268
00096	low	ə	496.23	1337.69	772
00096	low	u	434.41	1037.68	641
00096	low	a	625.66	1381.64	2351
00096	low	i	395.57	2359.94	854
00096	low	o	563.73	1071.96	181
00098	low	ə	411.31	1400.39	16
00098	low	u	338.22	964.15	12
00098	low	i	337.55	2169.69	23
00098	low	a	571.59	1449.23	39
00098	low	o	522.33	1000.33	3
00100	low	a	633.30	1570.77	26
00100	low	u	409.00	929.22	8
00100	low	ə	490.86	1409.61	10
00100	low	i	363.42	2165.69	12
00100	low	o	567.91	988.21	1
00103	low	a	669.01	1360.94	15
00103	low	u	444.69	936.58	6
00103	low	i	354.04	1869.66	3
00103	low	ə	679.56	1382.08	1
00105	low	a	634.92	1490.44	9735
00105	low	ə	500.43	1453.92	3312
00105	low	u	412.59	1085.44	2569
00105	low	i	377.99	2084.48	3534
00105	low	o	547.17	1094.31	731
00106	low	a	625.33	1229.37	12
