spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00001	low	ɛ	455.51	1730.52	3
00001	low	uː	394.89	958.39	2
00001	low	aː	733.11	838.85	1
00001	low	iː	350.54	2512.57	1
00001	low	eː	421.92	2210.86	4
00001	low	ɪ	384.78	1771.93	5
00004	low	ɪ	349.77	1641.77	14
00004	low	iː	281.12	1837.87	5
00004	low	aː	624.53	1352.49	3
00004	low	o	434.77	940.93	3
00004	low	ɛ	405.28	1768.79	9
00004	low	eː	363.20	1953.41	10
00004	low	uː	285.65	853.08	4
00005	low	ɛ	551.38	1415.79	65
00005	low	aː	617.12	1263.86	27
00005	low	ɪ	432.63	1399.01	51
00005	low	uː	371.47	1052.22	6
00005	low	eː	435.66	1617.57	22
00005	low	o	451.19	1020.90	7
00005	low	u	382.24	1131.53	11
00005	low	iː	360.35	1860.04	10
00006	low	ɛ	524.06	1491.83	6
00006	low	ɪ	395.22	1534.79	1
00006	low	aː	618.24	1158.90	2
00006	low	u	481.35	1050.26	1
00008	low	ɪ	444.38	1634.28	179
00008	low	o	391.98	837.98	33
00008	low	aː	586.10	1076.91	152
00008	low	ɛ	566.08	1470.74	229
00008	low	uː	375.78	860.00	27
00008	low	eː	435.88	1893.84	85
00008	low	u	498.38	1131.50	18
00008	low	iː	362.17	2012.82	46
00009	low	ɛ	512.72	1661.43	381
00009	low	aː	599.51	1165.61	257
00009	low	eː	414.94	2021.25	156
00009	low	ɪ	419.74	1609.26	297
00009	low	uː	372.59	937.91	52
00009	low	iː	363.46	2145.92	127
00009	low	u	434.79	1193.39	46
00009	low	o	439.58	947.22	53
00011	low	ɪ	356.63	1621.45	14
00011	low	aː	544.64	1314.32	12
00011	low	iː	314.11	1931.76	9
00011	low	ɛ	435.22	1776.59	17
00011	low	u	457.03	1099.05	2
00011	low	o	379.07	1025.96	4
00011	low	eː	356.78	1919.49	9
00011	low	uː	352.69	1238.75	1
00015	low	ɛ	534.82	1619.10	421
00015	low	aː	615.12	1175.74	290
00015	low	u	417.42	1196.49	41
00015	low	ɪ	399.41	1607.50	339
