spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	ɛ	442.80	1720.00	1158
00000	low	ɐ	549.23	1378.40	1938
00000	low	ɪ	379.54	1842.33	1815
00000	low	i	407.40	1979.65	234
00000	low	ʊ	389.13	1117.82	640
00000	low	ɔ	464.83	1114.64	525
00000	low	ɛˤː	435.98	1871.02	26
00000	low	y	347.15	1995.56	4
00000	low	ɔˤː	464.72	1304.77	11
00000	low	ɐˤː	633.69	1310.29	43
00001	low	ɐ	572.45	1416.96	89
00001	low	ɛ	444.87	1765.98	52
00001	low	ɪ	382.44	1888.92	109
00001	low	ʊ	411.96	1180.92	36
00001	low	i	385.47	1959.41	8
00001	low	ɔ	461.03	1033.70	20
00001	low	ɐˤː	629.42	1382.87	1
00003	low	ɪ	395.21	1730.26	11
00003	low	ɔ	563.26	1009.17	2
00003	low	ɐ	709.60	1290.15	10
00003	low	ɛ	370.48	1495.31	4
00003	low	i	312.04	1853.87	2
00003	low	ʊ	378.59	1198.99	3
00005	low	ʊ	394.35	865.52	11
00005	low	ɪ	396.58	1756.65	31
00005	low	ɐ	668.31	1250.65	35
00005	low	ɛ	476.96	1646.61	17
00005	low	ɔ	473.81	1027.76	10
00005	low	i	571.42	1948.19	5
00005	low	ɔˤː	569.42	844.22	1
00006	low	ʊ	432.01	1020.14	5
00006	low	ɛ	471.91	1718.50	5
00006	low	ɐ	615.22	1355.06	5
00006	low	ɪ	406.84	1860.49	7
00006	low	i	376.90	1901.25	2
00006	low	ɐˤː	618.05	1494.92	1
00007	low	ɐˤː	670.15	1354.59	14
00007	low	ɐ	625.18	1341.96	200
00007	low	ʊ	435.35	1027.48	70
00007	low	ɪ	426.98	1900.21	176
00007	low	ɛ	491.34	1781.31	143
00007	low	i	454.69	2094.12	36
00007	low	ɔ	526.66	1087.11	48
00007	low	ɛˤː	551.35	1783.74	4
00007	low	y	411.08	2172.37	1
00007	low	ɔˤː	412.98	1319.25	1
00012	low	i	434.41	2003.38	5
00012	low	ɛ	385.20	1718.76	10
00012	low	ɪ	367.17	1654.17	15
00012	low	ɐ	524.60	1331.42	20
00012	low	ɔ	457.00	1199.67	7
00012	low	ɐˤː	439.16	1327.96	2
00012	low	ʊ	388.12	1144.31	3
00013	low	ɪ	373.70	1935.11	371
00013	low	ɐ	635.99	1261.73	392
00013	low	ʊ	384.00	894.50	128
00013	low	i	352.88	2010.21	42
00013	low	ɛ	485.54	1752.36	218
00013	low	ɛˤː	506.40	1926.59	4
00013	low	ɔ	503.17	951.75	125
00013	low	ɔˤː	511.19	1140.56	2
00013	low	ɐˤː	683.55	1174.57	11
00013	low	y	273.30	2380.52	1
00014	low	ɪ	395.16	1747.74	3447
00014	low	ɛ	467.43	1633.41	2151
00014	low	ɐˤː	620.55	1198.35	100
00014	low	ɐ	588.23	1235.94	3601
00014	low	ʊ	415.85	1047.57	1183
00014	low	ɔ	486.65	1040.80	956
00014	low	i	414.95	1905.70	442
00014	low	ɛˤː	429.55	1791.15	45
00014	low	y	380.96	1892.83	14
00014	low	ɪˤː	323.21	1980.00	1
00014	low	ɔˤː	533.42	1180.85	19
00016	low	ɔ	512.63	889.06	11
00016	low	ɛ	450.09	1782.09	18
00016	low	ɐ	585.58	1293.19	39
00016	low	ɪ	391.13	1860.13	34
00016	low	i	341.03	2074.93	6
00016	low	ʊ	403.00	919.46	9
00016	low	ɔˤː	519.58	887.74	1
00019	low	i	280.02	2171.01	1
00019	low	ɛ	404.23	1669.75	8
00019	low	ɐ	532.60	1349.44	17
00019	low	ɪ	345.68	1895.12	11
00019	low	ɔ	451.18	1128.19	8
00019	low	ɐˤː	613.52	1161.83	2
00019	low	ʊ	361.08	1176.06	2
00019	low	y	356.86	1967.72	1
00031	low	ɛ	403.65	1816.44	8
00031	low	i	350.98	2057.74	4
00031	low	ɛˤː	377.33	1960.72	1
00031	low	ɪ	377.01	1908.72	13
00031	low	ɐ	611.48	1117.93	10
00031	low	ʊ	334.78	969.89	5
00031	low	ɔ	435.72	958.59	3
00033	low	ʊ	420.43	1092.80	25
00033	low	ɔ	502.65	1062.29	26
00033	low	ɐ	582.11	1285.65	98
00033	low	ɪ	382.13	1826.86	79
00033	low	ɛ	451.55	1654.08	50
00033	low	i	357.35	1914.33	9
00033	low	ɐˤː	659.18	1243.55	4
00033	low	ɛˤː	415.98	1813.71	1
00034	low	ɛ	396.63	1706.75	5
00034	low	ɐ	545.02	1270.80	8
00034	low	ɔ	466.70	1192.90	2
00034	low	ʊ	406.13	926.95	3
00034	low	ɪ	328.41	1846.99	7
00034	low	i	541.76	2120.65	2
00043	low	ɛ	459.65	1780.15	11
00043	low	ɔ	446.87	1019.76	9
00043	low	i	326.16	2115.05	3
00043	low	ɐ	537.53	1301.51	26
