spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	ɪ	445.88	1900.94	9
00000	low	e	444.18	1880.95	17
00000	low	o	420.96	1155.46	3
00000	low	ɑ	674.32	1371.59	17
00000	low	ə	495.65	1511.78	19
00000	low	ɑ̃	648.62	1504.25	3
00000	low	i	345.65	1848.88	16
00000	low	u	348.24	998.21	1
00000	low	ɔ	579.38	1043.62	3
00000	low	ʊ	434.56	1092.59	5
00000	low	ɛ	605.98	1884.42	2
00000	low	ɪ̃	422.63	2133.66	2
00000	low	ʊ̃	455.88	1104.60	1
00000	low	ə̃	569.82	1281.56	1
00002	low	u	347.26	930.13	3
00002	low	i	366.79	2134.33	11
00002	low	ɑ̃	599.00	1255.76	8
00002	low	ə	517.05	1411.47	23
00002	low	ɪ	480.63	1962.53	4
00002	low	ə̃	401.46	1282.80	4
00002	low	ɑ	610.18	1178.97	21
00002	low	o	436.88	853.60	6
00002	low	e	424.36	1980.77	18
00002	low	ʊ	393.44	1275.06	2
00002	low	ɛ	594.54	1826.91	3
00002	low	ʊ̃	571.56	1399.07	1
00002	low	ɛ̃	487.32	1987.01	1
00002	low	ɔ	513.89	946.93	1
00003	low	ə	580.43	1304.42	14
00003	low	i	321.32	2139.95	4
00003	low	ə̃	423.14	1329.46	2
00003	low	ɛ	463.08	1649.77	2
00003	low	ɑ	603.31	1154.23	8
00003	low	ʊ	469.89	848.53	2
00003	low	ɪ	355.17	1963.62	3
00003	low	e	414.59	1777.03	5
00003	low	ɑ̃	503.54	1264.80	5
00003	low	ɛ̃	364.63	2063.18	1
00003	low	o	377.24	736.89	2
00003	low	ɪ̃	562.70	1532.28	1
00004	low	ɪ	455.97	1738.04	15
00004	low	e	450.69	1839.94	19
00004	low	i	377.28	1864.86	28
00004	low	ə	560.85	1420.25	37
00004	low	ɑ	610.45	1184.18	25
00004	low	ʊ	472.90	1122.61	14
00004	low	ə̃	559.67	1231.58	4
00004	low	ɑ̃	617.24	1253.42	6
00004	low	u	415.40	941.45	2
00004	low	o	452.02	1238.34	4
00004	low	ɛ	673.62	1607.70	5
00004	low	ʊ̃	501.29	979.59	2
00004	low	ɔ	577.67	771.75	2
00004	low	ɛ̃	563.08	1570.30	1
00005	low	ə	660.62	1395.97	28
00005	low	ɪ	448.40	1700.52	7
00005	low	e	436.01	1796.99	13
00005	low	ɪ̃	570.00	1607.36	1
00005	low	ɑ	698.64	1183.33	30
00005	low	i	285.51	2138.39	11
00005	low	ɑ̃	670.44	1237.74	8
00005	low	ɛ	595.77	1552.89	8
00005	low	ɛ̃	484.64	1426.37	1
00005	low	ʊ	663.73	977.29	1
00005	low	o	482.29	832.36	2
00005	low	ə̃	676.26	1449.54	2
00006	low	ʊ	347.08	1088.34	17
00006	low	u	310.76	1035.92	3
00006	low	ɑ̃	425.06	1225.27	12
00006	low	e	359.97	1782.60	21
00006	low	i	302.09	1953.33	34
00006	low	ə	473.04	1330.51	49
00006	low	ɑ	596.76	1172.53	35
00006	low	ʊ̃	311.44	1233.33	2
00006	low	ə̃	343.77	1228.40	6
00006	low	ɪ	350.11	1734.10	16
00006	low	ɪ̃	294.12	1592.85	2
00006	low	o	383.50	934.94	9
00006	low	ɛ	543.70	1564.77	4
