spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	eː	437.78	1613.22	14
00000	low	ɛ	448.62	1750.14	9
00000	low	øː	540.30	1207.47	2
00000	low	ɐ	674.49	1098.18	4
00000	low	ɛː	726.53	1666.45	3
00000	low	ɵ	355.90	1170.37	2
00000	low	oː	331.25	737.84	8
00000	low	ɑː	525.81	1138.11	10
00000	low	œ	466.00	1255.13	2
00000	low	ɔ	408.02	818.08	5
00000	low	ʏ	265.85	2086.46	1
00000	low	iː	305.29	2079.49	3
00000	low	ɪ	322.86	2390.81	2
00000	low	uː	316.94	931.40	1
00002	low	ɐ	699.77	1204.40	1
00002	low	ɵ	587.83	1526.89	1
00002	low	ɑː	473.29	1443.21	2
00002	low	ɔ	467.23	1087.12	1
00003	low	iː	382.70	1834.51	35
00003	low	ɑː	516.70	1152.75	64
00003	low	ɛ	539.15	1481.85	20
00003	low	ɐ	592.71	1220.81	26
00003	low	ʉː	355.54	1455.25	9
00003	low	uː	406.32	1049.38	18
00003	low	oː	433.15	932.05	19
00003	low	ɔ	445.85	1057.03	12
00003	low	øː	511.04	1422.17	10
00003	low	eː	432.02	1550.53	66
00003	low	ɪ	358.81	1894.18	14
00003	low	ɛː	510.16	1528.27	9
00003	low	yː	317.80	1984.09	4
00003	low	ɵ	382.30	1356.89	8
00003	low	ʏ	292.87	1916.64	2
00003	low	œ	411.09	1325.66	2
00004	low	ɐ	669.18	1227.69	9
00004	low	øː	564.23	1612.83	3
00004	low	ɵ	373.78	1332.67	5
00004	low	iː	419.15	1829.59	9
00004	low	ɛ	573.01	1606.36	8
00004	low	eː	523.35	1604.29	30
00004	low	ɑː	634.60	1230.02	27
00004	low	oː	516.97	934.29	5
00004	low	ɪ	441.27	1973.52	4
00004	low	uː	526.45	1095.74	7
00004	low	ɔ	502.31	1055.26	7
00004	low	œ	629.26	1293.34	4
00004	low	ʏ	366.08	1942.09	2
00004	low	ʉː	342.26	1622.43	2
00004	low	ɛː	510.95	1507.99	2
