spkr	setting	vowel	mean_f1	mean_f2	V_count_spkr
00000	low	a	527.42	1352.55	160
00000	low	u	389.78	1226.50	71
00000	low	uː	316.55	835.13	4
00000	low	i	353.79	1847.86	71
00000	low	aː	741.80	1166.17	38
00000	low	e	433.47	1606.05	11
00000	low	o	391.38	768.41	2
00000	low	iː	353.78	1798.28	4
00000	low	eː	391.96	1970.09	9
00000	low	oː	372.94	570.44	2
00001	low	eː	360.61	2061.31	3
00001	low	a	517.31	1486.76	61
00001	low	i	348.23	1903.95	24
00001	low	aː	653.50	1231.47	10
00001	low	e	429.73	1704.59	4
00001	low	u	381.05	1208.01	18
00001	low	uː	409.41	906.30	2
00005	low	e	433.44	1592.48	2
00005	low	u	431.44	1097.05	8
00005	low	eː	518.56	2034.87	2
00005	low	a	574.38	1352.67	16
00005	low	aː	813.77	1206.30	2
00005	low	i	409.22	1559.91	3
00006	low	i	338.24	2184.22	154
00006	low	e	372.17	2134.99	27
00006	low	a	491.05	1460.81	331
00006	low	aː	683.12	1300.91	77
00006	low	u	363.54	1284.15	172
00006	low	iː	314.56	2424.07	5
00006	low	o	380.12	848.08	6
00006	low	eː	372.06	2216.58	25
00006	low	uː	365.00	841.64	3
00008	low	a	532.10	1382.52	20
00008	low	i	350.22	2147.60	13
00008	low	u	376.29	1358.25	9
00008	low	e	443.34	1876.11	5
00008	low	aː	602.37	1168.83	5
00008	low	eː	393.14	2506.09	1
00008	low	iː	306.21	2502.62	1
00008	low	uː	383.99	859.79	1
00011	low	i	363.01	1855.39	8
00011	low	a	437.66	1683.01	9
00011	low	u	436.71	1405.47	3
00011	low	eː	423.39	1844.52	2
00013	low	a	509.17	1496.53	2169
00013	low	i	360.05	1946.56	888
00013	low	e	420.01	1885.52	294
00013	low	eː	404.98	2058.11	177
00013	low	u	394.49	1335.71	908
00013	low	aː	608.03	1232.59	499
00013	low	o	413.61	1033.35	34
00013	low	oː	395.13	710.98	10
00013	low	iː	332.37	2112.23	63
00013	low	uː	382.73	956.62	54
00014	low	a	527.74	1535.30	13
00014	low	i	345.84	1755.73	4
00014	low	u	328.80	1193.07	2
00014	low	aː	650.26	1230.04	2
00014	low	eː	423.65	2001.40	1
00014	low	e	319.49	2365.30	1
00016	low	a	530.21	1375.61	3345
00016	low	u	389.38	1298.71	1393
00016	low	i	353.73	1864.30	1304
00016	low	aː	678.24	1120.94	812
00016	low	e	439.16	1675.64	279
00016	low	iː	329.22	1936.70	44
00016	low	uː	356.23	819.09	78
00016	low	eː	396.81	1929.52	198
