,code_cv,name_cv,spkr_file,lexicon,acoustic_model
0,ab,Abkhaz,,,
1,af,Afrikaans,,,
2,am,Amharic,,,
3,am,Amharic,,,
4,am,Amharic,,,
5,ar,Arabic,,,
6,as,Assamese,,,
7,ast,Asturian,,,
8,az,Azerbaijani,,,
9,az,Azerbaijani,,,
10,ba,Bashkir,,,
11,bas,Basaa,,,
12,be,Belarusian,,,
13,bn,Bengali,,,
14,bn,Bengali,,,
15,br,Breton,,,
16,bg,Bulgarian,,,
17,ca,Catalan,,,
18,cs,Czech,,,
19,cv,Chuvash,,,
20,ckb,Central Kurdish,,,
21,cnh,Hakha Chin,,,
22,cy,Welsh,,,
23,da,Danish,,,
24,de,German,,,
25,de,German,,,
26,de,German,,,
27,dv,Dhivehi,,,
28,dyu,Dioula,,,
29,el,Greek,,,
30,en,English,,,
31,eo,Esperanto,,,
32,et,Estonian,,,
33,eu,Basque,,,
34,fa,Persian,,,
35,fi,Finnish,,,
36,fr,French,,,
37,fr,French,,,
38,fr,French,,,
39,fy-NL,Frisian,,,
40,ga-IE,Irish,,,
41,gl,Galician,,,
42,gn,Guarani,,,
43,ha,Hausa,,,
44,he,Hebrew,,,
45,hi,Hindi,,,
46,hsb,"Sorbian, Upper",,,
47,hu,Hungarian,,,
48,hy-AM,Armenian,,,
49,ig,Igbo,,,
50,ia,Interlingua,,,
51,id,Indonesian,,,
52,is,Icelandic,,,
53,it,Italian,,,
54,ja,Japanese,,,
55,kab,Kabyle,,,
56,ka,Georgian,,,
57,kk,Kazakh,,,
58,kk,Kazakh,,,
59,kk,Kazakh,,,
60,rw,Kinyarwanda,,,
61,ky,Kyrgyz,,,
62,ky,Kyrgyz,,,
63,ky,Kyrgyz,,,
64,kmr,Kurmanji Kurdish,,,
65,kmr,Kurmanji Kurdish,,,
66,ko,Korean,,,
67,lo,Lao,,,
68,lv,Latvian,,,
69,lij,Ligurian,,,
70,lt,Lithuanian,,,
71,ltg,Latgalian,,,
72,lg,Luganda,,,
73,ml,Malayalam,,,
74,mr,Marathi,,,
75,mdf,Moksha,,,
76,mhr,Meadow Mari,,,
77,mk,Macedonian,,,
78,mt,Maltese,,,
79,mn,Mongolian,,,
80,mrj,Hill Mari,,,
81,myv,Erzya,,,
82,nan-tw,Taiwanese (Minnan),,,
83,nan-tw,Taiwanese (Minnan),,,
84,ne-NP,Nepali,,,
85,nhi,Western Sierra Puebla Nahuatl,,,
86,nl,Dutch,,,
87,nn-NO,Norwegian Nynorsk,,,
88,oc,Occitan,,,
89,or,Odia,,,
90,os,Ossetian,,,
91,pa-IN,Punjabi,,,
92,pl,Polish,,,
93,pt,Portuguese,,,
94,ps,Pashto,,,
95,quy,Quechua Chanka,,,
96,rm-sursilv,Romansh Sursilvan,,,
97,rm-vallader,Romansh Vallader,,,
98,ro,Romanian,,,
99,ru,Russian,,,
100,sah,Sakha,,,
101,sat,Santali (Ol Chiki),,,
102,skr,Saraiki,,,
103,sk,Slovak,,,
104,sl,Slovenian,,,
105,es,Spanish,,,
106,es,Spanish,,,
107,sq,Albanian,,,
108,sc,Sardinian,,,
109,sr,Serbian,,,
110,sw,Swahili,,,
111,sw,Swahili,,,
112,sv-SE,Swedish,,,
113,ta,Tamil,,,
114,ta,Tamil,,,
115,tt,Tatar,,,
116,te,Telugu,,,
117,th,Thai,,,
118,tig,Tigre,,,
119,ti,Tigrinya,,,
120,ti,Tigrinya,,,
121,ti,Tigrinya,,,
122,tok,Toki Pona,,,
123,tk,Turkmen,,,
124,tk,Turkmen,,,
125,tr,Turkish,,,
126,tr,Turkish,,,
127,tr,Turkish,,,
128,tw,Twi,,,
129,ug,Uyghur,,,
130,uk,Ukrainian,,,
131,ur,Urdu,,,
132,uz,Uzbek,,,
133,uz,Uzbek,,,
134,vi,Vietnamese,,,
135,vot,Votic,,,
136,yi,Yiddish,,,
137,yo,Yoruba,,,
138,yue,Cantonese,,,
139,zgh,Tamazight,,,
140,zh-CN,Chinese (China),,,
141,zh-HK,Chinese (Hong Kong),,,
142,zh-TW,Chinese (Taiwan),,,
